GO-Elite ORA Results
File:
Table:
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
47 Ensembl source identifiers supplied in the input file:salmon_Module.txt
47 source identifiers meeting the filter linked to a Ensembl ID.
27 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
977 Genes linked to a term.
The z score is based on an N of 977 and a R of 27 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Small cell lung cancer:KEGG-hsa05222	4	13	106	30.7692307692	12.2641509434	6.19804744249	0.0	0.0713333333333
Toxoplasmosis:KEGG-hsa05145	5	23	252	21.7391304348	9.12698412698	5.61513645668	0.0	0.0713333333333
ECM-receptor interaction:KEGG-hsa04512	6	32	118	18.75	27.1186440678	5.60643230325	0.001	0.0713333333333
Vitamin digestion and absorption:KEGG-hsa04977	1	2	28	50.0	7.14285714286	4.07723383405	0.0535	0.954083333333
Tyrosine metabolism:KEGG-hsa00350	2	9	42	22.2222222222	21.4285714286	3.57579242703	0.0185	0.659833333333
Amoebiasis:KEGG-hsa05146	4	31	138	12.9032258065	22.4637681159	3.49811937123	0.0075	0.40125
Arginine and proline metabolism:KEGG-hsa00330	3	20	59	15.0	33.8983050847	3.37124125968	0.014	0.5992
Riboflavin metabolism:KEGG-hsa00740	1	3	12	33.3333333333	25.0	3.23332327085	0.092	1.0
Nucleotide excision repair:KEGG-hsa03420	1	3	67	33.3333333333	4.4776119403	3.23332327085	0.0805	1.0
Glycine, serine and threonine metabolism:KEGG-hsa00260	2	11	35	18.1818181818	31.4285714286	3.13558679444	0.0305	0.760888888889
Glutathione metabolism:KEGG-hsa00480	3	24	57	12.5	42.1052631579	2.94465937253	0.024	0.733714285714
Folate biosynthesis:KEGG-hsa00790	1	4	13	25.0	30.7692307692	2.71715607188	0.0985	1.0
Fat digestion and absorption:KEGG-hsa04975	1	4	53	25.0	7.54716981132	2.71715607188	0.109	1.0
Prion diseases:KEGG-hsa05020	2	14	55	14.2857142857	25.4545454545	2.6476481824	0.053	0.954083333333
Focal adhesion:KEGG-hsa04510	5	67	244	7.46268656716	27.4590163934	2.43001781617	0.032	0.760888888889
Propanoate metabolism:KEGG-hsa00640	2	17	33	11.7647058824	51.5151515152	2.28277096249	0.081	1.0
Pathways in cancer:KEGG-hsa05200	4	52	395	7.69230769231	13.164556962	2.2271168845	0.0475	0.954083333333
Phenylalanine metabolism:KEGG-hsa00360	1	6	19	16.6666666667	31.5789473684	2.08282888881	0.1415	1.0
Spliceosome:KEGG-hsa03040	1	9	176	11.1111111111	5.11363636364	1.53397524339	0.204	1.0
Vascular smooth muscle contraction:KEGG-hsa04270	2	28	125	7.14285714286	22.4	1.43359316024	0.1745	1.0
Metabolism of xenobiotics by cytochrome P450:KEGG-hsa00980	1	10	79	10.0	12.6582278481	1.40245004547	0.227	1.0
Measles:KEGG-hsa05162	1	10	183	10.0	5.46448087432	1.40245004547	0.2335	1.0
Glyoxylate and dicarboxylate metabolism:KEGG-hsa00630	1	10	18	10.0	55.5555555556	1.40245004547	0.259	1.0
Galactose metabolism:KEGG-hsa00052	1	10	32	10.0	31.25	1.40245004547	0.2255	1.0
Drug metabolism - cytochrome P450:KEGG-hsa00982	1	10	84	10.0	11.9047619048	1.40245004547	0.2305	1.0
Starch and sucrose metabolism:KEGG-hsa00500	1	11	64	9.09090909091	17.1875	1.28678275209	0.2595	1.0
Endometrial cancer:KEGG-hsa05213	1	11	68	9.09090909091	16.1764705882	1.28678275209	0.2395	1.0
Alanine, aspartate and glutamate metabolism:KEGG-hsa00250	1	11	34	9.09090909091	32.3529411765	1.28678275209	0.2645	1.0
Arachidonic acid metabolism:KEGG-hsa00590	1	12	62	8.33333333333	19.3548387097	1.1836958519	0.2665	1.0
African trypanosomiasis:KEGG-hsa05143	1	13	50	7.69230769231	26.0	1.0908005901	0.294	1.0
beta-Alanine metabolism:KEGG-hsa00410	1	14	28	7.14285714286	50.0	1.00630790689	0.3155	1.0
Amyotrophic lateral sclerosis (ALS):KEGG-hsa05014	1	14	68	7.14285714286	20.5882352941	1.00630790689	0.32	1.0
Peroxisome:KEGG-hsa04146	1	15	85	6.66666666667	17.6470588235	0.928846795982	0.353	1.0
PPAR signaling pathway:KEGG-hsa03320	1	15	78	6.66666666667	19.2307692308	0.928846795982	0.3555	1.0
Pentose phosphate pathway:KEGG-hsa00030	1	16	30	6.25	53.3333333333	0.857345832708	0.3465	1.0
Antigen processing and presentation:KEGG-hsa04612	1	17	441	5.88235294118	3.85487528345	0.790953417105	0.3605	1.0
Amino sugar and nucleotide sugar metabolism:KEGG-hsa00520	1	18	51	5.55555555556	35.2941176471	0.72898259627	0.3985	1.0
Ubiquitin mediated proteolysis:KEGG-hsa04120	1	19	151	5.26315789474	12.582781457	0.670871974394	0.4135	1.0
Viral myocarditis:KEGG-hsa05416	1	20	194	5.0	10.3092783505	0.616157436419	0.4285	1.0
Citrate cycle (TCA cycle):KEGG-hsa00020	1	20	34	5.0	58.8235294118	0.616157436419	0.4265	1.0
Valine, leucine and isoleucine degradation:KEGG-hsa00280	1	22	50	4.54545454545	44.0	0.515426771052	0.461	1.0
Pyruvate metabolism:KEGG-hsa00620	1	25	42	4.0	59.5238095238	0.381856061191	0.5065	1.0
Endocytosis:KEGG-hsa04144	2	57	270	3.50877192982	21.1111111111	0.353506968559	0.788	1.0
Lysosome:KEGG-hsa04142	1	29	146	3.44827586207	19.8630136986	0.228233708178	0.569	1.0
Bacterial invasion of epithelial cells:KEGG-hsa05100	1	29	82	3.44827586207	35.3658536585	0.228233708178	0.544	1.0
Glycolysis / Gluconeogenesis:KEGG-hsa00010	1	30	69	3.33333333333	43.4782608696	0.193268946079	0.5645	1.0
Purine metabolism:KEGG-hsa00230	1	31	178	3.22580645161	17.4157303371	0.159471413863	0.5655	1.0
Tuberculosis:KEGG-hsa05152	1	41	288	2.43902439024	14.2361111111	-0.129447814845	0.6825	1.0
Tight junction:KEGG-hsa04530	1	42	152	2.38095238095	27.6315789474	-0.154543386927	0.6835	1.0
alpha-Linolenic acid metabolism:KEGG-hsa00592	0	1	21	0.0	4.7619047619	-0.168585446085	1.0	1.0
Sulfur metabolism:KEGG-hsa00920	0	1	14	0.0	7.14285714286	-0.168585446085	1.0	1.0
Selenocompound metabolism:KEGG-hsa00450	0	1	18	0.0	5.55555555556	-0.168585446085	1.0	1.0
Primary immunodeficiency:KEGG-hsa05340	0	1	79	0.0	1.26582278481	-0.168585446085	1.0	1.0
Mismatch repair:KEGG-hsa03430	0	1	30	0.0	3.33333333333	-0.168585446085	1.0	1.0
Lysine biosynthesis:KEGG-hsa00300	0	1	3	0.0	33.3333333333	-0.168585446085	1.0	1.0
Homologous recombination:KEGG-hsa03440	0	1	35	0.0	2.85714285714	-0.168585446085	1.0	1.0
Glycosphingolipid biosynthesis - lacto and neolacto series:KEGG-hsa00601	0	1	26	0.0	3.84615384615	-0.168585446085	1.0	1.0
Glycosphingolipid biosynthesis - globo series:KEGG-hsa00603	0	1	15	0.0	6.66666666667	-0.168585446085	1.0	1.0
Glycosphingolipid biosynthesis - ganglio series:KEGG-hsa00604	0	1	19	0.0	5.26315789474	-0.168585446085	1.0	1.0
Glycosaminoglycan degradation:KEGG-hsa00531	0	1	19	0.0	5.26315789474	-0.168585446085	1.0	1.0
Fatty acid biosynthesis:KEGG-hsa00061	0	1	7	0.0	14.2857142857	-0.168585446085	1.0	1.0
DNA replication:KEGG-hsa03030	0	1	42	0.0	2.38095238095	-0.168585446085	1.0	1.0
D-Glutamine and D-glutamate metabolism:KEGG-hsa00471	0	1	4	0.0	25.0	-0.168585446085	1.0	1.0
Butirosin and neomycin biosynthesis:KEGG-hsa00524	0	1	6	0.0	16.6666666667	-0.168585446085	1.0	1.0
Base excision repair:KEGG-hsa03410	0	1	36	0.0	2.77777777778	-0.168585446085	1.0	1.0
Basal cell carcinoma:KEGG-hsa05217	0	1	63	0.0	1.5873015873	-0.168585446085	1.0	1.0
Aminoacyl-tRNA biosynthesis:KEGG-hsa00970	0	1	53	0.0	1.88679245283	-0.168585446085	1.0	1.0
Valine, leucine and isoleucine biosynthesis:KEGG-hsa00290	0	2	18	0.0	11.1111111111	-0.238538057463	1.0	1.0
Sulfur relay system:KEGG-hsa04122	0	2	11	0.0	18.1818181818	-0.238538057463	1.0	1.0
Sphingolipid metabolism:KEGG-hsa00600	0	2	52	0.0	3.84615384615	-0.238538057463	1.0	1.0
Retinol metabolism:KEGG-hsa00830	0	2	69	0.0	2.89855072464	-0.238538057463	1.0	1.0
Regulation of autophagy:KEGG-hsa04140	0	2	34	0.0	5.88235294118	-0.238538057463	1.0	1.0
Protein export:KEGG-hsa03060	0	2	23	0.0	8.69565217391	-0.238538057463	1.0	1.0
Primary bile acid biosynthesis:KEGG-hsa00120	0	2	17	0.0	11.7647058824	-0.238538057463	1.0	1.0
Phenylalanine, tyrosine and tryptophan biosynthesis:KEGG-hsa00400	0	2	5	0.0	40.0	-0.238538057463	1.0	1.0
Pantothenate and CoA biosynthesis:KEGG-hsa00770	0	2	19	0.0	10.5263157895	-0.238538057463	1.0	1.0
Notch signaling pathway:KEGG-hsa04330	0	2	55	0.0	3.63636363636	-0.238538057463	1.0	1.0
Intestinal immune network for IgA production:KEGG-hsa04672	0	2	126	0.0	1.5873015873	-0.238538057463	1.0	1.0
Circadian rhythm - mammal:KEGG-hsa04710	0	2	22	0.0	9.09090909091	-0.238538057463	1.0	1.0
Biosynthesis of unsaturated fatty acids:KEGG-hsa01040	0	2	6	0.0	33.3333333333	-0.238538057463	1.0	1.0
Asthma:KEGG-hsa05310	0	2	109	0.0	1.83486238532	-0.238538057463	1.0	1.0
