Ensembl	symbol	GeneOntology
ENSG00000106588	PSMA2	GO:0035770
ENSG00000165916	PSMC3	GO:0035770
ENSG00000100902	PSMA6	GO:0035770
ENSG00000148798	INA	GO:0035770
ENSG00000165916	PSMC3	GO:0046434
ENSG00000106049	HIBADH	GO:0046434
ENSG00000185627	PSMD13	GO:0005838
ENSG00000008018	PSMB1	GO:0005839
ENSG00000106588	PSMA2	GO:0005839
ENSG00000129084	PSMA1	GO:0005839
ENSG00000100902	PSMA6	GO:0005839
ENSG00000136930	PSMB7	GO:0005839
ENSG00000143106	PSMA5	GO:0005839
ENSG00000100567	PSMA3	GO:0005839
ENSG00000126067	PSMB2	GO:0005839
ENSG00000101182	PSMA7	GO:0005839
ENSG00000008018	PSMB1	GO:0033238
ENSG00000185627	PSMD13	GO:0033238
ENSG00000106588	PSMA2	GO:0033238
ENSG00000165916	PSMC3	GO:0033238
ENSG00000129084	PSMA1	GO:0033238
ENSG00000100902	PSMA6	GO:0033238
ENSG00000136930	PSMB7	GO:0033238
ENSG00000143106	PSMA5	GO:0033238
ENSG00000100567	PSMA3	GO:0033238
ENSG00000126067	PSMB2	GO:0033238
ENSG00000101182	PSMA7	GO:0033238
ENSG00000108561	C1QBP	GO:1901165
ENSG00000108561	C1QBP	GO:1901163
ENSG00000116288	PARK7	GO:0015844
ENSG00000144827	ABHD10	GO:0017171
ENSG00000103257	SLC7A5	GO:0015849
ENSG00000125166	GOT2	GO:0015849
ENSG00000116288	PARK7	GO:0045859
ENSG00000072110	ACTN1	GO:0034774
ENSG00000108561	C1QBP	GO:0002673
ENSG00000099204	ABLIM1	GO:0097485
ENSG00000198130	HIBCH	GO:0006573
ENSG00000106049	HIBADH	GO:0006573
ENSG00000198130	HIBCH	GO:0006574
ENSG00000106049	HIBADH	GO:0006574
ENSG00000104687	GSR	GO:0006575
ENSG00000112294	ALDH5A1	GO:0006575
ENSG00000167468	GPX4	GO:0006575
ENSG00000125166	GOT2	GO:0006575
ENSG00000108561	C1QBP	GO:0097177
ENSG00000008018	PSMB1	GO:0005488
ENSG00000075239	ACAT1	GO:0005488
ENSG00000185627	PSMD13	GO:0005488
ENSG00000111640	GAPDH	GO:0005488
ENSG00000127884	ECHS1	GO:0005488
ENSG00000138796	HADH	GO:0005488
ENSG00000067225	PKM	GO:0005488
ENSG00000023191	RNH1	GO:0005488
ENSG00000108561	C1QBP	GO:0005488
ENSG00000104687	GSR	GO:0005488
ENSG00000198931	APRT	GO:0005488
ENSG00000104823	ECH1	GO:0005488
ENSG00000099204	ABLIM1	GO:0005488
ENSG00000077380	DYNC1I2	GO:0005488
ENSG00000116288	PARK7	GO:0005488
ENSG00000111716	LDHB	GO:0005488
ENSG00000103257	SLC7A5	GO:0005488
ENSG00000198755	RPL10A	GO:0005488
ENSG00000106588	PSMA2	GO:0005488
ENSG00000188846	RPL14	GO:0005488
ENSG00000143621	ILF2	GO:0005488
ENSG00000112294	ALDH5A1	GO:0005488
ENSG00000165916	PSMC3	GO:0005488
ENSG00000172500	FIBP	GO:0005488
ENSG00000129084	PSMA1	GO:0005488
ENSG00000169764	UGP2	GO:0005488
ENSG00000140374	ETFA	GO:0005488
ENSG00000072110	ACTN1	GO:0005488
ENSG00000111911	HINT3	GO:0005488
ENSG00000167468	GPX4	GO:0005488
ENSG00000104325	DECR1	GO:0005488
ENSG00000100902	PSMA6	GO:0005488
ENSG00000136930	PSMB7	GO:0005488
ENSG00000091140	DLD	GO:0005488
ENSG00000183044	ABAT	GO:0005488
ENSG00000148672	GLUD1	GO:0005488
ENSG00000074800	ENO1	GO:0005488
ENSG00000148798	INA	GO:0005488
ENSG00000100412	ACO2	GO:0005488
ENSG00000186432	KPNA4	GO:0005488
ENSG00000125166	GOT2	GO:0005488
ENSG00000143106	PSMA5	GO:0005488
ENSG00000214078	CPNE1	GO:0005488
ENSG00000115271	GCA	GO:0005488
ENSG00000100567	PSMA3	GO:0005488
ENSG00000126067	PSMB2	GO:0005488
ENSG00000129351	ILF3	GO:0005488
ENSG00000106049	HIBADH	GO:0005488
ENSG00000146701	MDH2	GO:0005488
ENSG00000101182	PSMA7	GO:0005488
ENSG00000113013	HSPA9	GO:0005488
ENSG00000008018	PSMB1	GO:0035556
ENSG00000185627	PSMD13	GO:0035556
ENSG00000108561	C1QBP	GO:0035556
ENSG00000106588	PSMA2	GO:0035556
ENSG00000165916	PSMC3	GO:0035556
ENSG00000129084	PSMA1	GO:0035556
ENSG00000100902	PSMA6	GO:0035556
ENSG00000136930	PSMB7	GO:0035556
ENSG00000143106	PSMA5	GO:0035556
ENSG00000100567	PSMA3	GO:0035556
ENSG00000126067	PSMB2	GO:0035556
ENSG00000101182	PSMA7	GO:0035556
ENSG00000008018	PSMB1	GO:0072331
ENSG00000185627	PSMD13	GO:0072331
ENSG00000106588	PSMA2	GO:0072331
ENSG00000165916	PSMC3	GO:0072331
ENSG00000129084	PSMA1	GO:0072331
ENSG00000100902	PSMA6	GO:0072331
ENSG00000136930	PSMB7	GO:0072331
ENSG00000143106	PSMA5	GO:0072331
ENSG00000100567	PSMA3	GO:0072331
ENSG00000126067	PSMB2	GO:0072331
ENSG00000101182	PSMA7	GO:0072331
ENSG00000008018	PSMB1	GO:0050789
ENSG00000185627	PSMD13	GO:0050789
ENSG00000111640	GAPDH	GO:0050789
ENSG00000138796	HADH	GO:0050789
ENSG00000023191	RNH1	GO:0050789
ENSG00000108561	C1QBP	GO:0050789
ENSG00000104687	GSR	GO:0050789
ENSG00000099204	ABLIM1	GO:0050789
ENSG00000116288	PARK7	GO:0050789
ENSG00000106588	PSMA2	GO:0050789
ENSG00000167815	PRDX2	GO:0050789
ENSG00000143621	ILF2	GO:0050789
ENSG00000165916	PSMC3	GO:0050789
ENSG00000172500	FIBP	GO:0050789
ENSG00000129084	PSMA1	GO:0050789
ENSG00000072110	ACTN1	GO:0050789
ENSG00000167468	GPX4	GO:0050789
ENSG00000100902	PSMA6	GO:0050789
ENSG00000136930	PSMB7	GO:0050789
ENSG00000091140	DLD	GO:0050789
ENSG00000148672	GLUD1	GO:0050789
ENSG00000074800	ENO1	GO:0050789
ENSG00000186432	KPNA4	GO:0050789
ENSG00000143106	PSMA5	GO:0050789
ENSG00000100567	PSMA3	GO:0050789
ENSG00000126067	PSMB2	GO:0050789
ENSG00000129351	ILF3	GO:0050789
ENSG00000101182	PSMA7	GO:0050789
ENSG00000113013	HSPA9	GO:0050789
ENSG00000075239	ACAT1	GO:0005743
ENSG00000138796	HADH	GO:0005743
ENSG00000167468	GPX4	GO:0005743
ENSG00000125166	GOT2	GO:0005743
ENSG00000146701	MDH2	GO:0005743
ENSG00000116288	PARK7	GO:1903094
ENSG00000116288	PARK7	GO:1903093
ENSG00000169764	UGP2	GO:0006112
ENSG00000116288	PARK7	GO:0007626
ENSG00000183044	ABAT	GO:0007626
ENSG00000198931	APRT	GO:0007625
ENSG00000075239	ACAT1	GO:0006629
ENSG00000127884	ECHS1	GO:0006629
ENSG00000138796	HADH	GO:0006629
ENSG00000104823	ECH1	GO:0006629
ENSG00000112294	ALDH5A1	GO:0006629
ENSG00000167468	GPX4	GO:0006629
ENSG00000104325	DECR1	GO:0006629
ENSG00000214078	CPNE1	GO:0006629
ENSG00000183044	ABAT	GO:0007620
ENSG00000113013	HSPA9	GO:0006626
ENSG00000165916	PSMC3	GO:0009261
ENSG00000198931	APRT	GO:0009260
