GO-Elite ORA Results
File:
Table:
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
58 Ensembl source identifiers supplied in the input file:tan_Module.txt
58 source identifiers meeting the filter linked to a Ensembl ID.
40 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
977 Genes linked to a term.
The z score is based on an N of 977 and a R of 40 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Proteasome:KEGG-hsa03050	11	30	62	36.6666666667	48.3870967742	9.1402152508	0.0	0.013375
Valine, leucine and isoleucine degradation:KEGG-hsa00280	8	22	50	36.3636363636	44.0	7.72184671001	0.0	0.013375
Butanoate metabolism:KEGG-hsa00650	5	12	32	41.6666666667	37.5	6.60566812863	0.0	0.013375
Propanoate metabolism:KEGG-hsa00640	6	17	33	35.2941176471	51.5151515152	6.54579574059	0.0	0.013375
Alanine, aspartate and glutamate metabolism:KEGG-hsa00250	4	11	34	36.3636363636	32.3529411765	5.4289932382	0.0	0.013375
Lysine degradation:KEGG-hsa00310	4	12	56	33.3333333333	21.4285714286	5.14057442564	0.0005	0.013375
Pyruvate metabolism:KEGG-hsa00620	6	25	42	24.0	59.5238095238	5.0857100202	0.0	0.013375
Tryptophan metabolism:KEGG-hsa00380	4	13	43	30.7692307692	30.2325581395	4.88380512505	0.001	0.0237777777778
D-Glutamine and D-glutamate metabolism:KEGG-hsa00471	1	1	4	100.0	25.0	4.83993801613	0.035	0.416111111111
beta-Alanine metabolism:KEGG-hsa00410	4	14	28	28.5714285714	50.0	4.65300378322	0.0015	0.0321
Glycolysis / Gluconeogenesis:KEGG-hsa00010	6	30	69	20.0	43.4782608696	4.4633584895	0.0005	0.013375
Glyoxylate and dicarboxylate metabolism:KEGG-hsa00630	3	10	18	30.0	55.5555555556	4.15340255611	0.0035	0.0680909090909
RNA degradation:KEGG-hsa03018	2	5	92	40.0	5.4347826087	4.06009852076	0.011	0.181076923077
Fatty acid metabolism:KEGG-hsa00071	4	19	45	21.0526315789	42.2222222222	3.76530608716	0.004	0.0713333333333
Pentose and glucuronate interconversions:KEGG-hsa00040	2	6	38	33.3333333333	15.7894736842	3.62368714361	0.0195	0.2782
Fatty acid elongation in mitochondria:KEGG-hsa00062	2	6	16	33.3333333333	37.5	3.62368714361	0.0145	0.221642857143
Phenylalanine, tyrosine and tryptophan biosynthesis:KEGG-hsa00400	1	2	5	50.0	40.0	3.27793437834	0.0715	0.805315789474
Citrate cycle (TCA cycle):KEGG-hsa00020	3	20	34	15.0	58.8235294118	2.48563640319	0.021	0.280875
Arginine and proline metabolism:KEGG-hsa00330	3	20	59	15.0	33.8983050847	2.48563640319	0.0295	0.371352941176
Synthesis and degradation of ketone bodies:KEGG-hsa00072	1	4	11	25.0	36.3636363636	2.11329807997	0.1245	1.0
Fat digestion and absorption:KEGG-hsa04975	1	4	53	25.0	7.54716981132	2.11329807997	0.12	1.0
Terpenoid backbone biosynthesis:KEGG-hsa00900	1	5	18	20.0	27.7777777778	1.79857271986	0.154	1.0
Nitrogen metabolism:KEGG-hsa00910	1	5	25	20.0	20.0	1.79857271986	0.1725	1.0
Ascorbate and aldarate metabolism:KEGG-hsa00053	1	5	32	20.0	15.625	1.79857271986	0.1575	1.0
Cysteine and methionine metabolism:KEGG-hsa00270	2	16	39	12.5	41.0256410256	1.71001058144	0.1015	1.0
Phenylalanine metabolism:KEGG-hsa00360	1	6	19	16.6666666667	31.5789473684	1.55814318836	0.1925	1.0
Type II diabetes mellitus:KEGG-hsa04930	1	7	63	14.2857142857	11.1111111111	1.36496969307	0.2065	1.0
Glycerolipid metabolism:KEGG-hsa00561	1	7	60	14.2857142857	11.6666666667	1.36496969307	0.207	1.0
Systemic lupus erythematosus:KEGG-hsa05322	1	8	247	12.5	3.23886639676	1.2041583603	0.253	1.0
Tyrosine metabolism:KEGG-hsa00350	1	9	42	11.1111111111	21.4285714286	1.06672223664	0.27	1.0
Glutathione metabolism:KEGG-hsa00480	2	24	57	8.33333333333	42.1052631579	1.06061906866	0.189	1.0
Histidine metabolism:KEGG-hsa00340	1	10	30	10.0	33.3333333333	0.946864193945	0.2925	1.0
Galactose metabolism:KEGG-hsa00052	1	10	32	10.0	31.25	0.946864193945	0.282	1.0
Starch and sucrose metabolism:KEGG-hsa00500	1	11	64	9.09090909091	17.1875	0.840648606952	0.316	1.0
Proximal tubule bicarbonate reclamation:KEGG-hsa04964	1	11	25	9.09090909091	44.0	0.840648606952	0.314	1.0
Glycine, serine and threonine metabolism:KEGG-hsa00260	1	11	35	9.09090909091	31.4285714286	0.840648606952	0.3155	1.0
Purine metabolism:KEGG-hsa00230	2	31	178	6.45161290323	17.4157303371	0.672816935211	0.259	1.0
Peroxisome:KEGG-hsa04146	1	15	85	6.66666666667	17.6470588235	0.506446183125	0.3965	1.0
Ribosome:KEGG-hsa03010	2	35	109	5.71428571429	32.1100917431	0.492351662685	0.329	1.0
Amino sugar and nucleotide sugar metabolism:KEGG-hsa00520	1	18	51	5.55555555556	35.2941176471	0.315655008681	0.4635	1.0
Vasopressin-regulated water reabsorption:KEGG-hsa04962	1	19	48	5.26315789474	39.5833333333	0.25955254794	0.461	1.0
Adherens junction:KEGG-hsa04520	1	28	88	3.57142857143	31.8181818182	-0.141562763901	0.5975	1.0
alpha-Linolenic acid metabolism:KEGG-hsa00592	0	1	21	0.0	4.7619047619	-0.20661421627	1.0	1.0
Sulfur metabolism:KEGG-hsa00920	0	1	14	0.0	7.14285714286	-0.20661421627	1.0	1.0
Selenocompound metabolism:KEGG-hsa00450	0	1	18	0.0	5.55555555556	-0.20661421627	1.0	1.0
Primary immunodeficiency:KEGG-hsa05340	0	1	79	0.0	1.26582278481	-0.20661421627	1.0	1.0
Mismatch repair:KEGG-hsa03430	0	1	30	0.0	3.33333333333	-0.20661421627	1.0	1.0
Lysine biosynthesis:KEGG-hsa00300	0	1	3	0.0	33.3333333333	-0.20661421627	1.0	1.0
Homologous recombination:KEGG-hsa03440	0	1	35	0.0	2.85714285714	-0.20661421627	1.0	1.0
Glycosphingolipid biosynthesis - lacto and neolacto series:KEGG-hsa00601	0	1	26	0.0	3.84615384615	-0.20661421627	1.0	1.0
Glycosphingolipid biosynthesis - globo series:KEGG-hsa00603	0	1	15	0.0	6.66666666667	-0.20661421627	1.0	1.0
Glycosphingolipid biosynthesis - ganglio series:KEGG-hsa00604	0	1	19	0.0	5.26315789474	-0.20661421627	1.0	1.0
Glycosaminoglycan degradation:KEGG-hsa00531	0	1	19	0.0	5.26315789474	-0.20661421627	1.0	1.0
Fatty acid biosynthesis:KEGG-hsa00061	0	1	7	0.0	14.2857142857	-0.20661421627	1.0	1.0
DNA replication:KEGG-hsa03030	0	1	42	0.0	2.38095238095	-0.20661421627	1.0	1.0
Butirosin and neomycin biosynthesis:KEGG-hsa00524	0	1	6	0.0	16.6666666667	-0.20661421627	1.0	1.0
Base excision repair:KEGG-hsa03410	0	1	36	0.0	2.77777777778	-0.20661421627	1.0	1.0
Basal cell carcinoma:KEGG-hsa05217	0	1	63	0.0	1.5873015873	-0.20661421627	1.0	1.0
Aminoacyl-tRNA biosynthesis:KEGG-hsa00970	0	1	53	0.0	1.88679245283	-0.20661421627	1.0	1.0
Amoebiasis:KEGG-hsa05146	1	31	138	3.22580645161	22.4637681159	-0.247830327676	0.658	1.0
Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412	1	32	88	3.125	36.3636363636	-0.281175096467	0.633	1.0
Vitamin digestion and absorption:KEGG-hsa04977	0	2	28	0.0	7.14285714286	-0.292346432851	1.0	1.0
Valine, leucine and isoleucine biosynthesis:KEGG-hsa00290	0	2	18	0.0	11.1111111111	-0.292346432851	1.0	1.0
Sulfur relay system:KEGG-hsa04122	0	2	11	0.0	18.1818181818	-0.292346432851	1.0	1.0
Sphingolipid metabolism:KEGG-hsa00600	0	2	52	0.0	3.84615384615	-0.292346432851	1.0	1.0
Retinol metabolism:KEGG-hsa00830	0	2	69	0.0	2.89855072464	-0.292346432851	1.0	1.0
Regulation of autophagy:KEGG-hsa04140	0	2	34	0.0	5.88235294118	-0.292346432851	1.0	1.0
Protein export:KEGG-hsa03060	0	2	23	0.0	8.69565217391	-0.292346432851	1.0	1.0
Primary bile acid biosynthesis:KEGG-hsa00120	0	2	17	0.0	11.7647058824	-0.292346432851	1.0	1.0
