Ensembl	symbol	GeneOntology
ENSG00000196126	HLA-DRB1	GO:0035774
ENSG00000117592	PRDX6	GO:0046434
ENSG00000103056	SMPD3	GO:0046434
ENSG00000065135	GNAI3	GO:0046434
ENSG00000120063	GNA13	GO:0046434
ENSG00000024422	EHD2	GO:0046434
ENSG00000135046	ANXA1	GO:0046434
ENSG00000114353	GNAI2	GO:0046434
ENSG00000088256	GNA11	GO:0046434
ENSG00000087460	GNAS	GO:0046434
ENSG00000127314	RAP1B	GO:0046434
ENSG00000138185	ENTPD1	GO:0046434
ENSG00000054179	ENTPD2	GO:0046434
ENSG00000185236	RAB11B	GO:0046434
ENSG00000075785	RAB7A	GO:0046434
ENSG00000103316	CRYM	GO:0046434
ENSG00000156052	GNAQ	GO:0046434
ENSG00000125257	ABCC4	GO:0046434
ENSG00000167461	RAB8A	GO:0046434
ENSG00000126458	RRAS	GO:0046434
ENSG00000112210	RAB23	GO:0046434
ENSG00000137106	GRHPR	GO:0046434
ENSG00000185236	RAB11B	GO:0035773
ENSG00000154229	PRKCA	GO:0034351
ENSG00000154229	PRKCA	GO:0034350
ENSG00000108821	COL1A1	GO:0044344
ENSG00000026508	CD44	GO:0044344
ENSG00000206503	HLA-A	GO:0002707
ENSG00000081237	PTPRC	GO:0002707
ENSG00000206503	HLA-A	GO:0002706
ENSG00000185896	LAMP1	GO:0002706
ENSG00000081237	PTPRC	GO:0002706
ENSG00000206503	HLA-A	GO:0002705
ENSG00000185896	LAMP1	GO:0002705
ENSG00000081237	PTPRC	GO:0002705
ENSG00000206503	HLA-A	GO:0002704
ENSG00000081237	PTPRC	GO:0002704
ENSG00000206503	HLA-A	GO:0002703
ENSG00000185896	LAMP1	GO:0002703
ENSG00000081237	PTPRC	GO:0002703
ENSG00000090339	ICAM1	GO:0002703
ENSG00000081237	PTPRC	GO:0002702
ENSG00000108946	PRKAR1A	GO:0034199
ENSG00000081237	PTPRC	GO:0002700
ENSG00000081237	PTPRC	GO:0060402
ENSG00000185236	RAB11B	GO:0051656
ENSG00000137076	TLN1	GO:0051651
ENSG00000092820	EZR	GO:0051651
ENSG00000196924	FLNA	GO:0051651
ENSG00000185236	RAB11B	GO:0051650
ENSG00000206503	HLA-A	GO:0002709
ENSG00000081237	PTPRC	GO:0002709
ENSG00000206503	HLA-A	GO:0002708
ENSG00000185896	LAMP1	GO:0002708
ENSG00000081237	PTPRC	GO:0002708
ENSG00000065135	GNAI3	GO:0005834
ENSG00000120063	GNA13	GO:0005834
ENSG00000114353	GNAI2	GO:0005834
ENSG00000088256	GNA11	GO:0005834
ENSG00000087460	GNAS	GO:0005834
ENSG00000172380	GNG12	GO:0005834
ENSG00000156052	GNAQ	GO:0005834
ENSG00000109501	WFS1	GO:0003091
ENSG00000273749	CYFIP1	GO:0051495
ENSG00000090339	ICAM1	GO:0051495
ENSG00000006747	SCIN	GO:0051495
ENSG00000185043	CIB1	GO:0051494
ENSG00000077549	CAPZB	GO:0051494
ENSG00000261371	PECAM1	GO:0051494
ENSG00000137710	RDX	GO:0051494
ENSG00000042493	CAPG	GO:0051494
ENSG00000006747	SCIN	GO:0051494
ENSG00000185043	CIB1	GO:0051493
ENSG00000273749	CYFIP1	GO:0051493
ENSG00000077549	CAPZB	GO:0051493
ENSG00000169504	CLIC4	GO:0051493
ENSG00000261371	PECAM1	GO:0051493
ENSG00000046653	GPM6B	GO:0051493
ENSG00000164050	PLXNB1	GO:0051493
ENSG00000162909	CAPN2	GO:0051493
ENSG00000137710	RDX	GO:0051493
ENSG00000042493	CAPG	GO:0051493
ENSG00000090339	ICAM1	GO:0051493
ENSG00000006747	SCIN	GO:0051493
ENSG00000171885	AQP4	GO:0003097
ENSG00000013364	MVP	GO:0033239
ENSG00000261371	PECAM1	GO:0033239
ENSG00000081237	PTPRC	GO:0033239
ENSG00000013364	MVP	GO:0033238
ENSG00000154229	PRKCA	GO:0033238
ENSG00000160255	ITGB2	GO:0033238
ENSG00000261371	PECAM1	GO:0033238
ENSG00000069535	MAOB	GO:0033238
ENSG00000161638	ITGA5	GO:0033238
ENSG00000081237	PTPRC	GO:0033238
ENSG00000100911	PSME2	GO:0033238
ENSG00000142192	APP	GO:0033238
ENSG00000026508	CD44	GO:0033238
ENSG00000090339	ICAM1	GO:0033238
