GO-Elite ORA Results
File:
Table:
Database: Based on OBO-Database version: 6/14/2011
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
182 Ensembl source identifiers supplied in the input file:yellow_Module.txt
182 source identifiers meeting the filter linked to a Ensembl ID.
181 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
1732 Genes linked to a term.
The z score is based on an N of 1732 and a R of 181 distinct genes in all terms.

Ontology-ID	Ontology Name	Ontology Type	Number Changed	Number Measured	Number in Ontology	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
GO:0009986	cell surface	cellular_component	35	93	494	37.6344086022	18.8259109312	8.80678892738	0.0	0.040020661157
GO:0044459	plasma membrane part	cellular_component	76	335	2440	22.6865671642	13.7295081967	8.14934565611	0.0	0.040020661157
GO:0005886	plasma membrane	cellular_component	104	551	4159	18.8747731397	13.2483770137	7.82604683829	0.0	0.040020661157
GO:0098636	protein complex involved in cell adhesion	cellular_component	11	17	31	64.7058823529	54.8387096774	7.34662194153	0.0	0.040020661157
GO:0008305	integrin complex	cellular_component	11	17	31	64.7058823529	54.8387096774	7.34662194153	0.0	0.040020661157
GO:0007229	integrin-mediated signaling pathway	biological_process	14	28	79	50.0	35.4430379747	6.89506142629	0.0	0.040020661157
GO:0009897	external side of plasma membrane	cellular_component	16	37	204	43.2432432432	18.137254902	6.58941755582	0.0	0.040020661157
GO:0033627	cell adhesion mediated by integrin	biological_process	6	7	11	85.7142857143	63.6363636364	6.52067644348	0.0	0.040020661157
GO:0050878	regulation of body fluid levels	biological_process	38	145	611	26.2068965517	23.7315875614	6.47750726238	0.0	0.040020661157
GO:0050817	coagulation	biological_process	36	135	490	26.6666666667	27.5510204082	6.41236114432	0.0	0.040020661157
GO:0007596	blood coagulation	biological_process	36	135	490	26.6666666667	27.5510204082	6.41236114432	0.0	0.040020661157
GO:0060089	molecular transducer activity	molecular_function	39	153	2217	25.4901960784	6.90121786198	6.36721303301	0.0	0.040020661157
GO:0007599	hemostasis	biological_process	36	137	495	26.2773722628	27.6767676768	6.30856361257	0.0	0.040020661157
GO:0031589	cell-substrate adhesion	biological_process	15	38	140	39.4736842105	27.1428571429	5.9119899487	0.0	0.040020661157
GO:0061028	establishment of endothelial barrier	biological_process	5	6	16	83.3333333333	37.5	5.84430170139	0.0	0.040020661157
GO:0030055	cell-substrate junction	cellular_component	16	44	159	36.3636363636	27.6729559748	5.69002149157	0.0	0.040020661157
GO:0032501	multicellular organismal process	biological_process	71	397	3326	17.8841309824	11.9362597715	5.51335334054	0.0	0.040020661157
GO:0044425	membrane part	cellular_component	101	643	7095	15.7076205288	9.06272022551	5.49418657155	0.0	0.040020661157
GO:0007160	cell-matrix adhesion	biological_process	12	29	100	41.3793103448	29.0	5.48919023723	0.0	0.040020661157
GO:0098552	side of membrane	cellular_component	16	46	245	34.7826086957	18.7755102041	5.46617907121	0.0	0.040020661157
GO:0004872	receptor activity	molecular_function	25	91	1861	27.4725274725	4.8898441698	5.45171126288	0.0	0.040020661157
GO:0044707	single-multicellular organism process	biological_process	70	393	3259	17.8117048346	12.0589137772	5.42394385549	0.0	0.040020661157
GO:0043235	receptor complex	cellular_component	16	47	285	34.0425531915	16.4912280702	5.35881516263	0.0	0.040020661157
GO:0005912	adherens junction	cellular_component	18	57	220	31.5789473684	25.9090909091	5.30092913184	0.0	0.040020661157
GO:0001775	cell activation	biological_process	27	105	608	25.7142857143	17.2697368421	5.2737402865	0.0	0.040020661157
GO:0005924	cell-substrate adherens junction	cellular_component	14	39	152	35.8974358974	25.6578947368	5.25282795442	0.0	0.040020661157
GO:0016020	membrane	cellular_component	141	1036	7772	13.61003861	13.3299022131	5.24289632432	0.0	0.040020661157
GO:0045335	phagocytic vesicle	cellular_component	7	13	43	53.8461538462	30.2325581395	5.13254477088	0.0005	0.040020661157
GO:0032879	regulation of localization	biological_process	60	330	1944	18.1818181818	16.975308642	5.10148216177	0.0	0.040020661157
GO:0065008	regulation of biological quality	biological_process	78	470	2720	16.5957446809	17.2794117647	5.10059123132	0.0	0.040020661157
GO:2000401	regulation of lymphocyte migration	biological_process	4	5	42	80.0	11.9047619048	5.08961626693	0.0005	0.040020661157
GO:0071295	cellular response to vitamin	biological_process	3	3	11	100.0	27.2727272727	5.07315668939	0.0	0.040020661157
GO:0034698	response to gonadotropin	biological_process	3	3	28	100.0	10.7142857143	5.07315668939	0.0025	0.14412202381
GO:0031670	cellular response to nutrient	biological_process	3	3	14	100.0	21.4285714286	5.07315668939	0.0	0.040020661157
GO:0022614	membrane to membrane docking	biological_process	3	3	5	100.0	60.0	5.07315668939	0.0	0.040020661157
GO:0004871	signal transducer activity	molecular_function	29	121	1963	23.9669421488	6.16403464086	5.03806161741	0.0	0.040020661157
GO:0007155	cell adhesion	biological_process	37	171	1024	21.6374269006	16.69921875	5.03575510145	0.0	0.040020661157
GO:0016323	basolateral plasma membrane	cellular_component	14	41	158	34.1463414634	25.9493670886	5.01818086602	0.0	0.040020661157
GO:0022610	biological adhesion	biological_process	37	172	1027	21.511627907	16.7478091529	4.99526582026	0.0	0.040020661157
GO:0030670	phagocytic vesicle membrane	cellular_component	8	17	86	47.0588235294	19.7674418605	4.95707279548	0.0005	0.040020661157
GO:0070161	anchoring junction	cellular_component	18	61	241	29.5081967213	25.3112033195	4.95224177188	0.0	0.040020661157
GO:0005178	integrin binding	molecular_function	12	33	99	36.3636363636	33.3333333333	4.91172530349	0.0	0.040020661157
GO:0030168	platelet activation	biological_process	19	67	207	28.3582089552	32.3671497585	4.88568282739	0.0	0.040020661157
GO:0008360	regulation of cell shape	biological_process	11	29	123	37.9310344828	23.5772357724	4.87719941065	0.0	0.040020661157
GO:0030335	positive regulation of cell migration	biological_process	15	47	298	31.914893617	15.7718120805	4.87553123336	0.0	0.040020661157
GO:0043236	laminin binding	molecular_function	7	14	29	50.0	48.275862069	4.85563862219	0.0	0.040020661157
GO:0005925	focal adhesion	cellular_component	13	38	146	34.2105263158	26.0273972603	4.83989628404	0.0	0.040020661157
GO:0042383	sarcolemma	cellular_component	12	34	76	35.2941176471	44.7368421053	4.78122709808	0.0	0.040020661157
GO:2000147	positive regulation of cell motility	biological_process	15	48	304	31.25	15.7894736842	4.77591855656	0.0	0.040020661157
GO:0040017	positive regulation of locomotion	biological_process	15	48	322	31.25	14.9068322981	4.77591855656	0.0	0.040020661157
GO:0051223	regulation of protein transport	biological_process	23	92	569	25.0	16.1687170475	4.68679413767	0.0	0.040020661157
GO:0044421	extracellular region part	cellular_component	128	941	3701	13.6025504782	25.4255606593	4.67597444516	0.0	0.040020661157
GO:0043062	extracellular structure organization	biological_process	22	87	379	25.2873563218	22.9551451187	4.64060172318	0.0	0.040020661157
GO:0030198	extracellular matrix organization	biological_process	22	87	378	25.2873563218	23.0158730159	4.64060172318	0.0	0.040020661157
GO:0045121	membrane raft	cellular_component	17	60	227	28.3333333333	26.4317180617	4.60732430243	0.0005	0.040020661157
GO:0002685	regulation of leukocyte migration	biological_process	7	15	125	46.6666666667	12.0	4.60379565836	0.0015	0.100885416667
GO:0071396	cellular response to lipid	biological_process	11	31	258	35.4838709677	12.015503876	4.59623181895	0.0	0.040020661157
GO:0034329	cell junction assembly	biological_process	14	45	158	31.1111111111	28.4810126582	4.58929888127	0.0	0.040020661157
GO:0050730	regulation of peptidyl-tyrosine phosphorylation	biological_process	10	27	190	37.037037037	14.2105263158	4.5502494674	0.0	0.040020661157
