Ensembl	symbol	KEGG
ENSG00000103056	SMPD3	Sphingolipid metabolism:KEGG-hsa00600
ENSG00000104763	ASAH1	Sphingolipid metabolism:KEGG-hsa00600
ENSG00000165092	ALDH1A1	Retinol metabolism:KEGG-hsa00830
ENSG00000119421	NDUFA8	Huntington's disease:KEGG-hsa05016
ENSG00000169100	SLC25A6	Huntington's disease:KEGG-hsa05016
ENSG00000172115	CYCS	Huntington's disease:KEGG-hsa05016
ENSG00000005022	SLC25A5	Huntington's disease:KEGG-hsa05016
ENSG00000156052	GNAQ	Huntington's disease:KEGG-hsa05016
ENSG00000154229	PRKCA	Long-term potentiation:KEGG-hsa04720
ENSG00000127314	RAP1B	Long-term potentiation:KEGG-hsa04720
ENSG00000156052	GNAQ	Long-term potentiation:KEGG-hsa04720
ENSG00000133433	GSTT2B	Glutathione metabolism:KEGG-hsa00480
ENSG00000213366	GSTM2	Glutathione metabolism:KEGG-hsa00480
ENSG00000099998	GGT5	Glutathione metabolism:KEGG-hsa00480
ENSG00000117450	PRDX1	Peroxisome:KEGG-hsa04146
ENSG00000069535	MAOB	Arginine and proline metabolism:KEGG-hsa00330
ENSG00000047457	CP	Porphyrin and chlorophyll metabolism:KEGG-hsa00860
ENSG00000087086	FTL	Porphyrin and chlorophyll metabolism:KEGG-hsa00860
ENSG00000125257	ABCC4	ABC transporters:KEGG-hsa02010
ENSG00000172115	CYCS	Amyotrophic lateral sclerosis (ALS):KEGG-hsa05014
ENSG00000204287	HLA-DRA	Staphylococcus aureus infection:KEGG-hsa05150
ENSG00000150337	FCGR1A	Staphylococcus aureus infection:KEGG-hsa05150
ENSG00000160255	ITGB2	Staphylococcus aureus infection:KEGG-hsa05150
ENSG00000244731	C4A	Staphylococcus aureus infection:KEGG-hsa05150
ENSG00000196126	HLA-DRB1	Staphylococcus aureus infection:KEGG-hsa05150
ENSG00000090339	ICAM1	Staphylococcus aureus infection:KEGG-hsa05150
ENSG00000169100	SLC25A6	Calcium signaling pathway:KEGG-hsa04020
ENSG00000154229	PRKCA	Calcium signaling pathway:KEGG-hsa04020
ENSG00000161714	PLCD3	Calcium signaling pathway:KEGG-hsa04020
ENSG00000004468	CD38	Calcium signaling pathway:KEGG-hsa04020
ENSG00000088256	GNA11	Calcium signaling pathway:KEGG-hsa04020
ENSG00000087460	GNAS	Calcium signaling pathway:KEGG-hsa04020
ENSG00000005022	SLC25A5	Calcium signaling pathway:KEGG-hsa04020
ENSG00000156052	GNAQ	Calcium signaling pathway:KEGG-hsa04020
ENSG00000161638	ITGA5	Shigellosis:KEGG-hsa05131
ENSG00000026508	CD44	Shigellosis:KEGG-hsa05131
ENSG00000150093	ITGB1	Shigellosis:KEGG-hsa05131
ENSG00000116661	FBXO2	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000100911	PSME2	Proteasome:KEGG-hsa03050
ENSG00000154229	PRKCA	GnRH signaling pathway:KEGG-hsa04912
ENSG00000088256	GNA11	GnRH signaling pathway:KEGG-hsa04912
ENSG00000087460	GNAS	GnRH signaling pathway:KEGG-hsa04912
ENSG00000156052	GNAQ	GnRH signaling pathway:KEGG-hsa04912
ENSG00000129219	PLD2	GnRH signaling pathway:KEGG-hsa04912
ENSG00000127314	RAP1B	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000137106	GRHPR	Pyruvate metabolism:KEGG-hsa00620
ENSG00000091409	ITGA6	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000273749	CYFIP1	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000082781	ITGB5	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000092820	EZR	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000120063	GNA13	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000160255	ITGB2	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000135424	ITGA7	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000140678	ITGAX	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000147065	MSN	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000161638	ITGA5	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000138448	ITGAV	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000164171	ITGA2	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000172380	GNG12	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000132470	ITGB4	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000005884	ITGA3	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000137710	RDX	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000170458	CD14	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000006747	SCIN	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000150093	ITGB1	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000126458	RRAS	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000099998	GGT5	Cyanoamino acid metabolism:KEGG-hsa00460
ENSG00000204287	HLA-DRA	Rheumatoid arthritis:KEGG-hsa05323
ENSG00000160255	ITGB2	Rheumatoid arthritis:KEGG-hsa05323
ENSG00000196126	HLA-DRB1	Rheumatoid arthritis:KEGG-hsa05323
ENSG00000090339	ICAM1	Rheumatoid arthritis:KEGG-hsa05323
ENSG00000154229	PRKCA	Fc epsilon RI signaling pathway:KEGG-hsa04664
ENSG00000065135	GNAI3	Chemokine signaling pathway:KEGG-hsa04062
ENSG00000114450	GNB4	Chemokine signaling pathway:KEGG-hsa04062
ENSG00000114353	GNAI2	Chemokine signaling pathway:KEGG-hsa04062
ENSG00000127314	RAP1B	Chemokine signaling pathway:KEGG-hsa04062
ENSG00000172380	GNG12	Chemokine signaling pathway:KEGG-hsa04062
ENSG00000092531	SNAP23	SNARE interactions in vesicular transport:KEGG-hsa04130
ENSG00000103496	STX4	SNARE interactions in vesicular transport:KEGG-hsa04130
ENSG00000154229	PRKCA	Non-small cell lung cancer:KEGG-hsa05223
ENSG00000129151	BBOX1	Lysine degradation:KEGG-hsa00310
ENSG00000091409	ITGA6	Toxoplasmosis:KEGG-hsa05145
ENSG00000065135	GNAI3	Toxoplasmosis:KEGG-hsa05145
ENSG00000204287	HLA-DRA	Toxoplasmosis:KEGG-hsa05145
ENSG00000172115	CYCS	Toxoplasmosis:KEGG-hsa05145
ENSG00000114353	GNAI2	Toxoplasmosis:KEGG-hsa05145
ENSG00000126803	HSPA2	Toxoplasmosis:KEGG-hsa05145
ENSG00000196126	HLA-DRB1	Toxoplasmosis:KEGG-hsa05145
ENSG00000150093	ITGB1	Toxoplasmosis:KEGG-hsa05145
ENSG00000204287	HLA-DRA	Leishmaniasis:KEGG-hsa05140
ENSG00000150337	FCGR1A	Leishmaniasis:KEGG-hsa05140
ENSG00000160255	ITGB2	Leishmaniasis:KEGG-hsa05140
ENSG00000175130	MARCKSL1	Leishmaniasis:KEGG-hsa05140
ENSG00000196126	HLA-DRB1	Leishmaniasis:KEGG-hsa05140
ENSG00000150093	ITGB1	Leishmaniasis:KEGG-hsa05140
ENSG00000160255	ITGB2	Malaria:KEGG-hsa05144
ENSG00000261371	PECAM1	Malaria:KEGG-hsa05144
ENSG00000090339	ICAM1	Malaria:KEGG-hsa05144
ENSG00000102032	RENBP	Amino sugar and nucleotide sugar metabolism:KEGG-hsa00520
ENSG00000150337	FCGR1A	Osteoclast differentiation:KEGG-hsa04380
ENSG00000165168	CYBB	Osteoclast differentiation:KEGG-hsa04380
ENSG00000164708	PGAM2	Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000154229	PRKCA	Fc gamma R-mediated phagocytosis:KEGG-hsa04666
ENSG00000150337	FCGR1A	Fc gamma R-mediated phagocytosis:KEGG-hsa04666
ENSG00000277443	MARCKS	Fc gamma R-mediated phagocytosis:KEGG-hsa04666
ENSG00000175130	MARCKSL1	Fc gamma R-mediated phagocytosis:KEGG-hsa04666
ENSG00000081237	PTPRC	Fc gamma R-mediated phagocytosis:KEGG-hsa04666
ENSG00000006747	SCIN	Fc gamma R-mediated phagocytosis:KEGG-hsa04666
ENSG00000129219	PLD2	Fc gamma R-mediated phagocytosis:KEGG-hsa04666
ENSG00000120063	GNA13	Vascular smooth muscle contraction:KEGG-hsa04270
ENSG00000154229	PRKCA	Vascular smooth muscle contraction:KEGG-hsa04270
ENSG00000088256	GNA11	Vascular smooth muscle contraction:KEGG-hsa04270
ENSG00000087460	GNAS	Vascular smooth muscle contraction:KEGG-hsa04270
ENSG00000156052	GNAQ	Vascular smooth muscle contraction:KEGG-hsa04270
ENSG00000170458	CD14	Toll-like receptor signaling pathway:KEGG-hsa04620
ENSG00000204287	HLA-DRA	Intestinal immune network for IgA production:KEGG-hsa04672
ENSG00000196126	HLA-DRB1	Intestinal immune network for IgA production:KEGG-hsa04672
ENSG00000091409	ITGA6	Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410
ENSG00000082781	ITGB5	Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410
ENSG00000170624	SGCD	Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410
ENSG00000135424	ITGA7	Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410
ENSG00000161638	ITGA5	Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410
ENSG00000138448	ITGAV	Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410
ENSG00000164171	ITGA2	Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410
ENSG00000132470	ITGB4	Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410
ENSG00000005884	ITGA3	Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410
ENSG00000150093	ITGB1	Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410
ENSG00000154229	PRKCA	Salivary secretion:KEGG-hsa04970
ENSG00000004468	CD38	Salivary secretion:KEGG-hsa04970
ENSG00000087460	GNAS	Salivary secretion:KEGG-hsa04970
ENSG00000156052	GNAQ	Salivary secretion:KEGG-hsa04970
ENSG00000112210	RAB23	Hedgehog signaling pathway:KEGG-hsa04340
ENSG00000091409	ITGA6	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412
ENSG00000082781	ITGB5	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412
ENSG00000170624	SGCD	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412
ENSG00000170558	CDH2	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412
ENSG00000135424	ITGA7	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412
ENSG00000161638	ITGA5	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412
ENSG00000152661	GJA1	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412
ENSG00000138448	ITGAV	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412
ENSG00000164171	ITGA2	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412
ENSG00000132470	ITGB4	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412
ENSG00000005884	ITGA3	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412
ENSG00000150093	ITGB1	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412
ENSG00000092621	PHGDH	Glycine, serine and threonine metabolism:KEGG-hsa00260
ENSG00000069535	MAOB	Glycine, serine and threonine metabolism:KEGG-hsa00260
ENSG00000127314	RAP1B	Renal cell carcinoma:KEGG-hsa05211
ENSG00000087460	GNAS	Taste transduction:KEGG-hsa04742
ENSG00000172115	CYCS	Apoptosis:KEGG-hsa04210
ENSG00000108946	PRKAR1A	Apoptosis:KEGG-hsa04210
ENSG00000162909	CAPN2	Apoptosis:KEGG-hsa04210
ENSG00000133433	GSTT2B	Drug metabolism - cytochrome P450:KEGG-hsa00982
ENSG00000213366	GSTM2	Drug metabolism - cytochrome P450:KEGG-hsa00982
ENSG00000069535	MAOB	Drug metabolism - cytochrome P450:KEGG-hsa00982
ENSG00000204287	HLA-DRA	Autoimmune thyroid disease:KEGG-hsa05320
ENSG00000206503	HLA-A	Autoimmune thyroid disease:KEGG-hsa05320
ENSG00000196126	HLA-DRB1	Autoimmune thyroid disease:KEGG-hsa05320
ENSG00000164039	BDH2	Butanoate metabolism:KEGG-hsa00650
ENSG00000069535	MAOB	Tyrosine metabolism:KEGG-hsa00350
ENSG00000171885	AQP4	Bile secretion:KEGG-hsa04976
ENSG00000087460	GNAS	Bile secretion:KEGG-hsa04976
ENSG00000125257	ABCC4	Bile secretion:KEGG-hsa04976
ENSG00000104067	TJP1	Adherens junction:KEGG-hsa04520
ENSG00000095637	SORBS1	Adherens junction:KEGG-hsa04520
ENSG00000104067	TJP1	Vibrio cholerae infection:KEGG-hsa05110
ENSG00000154229	PRKCA	Vibrio cholerae infection:KEGG-hsa05110
ENSG00000087460	GNAS	Vibrio cholerae infection:KEGG-hsa05110
ENSG00000108946	PRKAR1A	Insulin signaling pathway:KEGG-hsa04910
ENSG00000095637	SORBS1	Insulin signaling pathway:KEGG-hsa04910
ENSG00000104067	TJP1	Tight junction:KEGG-hsa04530
ENSG00000065135	GNAI3	Tight junction:KEGG-hsa04530
ENSG00000154229	PRKCA	Tight junction:KEGG-hsa04530
ENSG00000114353	GNAI2	Tight junction:KEGG-hsa04530
ENSG00000079819	EPB41L2	Tight junction:KEGG-hsa04530
ENSG00000126458	RRAS	Tight junction:KEGG-hsa04530
