GO-Elite ORA Results
File:
Table:
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
182 Ensembl source identifiers supplied in the input file:yellow_Module.txt
182 source identifiers meeting the filter linked to a Ensembl ID.
115 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
977 Genes linked to a term.
The z score is based on an N of 977 and a R of 115 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Hematopoietic cell lineage:KEGG-hsa04640	10	14	126	71.4285714286	11.1111111111	6.97325188818	0.0	0.0107
Cell adhesion molecules (CAMs):KEGG-hsa04514	13	35	254	37.1428571429	13.7795275591	4.74113613354	0.0	0.0107
ECM-receptor interaction:KEGG-hsa04512	12	32	118	37.5	27.1186440678	4.58990317665	0.0	0.0107
Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412	12	32	88	37.5	36.3636363636	4.58990317665	0.0	0.0107
Staphylococcus aureus infection:KEGG-hsa05150	6	11	173	54.5454545455	6.35838150289	4.42498653711	0.0	0.0107
Dilated cardiomyopathy:KEGG-hsa05414	11	31	120	35.4838709677	25.8333333333	4.16141800056	0.001	0.0178333333333
Leishmaniasis:KEGG-hsa05140	6	12	167	50.0	7.18562874251	4.13275755277	0.0005	0.0107
Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410	10	27	112	37.037037037	24.1071428571	4.1293227109	0.001	0.0178333333333
Focal adhesion:KEGG-hsa04510	18	67	244	26.8656716418	27.4590163934	3.97068246091	0.0	0.0107
Graft-versus-host disease:KEGG-hsa05332	3	4	284	75.0	1.40845070423	3.93014601065	0.0035	0.0416111111111
Autoimmune thyroid disease:KEGG-hsa05320	3	4	165	75.0	2.42424242424	3.93014601065	0.0035	0.0416111111111
Allograft rejection:KEGG-hsa05330	3	4	157	75.0	2.54777070064	3.93014601065	0.0035	0.0416111111111
Sphingolipid metabolism:KEGG-hsa00600	2	2	52	100.0	3.84615384615	3.87384564026	0.01	0.101904761905
Intestinal immune network for IgA production:KEGG-hsa04672	2	2	126	100.0	1.5873015873	3.87384564026	0.011	0.102347826087
Asthma:KEGG-hsa05310	2	2	109	100.0	1.83486238532	3.87384564026	0.011	0.102347826087
Small cell lung cancer:KEGG-hsa05222	6	13	106	46.1538461538	12.2641509434	3.87075206864	0.0015	0.0246923076923
Leukocyte transendothelial migration:KEGG-hsa04670	11	34	135	32.3529411765	25.1851851852	3.78872104873	0.0	0.0107
Regulation of actin cytoskeleton:KEGG-hsa04810	20	81	234	24.6913580247	34.6153846154	3.76607667859	0.0	0.0107
Toxoplasmosis:KEGG-hsa05145	8	23	252	34.7826086957	9.12698412698	3.46384769716	0.0025	0.0356666666667
Systemic lupus erythematosus:KEGG-hsa05322	4	8	247	50.0	3.23886639676	3.36741053971	0.0065	0.0732105263158
Phagosome:KEGG-hsa04145	15	59	314	25.4237288136	18.7898089172	3.3554420417	0.0005	0.0107
Viral myocarditis:KEGG-hsa05416	7	20	194	35.0	10.3092783505	3.25545406506	0.002	0.0305714285714
Primary immunodeficiency:KEGG-hsa05340	1	1	79	100.0	1.26582278481	2.73781887164	0.102	0.580052631579
Long-term depression:KEGG-hsa04730	7	24	79	29.1666666667	30.3797468354	2.67623342092	0.0125	0.107
Tuberculosis:KEGG-hsa05152	10	41	288	24.3902439024	14.2361111111	2.56043445623	0.0075	0.08025
Type I diabetes mellitus:KEGG-hsa04940	3	7	167	42.8571428571	4.19161676647	2.56006344738	0.031	0.228266666667
Amoebiasis:KEGG-hsa05146	8	31	138	25.8064516129	22.4637681159	2.46312836541	0.0115	0.102541666667
Gap junction:KEGG-hsa04540	8	32	104	25.0	30.7692307692	2.35999994265	0.0185	0.152269230769
Antigen processing and presentation:KEGG-hsa04612	5	17	441	29.4117647059	3.85487528345	2.27577802158	0.0225	0.178333333333
Malaria:KEGG-hsa05144	3	8	66	37.5	12.1212121212	2.26635294356	0.045	0.31064516129
Chagas disease (American trypanosomiasis):KEGG-hsa05142	5	18	142	27.7777777778	12.676056338	2.12596053746	0.0315	0.228266666667
Ether lipid metabolism:KEGG-hsa00565	2	5	38	40.0	13.1578947368	1.96276582364	0.0835	0.496361111111
Rheumatoid arthritis:KEGG-hsa05323	4	15	191	26.6666666667	7.85340314136	1.80319596094	0.07	0.453939393939
Metabolism of xenobiotics by cytochrome P450:KEGG-hsa00980	3	10	79	30.0	12.6582278481	1.79710328547	0.081	0.495257142857
Drug metabolism - cytochrome P450:KEGG-hsa00982	3	10	84	30.0	11.9047619048	1.79710328547	0.077	0.484647058824
Glutamatergic synapse:KEGG-hsa04724	8	39	129	20.5128205128	30.2325581395	1.72807769943	0.103	0.580052631579
Sulfur relay system:KEGG-hsa04122	1	2	11	50.0	18.1818181818	1.67851664343	0.199	0.760464285714
Retinol metabolism:KEGG-hsa00830	1	2	69	50.0	2.89855072464	1.67851664343	0.206	0.773403508772
Phenylalanine metabolism:KEGG-hsa00360	2	6	19	33.3333333333	31.5789473684	1.64317640291	0.129	0.6527
Fc gamma R-mediated phagocytosis:KEGG-hsa04666	7	34	108	20.5882352941	31.4814814815	1.62310427844	0.1405	0.6527
Gastric acid secretion:KEGG-hsa04971	6	30	82	20.0	36.5853658537	1.41992054258	0.2285	0.800415584416
Porphyrin and chlorophyll metabolism:KEGG-hsa00860	2	7	50	28.5714285714	14.0	1.3835902639	0.146	0.6527
Melanogenesis:KEGG-hsa04916	5	25	110	20.0	22.7272727273	1.29279580633	0.1085	0.580475
Apoptosis:KEGG-hsa04210	3	13	114	23.0769230769	11.4035087719	1.27281886205	0.1505	0.6527
African trypanosomiasis:KEGG-hsa05143	3	13	50	23.0769230769	26.0	1.27281886205	0.149	0.6527
Vasopressin-regulated water reabsorption:KEGG-hsa04962	4	19	48	21.0526315789	39.5833333333	1.2672085024	0.139	0.6527
Pancreatic secretion:KEGG-hsa04972	6	32	107	18.75	29.9065420561	1.24504832564	0.219	0.800415584416
Calcium signaling pathway:KEGG-hsa04020	8	46	191	17.3913043478	24.0837696335	1.21116118895	0.222	0.800415584416
p53 signaling pathway:KEGG-hsa04115	1	3	79	33.3333333333	3.79746835443	1.16011042167	0.277	0.800415584416
Steroid hormone biosynthesis:KEGG-hsa00140	1	3	71	33.3333333333	4.22535211268	1.16011042167	0.285	0.800415584416
One carbon pool by folate:KEGG-hsa00670	1	3	23	33.3333333333	13.0434782609	1.16011042167	0.279	0.800415584416
Hedgehog signaling pathway:KEGG-hsa04340	1	3	61	33.3333333333	4.91803278689	1.16011042167	0.2995	0.805722891566
Cyanoamino acid metabolism:KEGG-hsa00460	1	3	7	33.3333333333	42.8571428571	1.16011042167	0.2865	0.800415584416
ABC transporters:KEGG-hsa02010	1	3	62	33.3333333333	4.83870967742	1.16011042167	0.281	0.800415584416
GnRH signaling pathway:KEGG-hsa04912	5	27	107	18.5185185185	25.2336448598	1.10280486503	0.3065	0.805722891566
Natural killer cell mediated cytotoxicity:KEGG-hsa04650	4	21	409	19.0476190476	5.13447432763	1.04554702342	0.162	0.666692307692
Vascular smooth muscle contraction:KEGG-hsa04270	5	28	125	17.8571428571	22.4	1.01350167715	0.296	0.805722891566
SNARE interactions in vesicular transport:KEGG-hsa04130	2	9	38	22.2222222222	23.6842105263	0.976964839069	0.247	0.800415584416
MAPK signaling pathway:KEGG-hsa04010	8	50	323	16.0	15.479876161	0.952199181201	0.371	0.837830188679
Lysosome:KEGG-hsa04142	5	29	146	17.2413793103	19.8630136986	0.927578954002	0.31	0.805722891566
Taurine and hypotaurine metabolism:KEGG-hsa00430	1	4	11	25.0	36.3636363636	0.822292791383	0.373	0.837830188679
Taste transduction:KEGG-hsa04742	1	4	73	25.0	5.47945205479	0.822292791383	0.3725	0.837830188679
Synthesis and degradation of ketone bodies:KEGG-hsa00072	1	4	11	25.0	36.3636363636	0.822292791383	0.373	0.837830188679
Measles:KEGG-hsa05162	2	10	183	20.0	5.46448087432	0.811269534821	0.2875	0.800415584416
Complement and coagulation cascades:KEGG-hsa04610	2	10	119	20.0	8.40336134454	0.811269534821	0.2795	0.800415584416
Purine metabolism:KEGG-hsa00230	5	31	178	16.1290322581	17.4157303371	0.764838730261	0.5445	0.930344155844
Glycine, serine and threonine metabolism:KEGG-hsa00260	2	11	35	18.1818181818	31.4285714286	0.663218560815	0.3125	0.805722891566
Glycerophospholipid metabolism:KEGG-hsa00564	1	5	100	20.0	5.0	0.572176839089	0.433	0.847245454545
Bile secretion:KEGG-hsa04976	3	19	75	15.7894736842	25.3333333333	0.548657889026	0.5845	0.930344155844
Arachidonic acid metabolism:KEGG-hsa00590	2	12	62	16.6666666667	19.3548387097	0.529273278735	0.3625	0.837830188679
Tight junction:KEGG-hsa04530	6	42	152	14.2857142857	27.6315789474	0.516739430694	0.618	0.930344155844
Progesterone-mediated oocyte maturation:KEGG-hsa04914	2	13	94	15.3846153846	13.829787234	0.406841126518	0.7645	1.0
Chemokine signaling pathway:KEGG-hsa04062	5	36	222	13.8888888889	16.2162162162	0.401635938244	0.773	1.0
Pathways in cancer:KEGG-hsa05200	7	52	395	13.4615384615	13.164556962	0.388635958693	0.8265	1.0
Pentose and glucuronate interconversions:KEGG-hsa00040	1	6	38	16.6666666667	15.7894736842	0.373094642117	0.476	0.9095
Vibrio cholerae infection:KEGG-hsa05110	3	21	67	14.2857142857	31.3432835821	0.361354497043	0.6225	0.930344155844
Pathogenic Escherichia coli infection:KEGG-hsa05130	4	29	67	13.7931034483	43.2835820896	0.342904993963	0.7185	0.979356687898
Axon guidance:KEGG-hsa04360	5	37	136	13.5135135135	27.2058823529	0.335195451199	0.777	1.0
Salivary secretion:KEGG-hsa04970	4	30	96	13.3333333333	31.25	0.269620069859	0.964	1.0
Osteoclast differentiation:KEGG-hsa04380	2	15	198	13.3333333333	7.57575757576	0.18915798216	0.8	1.0
Shigellosis:KEGG-hsa05131	3	24	68	12.5	35.2941176471	0.11219316376	0.935	1.0
Glutathione metabolism:KEGG-hsa00480	3	24	57	12.5	42.1052631579	0.11219316376	0.9375	1.0
Nicotinate and nicotinamide metabolism:KEGG-hsa00760	1	8	27	12.5	29.6296296296	0.0642377512594	0.5935	0.930344155844
Endocrine and other factor-regulated calcium reabsorption:KEGG-hsa04961	3	26	52	11.5384615385	50.0	-0.0372303770827	0.945	1.0
Alzheimer's disease:KEGG-hsa05010	6	52	200	11.5384615385	26.0	-0.0533865461301	0.9955	1.0
Tyrosine metabolism:KEGG-hsa00350	1	9	42	11.1111111111	21.4285714286	-0.0616582814646	0.637	0.930344155844
Spliceosome:KEGG-hsa03040	1	9	176	11.1111111111	5.11363636364	-0.0616582814646	0.628	0.930344155844
Pyrimidine metabolism:KEGG-hsa00240	1	9	111	11.1111111111	8.10810810811	-0.0616582814646	0.6275	0.930344155844
Colorectal cancer:KEGG-hsa05210	1	9	77	11.1111111111	11.6883116883	-0.0616582814646	0.628	0.930344155844
Carbohydrate digestion and absorption:KEGG-hsa04973	1	9	53	11.1111111111	16.9811320755	-0.0616582814646	0.6295	0.930344155844
Toll-like receptor signaling pathway:KEGG-hsa04620	1	10	131	10.0	7.63358778626	-0.174564215826	0.6495	0.930344155844
Non-small cell lung cancer:KEGG-hsa05223	1	10	75	10.0	13.3333333333	-0.174564215826	0.676	0.933316129032
Histidine metabolism:KEGG-hsa00340	1	10	30	10.0	33.3333333333	-0.174564215826	0.6665	0.930344155844
Glyoxylate and dicarboxylate metabolism:KEGG-hsa00630	1	10	18	10.0	55.5555555556	-0.174564215826	0.666	0.930344155844
Long-term potentiation:KEGG-hsa04720	3	29	76	10.3448275862	38.1578947368	-0.241768966075	0.954	1.0
Parkinson's disease:KEGG-hsa05012	4	38	150	10.5263157895	25.3333333333	-0.242683213399	0.988	1.0
Phosphatidylinositol signaling system:KEGG-hsa04070	2	20	86	10.0	23.2558139535	-0.248157547149	0.8975	1.0
Endocytosis:KEGG-hsa04144	6	57	270	10.5263157895	21.1111111111	-0.300278507679	0.849	1.0
alpha-Linolenic acid metabolism:KEGG-hsa00592	0	1	21	0.0	4.7619047619	-0.365254257818	1.0	1.0
Sulfur metabolism:KEGG-hsa00920	0	1	14	0.0	7.14285714286	-0.365254257818	1.0	1.0
Selenocompound metabolism:KEGG-hsa00450	0	1	18	0.0	5.55555555556	-0.365254257818	1.0	1.0
