Ensembl	symbol	WikiPathways
ENSG00000152661	GJA1	TarBasePathway:WP1992
ENSG00000142192	APP	Endoderm Differentiation:WP2853
ENSG00000154229	PRKCA	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000026508	CD44	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000090339	ICAM1	Vitamin B12 Metabolism:WP1533
ENSG00000116266	STXBP3	Insulin Signaling:WP481
ENSG00000092531	SNAP23	Insulin Signaling:WP481
ENSG00000154229	PRKCA	Insulin Signaling:WP481
ENSG00000024422	EHD2	Insulin Signaling:WP481
ENSG00000131236	CAP1	Insulin Signaling:WP481
ENSG00000103496	STX4	Insulin Signaling:WP481
ENSG00000095637	SORBS1	Insulin Signaling:WP481
ENSG00000091409	ITGA6	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000082781	ITGB5	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000170624	SGCD	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000170558	CDH2	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000135424	ITGA7	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000161638	ITGA5	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000152661	GJA1	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000138448	ITGAV	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000164171	ITGA2	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000132470	ITGB4	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000005884	ITGA3	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000150093	ITGB1	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000147065	MSN	Glial Cell Differentiation:WP2276
ENSG00000164708	PGAM2	Glycolysis and Gluconeogenesis:WP534
ENSG00000142583	SLC2A5	Glycolysis and Gluconeogenesis:WP534
ENSG00000170558	CDH2	BDNF signaling pathway:WP2380
ENSG00000197702	PARVA	Primary Focal Segmental Glomerulosclerosis FSGS:WP2572
ENSG00000137076	TLN1	Primary Focal Segmental Glomerulosclerosis FSGS:WP2572
ENSG00000138760	SCARB2	Primary Focal Segmental Glomerulosclerosis FSGS:WP2572
ENSG00000170558	CDH2	Primary Focal Segmental Glomerulosclerosis FSGS:WP2572
ENSG00000138448	ITGAV	Primary Focal Segmental Glomerulosclerosis FSGS:WP2572
ENSG00000132470	ITGB4	Primary Focal Segmental Glomerulosclerosis FSGS:WP2572
ENSG00000005884	ITGA3	Primary Focal Segmental Glomerulosclerosis FSGS:WP2572
ENSG00000152818	UTRN	Primary Focal Segmental Glomerulosclerosis FSGS:WP2572
ENSG00000150093	ITGB1	Primary Focal Segmental Glomerulosclerosis FSGS:WP2572
ENSG00000117592	PRDX6	NRF2 pathway:WP2884
ENSG00000117450	PRDX1	NRF2 pathway:WP2884
ENSG00000213366	GSTM2	NRF2 pathway:WP2884
ENSG00000125257	ABCC4	NRF2 pathway:WP2884
ENSG00000142583	SLC2A5	NRF2 pathway:WP2884
ENSG00000087086	FTL	NRF2 pathway:WP2884
ENSG00000087460	GNAS	Serotonin Receptor 4/6/7 and NR3C Signaling:WP734
ENSG00000165092	ALDH1A1	Folate-Alcohol and Cancer Pathway:WP1589
ENSG00000144908	ALDH1L1	Folate-Alcohol and Cancer Pathway:WP1589
ENSG00000154229	PRKCA	Signaling Pathways in Glioblastoma:WP2261
ENSG00000154229	PRKCA	Kit receptor signaling pathway:WP304
ENSG00000165092	ALDH1A1	Fatty Acid Omega Oxidation:WP206
ENSG00000164111	ANXA5	Apoptosis-related network due to altered Notch3 in ovarian cancer:WP2864
ENSG00000142192	APP	Apoptosis-related network due to altered Notch3 in ovarian cancer:WP2864
ENSG00000144908	ALDH1L1	One Carbon Metabolism:WP241
ENSG00000091409	ITGA6	TGF beta Signaling Pathway:WP366
ENSG00000164171	ITGA2	TGF beta Signaling Pathway:WP366
ENSG00000132470	ITGB4	TGF beta Signaling Pathway:WP366
ENSG00000041982	TNC	TGF beta Signaling Pathway:WP366
ENSG00000142192	APP	TGF beta Signaling Pathway:WP366
ENSG00000150093	ITGB1	TGF beta Signaling Pathway:WP366
ENSG00000172115	CYCS	Apoptosis Modulation by HSP70:WP384
ENSG00000171885	AQP4	SIDS Susceptibility Pathways:WP706
ENSG00000108946	PRKAR1A	SIDS Susceptibility Pathways:WP706
ENSG00000152661	GJA1	SIDS Susceptibility Pathways:WP706
ENSG00000081237	PTPRC	B Cell Receptor Signaling Pathway:WP23
ENSG00000090339	ICAM1	RANKL/RANK Signaling Pathway:WP2018
ENSG00000125257	ABCC4	Fluoropyrimidine Activity:WP1601
ENSG00000133433	GSTT2B	Oxidative Stress:WP408
ENSG00000133433	GSTT2B	Glutathione metabolism:WP100
ENSG00000099998	GGT5	Glutathione metabolism:WP100
ENSG00000091409	ITGA6	Focal Adhesion:WP306
ENSG00000082781	ITGB5	Focal Adhesion:WP306
ENSG00000137076	TLN1	Focal Adhesion:WP306
ENSG00000108821	COL1A1	Focal Adhesion:WP306
