GO-Elite ORA Results
File:
Table:
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
182 Ensembl source identifiers supplied in the input file:yellow_Module.txt
182 source identifiers meeting the filter linked to a Ensembl ID.
88 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
762 Genes linked to a term.
The z score is based on an N of 762 and a R of 88 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Integrin-mediated Cell Adhesion:WP185	17	38	103	44.7368421053	36.8932038835	6.56271206554	0.0	0.1659
Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118	12	31	77	38.7096774194	40.2597402597	4.82776213237	0.0	0.1659
Focal Adhesion:WP306	16	54	190	29.6296296296	28.4210526316	4.31003176403	0.0	0.1659
Primary Focal Segmental Glomerulosclerosis FSGS:WP2572	9	25	73	36.0	34.2465753425	3.88702004252	0.0	0.1659
G Protein Signaling Pathways:WP35	9	31	94	29.0322580645	32.9787234043	3.10764613571	0.0035	0.1659
Osteoblast Signaling:WP322	2	3	14	66.6666666667	21.4285714286	2.99095634219	0.0285	0.632
Sphingolipid Metabolism:WP1422	1	1	19	100.0	5.26315789474	2.7675062618	0.1045	1.0
Matrix Metalloproteinases:WP129	1	1	32	100.0	3.125	2.7675062618	0.097	1.0
Signal Transduction of S1P Receptor:WP26	3	7	25	42.8571428571	28.0	2.60204629625	0.027	0.632
Prostaglandin Synthesis and Regulation:WP98	3	7	30	42.8571428571	23.3333333333	2.60204629625	0.035	0.638076923077
Copper homeostasis:WP3286	3	7	55	42.8571428571	12.7272727273	2.60204629625	0.032	0.632
Folate-Alcohol and Cancer Pathway:WP1589	2	4	8	50.0	50.0	2.41092698106	0.052	0.880285714286
Senescence and Autophagy in Cancer:WP615	4	12	110	33.3333333333	10.9090909091	2.37842315031	0.031	0.632
TSH signaling pathway:WP2032	6	22	69	27.2727272727	31.884057971	2.34012604214	0.0175	0.632
TGF beta Signaling Pathway:WP366	6	23	136	26.0869565217	16.9117647059	2.21377934207	0.0235	0.632
Corticotropin-releasing hormone:WP2355	6	23	93	26.0869565217	24.7311827957	2.21377934207	0.0255	0.632
Type II interferon signaling (IFNG):WP619	2	5	35	40.0	14.2857142857	1.99580168212	0.09	1.0
T-Cell Receptor and Co-stimulatory Signaling:WP2583	2	5	30	40.0	16.6666666667	1.99580168212	0.091	1.0
TarBasePathway:WP1992	1	2	13	50.0	15.3846153846	1.70253820427	0.179	1.0
Serotonin Receptor 2 and STAT3 Signaling:WP733	1	2	4	50.0	50.0	1.70253820427	0.192	1.0
Hypertrophy Model:WP516	1	2	20	50.0	10.0	1.70253820427	0.1955	1.0
GPCRs, Class A Rhodopsin-like:WP455	1	2	258	50.0	0.77519379845	1.70253820427	0.1845	1.0
Fatty Acid Omega Oxidation:WP206	1	2	15	50.0	13.3333333333	1.70253820427	0.1925	1.0
Drug Induction of Bile Acid Pathway:WP2289	1	2	18	50.0	11.1111111111	1.70253820427	0.199	1.0
Dopaminergic Neurogenesis:WP2855	1	2	30	50.0	6.66666666667	1.70253820427	0.196	1.0
AGE/RAGE pathway:WP2324	4	16	66	25.0	24.2424242424	1.70033888588	0.0835	1.0
Neural Crest Differentiation:WP2064	2	6	102	33.3333333333	5.88235294118	1.67511203753	0.131	1.0
Insulin Signaling:WP481	7	36	165	19.4444444444	21.8181818182	1.51760914739	0.1475	1.0
Alzheimers Disease:WP2059	5	26	81	19.2307692308	32.0987654321	1.24626418738	0.295	1.0
miRs in Muscle Cell Differentiation:WP2012	2	8	41	25.0	19.512195122	1.19592578586	0.203	1.0
Phase I biotransformations, non P450:WP136	1	3	8	33.3333333333	37.5	1.18213988763	0.2815	1.0
Mesodermal Commitment Pathway:WP2857	1	3	76	33.3333333333	3.94736842105	1.18213988763	0.29	1.0
MFAP5-mediated ovarian cancer cell motility and invasiveness:WP3301	1	3	12	33.3333333333	25.0	1.18213988763	0.298	1.0
IL1 and megakaryotyces in obesity:WP2865	1	3	25	33.3333333333	12.0	1.18213988763	0.2745	1.0
Fluoropyrimidine Activity:WP1601	1	3	34	33.3333333333	8.82352941176	1.18213988763	0.2905	1.0
Benzo(a)pyrene metabolism:WP696	1	3	9	33.3333333333	33.3333333333	1.18213988763	0.29	1.0
Apoptosis Modulation by HSP70:WP384	1	3	20	33.3333333333	15.0	1.18213988763	0.27	1.0
Alpha 6 Beta 4 signaling pathway:WP244	3	14	33	21.4285714286	42.4242424242	1.166666797	0.186	1.0
Spinal Cord Injury:WP2431	6	34	116	17.6470588235	29.3103448276	1.13755651696	0.2285	1.0
Calcium Regulation in the Cardiac Cell:WP536	9	56	153	16.0714285714	36.6013071895	1.09946646907	0.2755	1.0
Glutathione metabolism:WP100	2	9	17	22.2222222222	52.9411764706	1.00719458519	0.2445	1.0
EPO Receptor Signaling:WP581	2	9	27	22.2222222222	33.3333333333	1.00719458519	0.2405	1.0
NRF2 pathway:WP2884	6	37	143	16.2162162162	25.8741258741	0.910137624103	0.413	1.0
Myometrial Relaxation and Contraction Pathways:WP289	7	45	160	15.5555555556	28.125	0.866446879684	0.4705	1.0
miRNA Regulation of DNA Damage Response:WP1530	1	4	99	25.0	4.0404040404	0.843413022384	0.3475	1.0
Vitamin A and Carotenoid Metabolism:WP716	1	4	44	25.0	9.09090909091	0.843413022384	0.3465	1.0
