GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000164885	CDK5	cyclin-dependent kinase 5 [Source:HGNC Symbol;Acc:HGNC:1774]	25	0.2	ENSG00000164885	membrane depolarization // regulation of neuron apoptotic process // establishment of vesicle localization // cell junction // neuron projection guidance // corpus callosum development // filopodium // protein localization to synapse // cell cycle // regulation of postsynaptic membrane potential // neuron projection morphogenesis // tau-protein kinase activity // synaptic transmission // regulation of signaling // regulation of cell communication // cytoplasm // synapse part // regulation of exocytosis // regulation of cell growth // synapse // cell division // neuron part // regulation of protein export from nucleus // neuron differentiation // forebrain development
ENSG00000169032	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	24	0.192	ENSG00000169032	establishment of vesicle localization // cell junction // protein kinase binding // neuron projection guidance // MAP kinase kinase activity // ERBB signaling pathway // intracellular signal transduction // regulation of protein serine/threonine kinase activity // positive regulation of GTPase activity // perinuclear region of cytoplasm // phosphoprotein phosphatase activity // neuron projection morphogenesis // regulation of signaling // regulation of cell communication // microtubule // cytoplasm // cytoskeleton-dependent intracellular transport // enzyme activator activity // cell cycle process // neurotrophin signaling pathway // neuron part // fibroblast growth factor receptor signaling pathway // neuron differentiation // microtubule-based process
ENSG00000007168	PAFAH1B1	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa) [Source:HGNC Symbol;Acc:HGNC:8574]	24	0.192	ENSG00000007168	establishment of vesicle localization // cell cycle // perinuclear region of cytoplasm // neuron projection morphogenesis // positive regulation of developmental growth // synaptic transmission // regulation of signaling // regulation of cell communication // microtubule // microtubule associated complex // cytoplasm // dynein binding // negative regulation of phosphorus metabolic process // cytoskeleton-dependent intracellular transport // microtubule organizing center organization // regulation of cell growth // cell cycle process // cell division // neuron part // tubulin binding // neuron differentiation // kinetochore // microtubule-based process // nuclear envelope organization
ENSG00000145335	SNCA	synuclein, alpha (non A4 component of amyloid precursor) [Source:HGNC Symbol;Acc:HGNC:11138]	22	0.176	ENSG00000145335	negative regulation of microtubule polymerization or depolymerization // membrane depolarization // regulation of neuron apoptotic process // establishment of vesicle localization // cell junction // monoamine transport // protein domain specific binding // regulation of protein serine/threonine kinase activity // perinuclear region of cytoplasm // regulation of postsynaptic membrane potential // synaptic transmission // regulation of signaling // regulation of cell communication // cytoplasm // dynein binding // negative regulation of phosphorus metabolic process // synapse part // regulation of exocytosis // inclusion body // synapse // neuron part // tubulin binding
ENSG00000179295	PTPN11	protein tyrosine phosphatase, non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	20	0.16	ENSG00000179295	protein dephosphorylation // protein domain specific binding // neuron projection guidance // binding, bridging // ERBB signaling pathway // intracellular signal transduction // regulation of protein serine/threonine kinase activity // cell cycle // phosphoprotein phosphatase activity // neuron projection morphogenesis // regulation of signaling // G-protein coupled receptor binding // regulation of cell communication // cytoplasm // peptide hormone receptor binding // cell cycle process // neurotrophin signaling pathway // regulation of protein export from nucleus // fibroblast growth factor receptor signaling pathway // regulation of response to interferon-gamma
ENSG00000174775	HRAS	Harvey rat sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:HGNC:5173]	19	0.152	ENSG00000174775	regulation of neuron apoptotic process // GTPase activity // neuron projection guidance // ERBB signaling pathway // intracellular signal transduction // regulation of protein serine/threonine kinase activity // positive regulation of GTPase activity // guanosine-containing compound catabolic process // perinuclear region of cytoplasm // guanyl nucleotide binding // protein C-terminus binding // synaptic transmission // regulation of signaling // regulation of cell communication // cytoplasm // divalent inorganic cation transport // cell cycle process // neurotrophin signaling pathway // fibroblast growth factor receptor signaling pathway
ENSG00000132535	DLG4	discs, large homolog 4 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:2903]	19	0.152	ENSG00000132535	membrane depolarization // cell junction // dendritic spine organization // protein domain specific binding // neuron projection guidance // protein localization to synapse // regulation of postsynaptic membrane potential // neuron projection morphogenesis // protein C-terminus binding // synaptic transmission // regulation of signaling // G-protein coupled receptor binding // regulation of cell communication // cytoplasm // synapse part // synapse // neuron part // regulation of receptor internalization // nervous system development
ENSG00000105649	RAB3A	RAB3A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9777]	18	0.144	ENSG00000105649	establishment of vesicle localization // GTPase activity // intracellular signal transduction // guanosine-containing compound catabolic process // guanyl nucleotide binding // neuron projection morphogenesis // protein C-terminus binding // synaptic transmission // regulation of signaling // regulation of cell communication // cytoplasm // synapse part // regulation of exocytosis // nucleoside-triphosphatase regulator activity // enzyme activator activity // neuron part // clathrin-sculpted monoamine transport vesicle membrane // glutamate secretion
ENSG00000075711	DLG1	discs, large homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:2900]	18	0.144	ENSG00000075711	cell junction // protein kinase binding // protein domain specific binding // neuron projection guidance // perinuclear region of cytoplasm // phosphoprotein phosphatase activity // protein C-terminus binding // synaptic transmission // regulation of signaling // regulation of cell communication // microtubule // cytoplasm // synapse part // regulation of sodium ion transmembrane transport // cell cycle process // synapse // neuron part // channel regulator activity
ENSG00000197386	HTT	huntingtin [Source:HGNC Symbol;Acc:HGNC:4851]	17	0.136	ENSG00000197386	regulation of neuron apoptotic process // establishment of vesicle localization // endosomal transport // regulation of dephosphorylation // regulation of signaling // regulation of cell communication // cytoplasm // dynein binding // cytoskeleton-dependent intracellular transport // single-organism nuclear import // inclusion body // cell cycle process // pyridine-containing compound biosynthetic process // neuron part // tubulin binding // Golgi vesicle transport // microtubule-based process
