GeneID	Symbol	Description	UID-str	parent GOID	GO Name	SystemCode	ME	NA
ENSG00000116584	ARHGEF2	Rho/Rac guanine nucleotide exchange factor (GEF) 2 [Source:HGNC Symbol;Acc:HGNC:682]	ENSG00000116584	GO:0031111	negative regulation of microtubule polymerization or depolymerization		black	En
ENSG00000004478	FKBP4	FK506 binding protein 4, 59kDa [Source:HGNC Symbol;Acc:HGNC:3720]	ENSG00000004478	GO:0031111	negative regulation of microtubule polymerization or depolymerization		black	En
ENSG00000117632	STMN1	stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]	ENSG00000117632	GO:0031111	negative regulation of microtubule polymerization or depolymerization		black	En
ENSG00000145335	SNCA	synuclein, alpha (non A4 component of amyloid precursor) [Source:HGNC Symbol;Acc:HGNC:11138]	ENSG00000145335	GO:0031111	negative regulation of microtubule polymerization or depolymerization		black	En
ENSG00000141556	TBCD	tubulin folding cofactor D [Source:HGNC Symbol;Acc:HGNC:11581]	ENSG00000141556	GO:0031111	negative regulation of microtubule polymerization or depolymerization		black	En
ENSG00000125746	EML2	echinoderm microtubule associated protein like 2 [Source:HGNC Symbol;Acc:HGNC:18035]	ENSG00000125746	GO:0031111	negative regulation of microtubule polymerization or depolymerization		black	En
ENSG00000126524	SBDS	Shwachman-Bodian-Diamond syndrome [Source:HGNC Symbol;Acc:HGNC:19440]	ENSG00000126524	GO:0031111	negative regulation of microtubule polymerization or depolymerization		black	En
ENSG00000163539	CLASP2	cytoplasmic linker associated protein 2 [Source:HGNC Symbol;Acc:HGNC:17078]	ENSG00000163539	GO:0031111	negative regulation of microtubule polymerization or depolymerization		black	En
ENSG00000135924	DNAJB2	DnaJ (Hsp40) homolog, subfamily B, member 2 [Source:HGNC Symbol;Acc:HGNC:5228]	ENSG00000135924	GO:0090084	negative regulation of inclusion body assembly		black	En
ENSG00000126803	HSPA2	heat shock 70kDa protein 2 [Source:HGNC Symbol;Acc:HGNC:5235]	ENSG00000126803	GO:0090084	negative regulation of inclusion body assembly		black	En
ENSG00000132002	DNAJB1	DnaJ (Hsp40) homolog, subfamily B, member 1 [Source:HGNC Symbol;Acc:HGNC:5270]	ENSG00000132002	GO:0090084	negative regulation of inclusion body assembly		black	En
ENSG00000204388	HSPA1B	heat shock 70kDa protein 1B [Source:HGNC Symbol;Acc:HGNC:5233]	ENSG00000204388	GO:0090084	negative regulation of inclusion body assembly		black	En
ENSG00000138814	PPP3CA	protein phosphatase 3, catalytic subunit, alpha isozyme [Source:HGNC Symbol;Acc:HGNC:9314]	ENSG00000138814	GO:0006470	protein dephosphorylation		black	En
ENSG00000107758	PPP3CB	protein phosphatase 3, catalytic subunit, beta isozyme [Source:HGNC Symbol;Acc:HGNC:9315]	ENSG00000107758	GO:0006470	protein dephosphorylation		black	En
ENSG00000108861	DUSP3	dual specificity phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3069]	ENSG00000108861	GO:0006470	protein dephosphorylation		black	En
ENSG00000105568	PPP2R1A	protein phosphatase 2, regulatory subunit A, alpha [Source:HGNC Symbol;Acc:HGNC:9302]	ENSG00000105568	GO:0006470	protein dephosphorylation		black	En
ENSG00000100241	SBF1	SET binding factor 1 [Source:HGNC Symbol;Acc:HGNC:10542]	ENSG00000100241	GO:0006470	protein dephosphorylation		black	En
ENSG00000063601	MTMR1	myotubularin related protein 1 [Source:HGNC Symbol;Acc:HGNC:7449]	ENSG00000063601	GO:0006470	protein dephosphorylation		black	En
ENSG00000153707	PTPRD	protein tyrosine phosphatase, receptor type, D [Source:HGNC Symbol;Acc:HGNC:9668]	ENSG00000153707	GO:0006470	protein dephosphorylation		black	En
ENSG00000116675	DNAJC6	DnaJ (Hsp40) homolog, subfamily C, member 6 [Source:HGNC Symbol;Acc:HGNC:15469]	ENSG00000116675	GO:0006470	protein dephosphorylation		black	En
ENSG00000011485	PPP5C	protein phosphatase 5, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9322]	ENSG00000011485	GO:0006470	protein dephosphorylation		black	En
