GeneID	Symbol	Description	UID-str	parent GOID	GO Name	SystemCode	ME	NA
ENSG00000171132	PRKCE	protein kinase C, epsilon [Source:HGNC Symbol;Acc:HGNC:9401]	ENSG00000171132	Fc epsilon RI signaling pathway:KEGG-hsa04664	Fc epsilon RI signaling pathway:KEGG-hsa04664		black	En
ENSG00000010810	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	ENSG00000010810	Fc epsilon RI signaling pathway:KEGG-hsa04664	Fc epsilon RI signaling pathway:KEGG-hsa04664		black	En
ENSG00000174775	HRAS	Harvey rat sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:HGNC:5173]	ENSG00000174775	Fc epsilon RI signaling pathway:KEGG-hsa04664	Fc epsilon RI signaling pathway:KEGG-hsa04664		black	En
ENSG00000169032	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	ENSG00000169032	Fc epsilon RI signaling pathway:KEGG-hsa04664	Fc epsilon RI signaling pathway:KEGG-hsa04664		black	En
ENSG00000109339	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	ENSG00000109339	Fc epsilon RI signaling pathway:KEGG-hsa04664	Fc epsilon RI signaling pathway:KEGG-hsa04664		black	En
ENSG00000177885	GRB2	growth factor receptor-bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	ENSG00000177885	Fc epsilon RI signaling pathway:KEGG-hsa04664	Fc epsilon RI signaling pathway:KEGG-hsa04664		black	En
ENSG00000065559	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]	ENSG00000065559	Fc epsilon RI signaling pathway:KEGG-hsa04664	Fc epsilon RI signaling pathway:KEGG-hsa04664		black	En
ENSG00000166501	PRKCB	protein kinase C, beta [Source:HGNC Symbol;Acc:HGNC:9395]	ENSG00000166501	Fc epsilon RI signaling pathway:KEGG-hsa04664	Fc epsilon RI signaling pathway:KEGG-hsa04664		black	En
ENSG00000221823	PPP3R1	protein phosphatase 3, regulatory subunit B, alpha [Source:HGNC Symbol;Acc:HGNC:9317]	ENSG00000221823	Wnt signaling pathway:KEGG-hsa04310	Wnt signaling pathway:KEGG-hsa04310		black	En
ENSG00000107758	PPP3CB	protein phosphatase 3, catalytic subunit, beta isozyme [Source:HGNC Symbol;Acc:HGNC:9315]	ENSG00000107758	Wnt signaling pathway:KEGG-hsa04310	Wnt signaling pathway:KEGG-hsa04310		black	En
ENSG00000159692	CTBP1	C-terminal binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2494]	ENSG00000159692	Wnt signaling pathway:KEGG-hsa04310	Wnt signaling pathway:KEGG-hsa04310		black	En
ENSG00000105568	PPP2R1A	protein phosphatase 2, regulatory subunit A, alpha [Source:HGNC Symbol;Acc:HGNC:9302]	ENSG00000105568	Wnt signaling pathway:KEGG-hsa04310	Wnt signaling pathway:KEGG-hsa04310		black	En
ENSG00000055130	CUL1	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]	ENSG00000055130	Wnt signaling pathway:KEGG-hsa04310	Wnt signaling pathway:KEGG-hsa04310		black	En
ENSG00000142875	PRKACB	protein kinase, cAMP-dependent, catalytic, beta [Source:HGNC Symbol;Acc:HGNC:9381]	ENSG00000142875	Wnt signaling pathway:KEGG-hsa04310	Wnt signaling pathway:KEGG-hsa04310		black	En
