GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000166501	PRKCB	protein kinase C, beta [Source:HGNC Symbol;Acc:HGNC:9395]	8	0.5	ENSG00000166501	Wnt Signaling Pathway and Pluripotency:WP399 // Wnt Signaling Pathway:WP428 // Calcium Regulation in the Cardiac Cell:WP536 // B Cell Receptor Signaling Pathway:WP23 // Myometrial Relaxation and Contraction Pathways:WP289 // G Protein Signaling Pathways:WP35 // miRs in Muscle Cell Differentiation:WP2012 // EGF/EGFR Signaling Pathway:WP437
ENSG00000171132	PRKCE	protein kinase C, epsilon [Source:HGNC Symbol;Acc:HGNC:9401]	6	0.375	ENSG00000171132	Wnt Signaling Pathway and Pluripotency:WP399 // Wnt Signaling Pathway:WP428 // Calcium Regulation in the Cardiac Cell:WP536 // Myometrial Relaxation and Contraction Pathways:WP289 // G Protein Signaling Pathways:WP35 // miRs in Muscle Cell Differentiation:WP2012
ENSG00000126583	PRKCG	protein kinase C, gamma [Source:HGNC Symbol;Acc:HGNC:9402]	6	0.375	ENSG00000126583	Wnt Signaling Pathway and Pluripotency:WP399 // Wnt Signaling Pathway:WP428 // Calcium Regulation in the Cardiac Cell:WP536 // Myometrial Relaxation and Contraction Pathways:WP289 // G Protein Signaling Pathways:WP35 // miRs in Muscle Cell Differentiation:WP2012
ENSG00000174775	HRAS	Harvey rat sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:HGNC:5173]	5	0.3125	ENSG00000174775	TCR Signaling Pathway:WP69 // B Cell Receptor Signaling Pathway:WP23 // G Protein Signaling Pathways:WP35 // IL-3 Signaling Pathway:WP286 // EGF/EGFR Signaling Pathway:WP437
ENSG00000179295	PTPN11	protein tyrosine phosphatase, non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	4	0.25	ENSG00000179295	TCR Signaling Pathway:WP69 // B Cell Receptor Signaling Pathway:WP23 // IL-3 Signaling Pathway:WP286 // EGF/EGFR Signaling Pathway:WP437
ENSG00000177885	GRB2	growth factor receptor-bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	4	0.25	ENSG00000177885	TCR Signaling Pathway:WP69 // B Cell Receptor Signaling Pathway:WP23 // IL-3 Signaling Pathway:WP286 // EGF/EGFR Signaling Pathway:WP437
ENSG00000169032	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	4	0.25	ENSG00000169032	TCR Signaling Pathway:WP69 // B Cell Receptor Signaling Pathway:WP23 // IL-3 Signaling Pathway:WP286 // EGF/EGFR Signaling Pathway:WP437
ENSG00000166913	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta [Source:HGNC Symbol;Acc:HGNC:12849]	4	0.25	ENSG00000166913	Calcium Regulation in the Cardiac Cell:WP536 // Myometrial Relaxation and Contraction Pathways:WP289 // IL-3 Signaling Pathway:WP286 // Cell Cycle:WP179
ENSG00000142875	PRKACB	protein kinase, cAMP-dependent, catalytic, beta [Source:HGNC Symbol;Acc:HGNC:9381]	4	0.25	ENSG00000142875	Calcium Regulation in the Cardiac Cell:WP536 // Myometrial Relaxation and Contraction Pathways:WP289 // G Protein Signaling Pathways:WP35 // miRs in Muscle Cell Differentiation:WP2012
ENSG00000134308	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta [Source:HGNC Symbol;Acc:HGNC:12854]	4	0.25	ENSG00000134308	Calcium Regulation in the Cardiac Cell:WP536 // Myometrial Relaxation and Contraction Pathways:WP289 // IL-3 Signaling Pathway:WP286 // Cell Cycle:WP179
