GeneID	Symbol	Description	UID-str	parent GOID	GO Name	SystemCode	ME	NA
ENSG00000221914	PPP2R2A	protein phosphatase 2, regulatory subunit B, alpha [Source:HGNC Symbol;Acc:HGNC:9304]	ENSG00000221914	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399		black	En
ENSG00000171132	PRKCE	protein kinase C, epsilon [Source:HGNC Symbol;Acc:HGNC:9401]	ENSG00000171132	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399		black	En
ENSG00000007168	PAFAH1B1	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa) [Source:HGNC Symbol;Acc:HGNC:8574]	ENSG00000007168	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399		black	En
ENSG00000105568	PPP2R1A	protein phosphatase 2, regulatory subunit A, alpha [Source:HGNC Symbol;Acc:HGNC:9302]	ENSG00000105568	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399		black	En
ENSG00000159692	CTBP1	C-terminal binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2494]	ENSG00000159692	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399		black	En
ENSG00000126583	PRKCG	protein kinase C, gamma [Source:HGNC Symbol;Acc:HGNC:9402]	ENSG00000126583	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399		black	En
ENSG00000109339	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	ENSG00000109339	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399		black	En
ENSG00000104695	PPP2CB	protein phosphatase 2, catalytic subunit, beta isozyme [Source:HGNC Symbol;Acc:HGNC:9300]	ENSG00000104695	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399		black	En
ENSG00000065559	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]	ENSG00000065559	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399		black	En
ENSG00000154001	PPP2R5E	protein phosphatase 2, regulatory subunit B', epsilon isoform [Source:HGNC Symbol;Acc:HGNC:9313]	ENSG00000154001	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399		black	En
ENSG00000166501	PRKCB	protein kinase C, beta [Source:HGNC Symbol;Acc:HGNC:9395]	ENSG00000166501	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399		black	En
ENSG00000171132	PRKCE	protein kinase C, epsilon [Source:HGNC Symbol;Acc:HGNC:9401]	ENSG00000171132	Wnt Signaling Pathway:WP428	Wnt Signaling Pathway:WP428		black	En
ENSG00000007168	PAFAH1B1	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa) [Source:HGNC Symbol;Acc:HGNC:8574]	ENSG00000007168	Wnt Signaling Pathway:WP428	Wnt Signaling Pathway:WP428		black	En
ENSG00000126583	PRKCG	protein kinase C, gamma [Source:HGNC Symbol;Acc:HGNC:9402]	ENSG00000126583	Wnt Signaling Pathway:WP428	Wnt Signaling Pathway:WP428		black	En
ENSG00000109339	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	ENSG00000109339	Wnt Signaling Pathway:WP428	Wnt Signaling Pathway:WP428		black	En
ENSG00000154001	PPP2R5E	protein phosphatase 2, regulatory subunit B', epsilon isoform [Source:HGNC Symbol;Acc:HGNC:9313]	ENSG00000154001	Wnt Signaling Pathway:WP428	Wnt Signaling Pathway:WP428		black	En
ENSG00000166501	PRKCB	protein kinase C, beta [Source:HGNC Symbol;Acc:HGNC:9395]	ENSG00000166501	Wnt Signaling Pathway:WP428	Wnt Signaling Pathway:WP428		black	En
ENSG00000108953	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon [Source:HGNC Symbol;Acc:HGNC:12851]	ENSG00000108953	Calcium Regulation in the Cardiac Cell:WP536	Calcium Regulation in the Cardiac Cell:WP536		black	En
ENSG00000114302	PRKAR2A	protein kinase, cAMP-dependent, regulatory, type II, alpha [Source:HGNC Symbol;Acc:HGNC:9391]	ENSG00000114302	Calcium Regulation in the Cardiac Cell:WP536	Calcium Regulation in the Cardiac Cell:WP536		black	En
ENSG00000171132	PRKCE	protein kinase C, epsilon [Source:HGNC Symbol;Acc:HGNC:9401]	ENSG00000171132	Calcium Regulation in the Cardiac Cell:WP536	Calcium Regulation in the Cardiac Cell:WP536		black	En
ENSG00000087258	GNAO1	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O [Source:HGNC Symbol;Acc:HGNC:4389]	ENSG00000087258	Calcium Regulation in the Cardiac Cell:WP536	Calcium Regulation in the Cardiac Cell:WP536		black	En
ENSG00000183023	SLC8A1	solute carrier family 8 (sodium/calcium exchanger), member 1 [Source:HGNC Symbol;Acc:HGNC:11068]	ENSG00000183023	Calcium Regulation in the Cardiac Cell:WP536	Calcium Regulation in the Cardiac Cell:WP536		black	En
ENSG00000175793	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	ENSG00000175793	Calcium Regulation in the Cardiac Cell:WP536	Calcium Regulation in the Cardiac Cell:WP536		black	En
ENSG00000166501	PRKCB	protein kinase C, beta [Source:HGNC Symbol;Acc:HGNC:9395]	ENSG00000166501	Calcium Regulation in the Cardiac Cell:WP536	Calcium Regulation in the Cardiac Cell:WP536		black	En
ENSG00000069966	GNB5	guanine nucleotide binding protein (G protein), beta 5 [Source:HGNC Symbol;Acc:HGNC:4401]	ENSG00000069966	Calcium Regulation in the Cardiac Cell:WP536	Calcium Regulation in the Cardiac Cell:WP536		black	En
ENSG00000126583	PRKCG	protein kinase C, gamma [Source:HGNC Symbol;Acc:HGNC:9402]	ENSG00000126583	Calcium Regulation in the Cardiac Cell:WP536	Calcium Regulation in the Cardiac Cell:WP536		black	En
