GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000137154	RPS6	ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]	23	0.223300970874	ENSG00000137154	viral life cycle // ncRNA processing // kinase binding // cytosol // viral transcription // SRP-dependent cotranslational protein targeting to membrane // rRNA metabolic process // ribosomal small subunit biogenesis // gastrulation // cytoplasm // nucleolus // nucleus // ribonucleoprotein complex assembly // poly(A) RNA binding // intracellular // nuclear-transcribed mRNA catabolic process // ribonucleoprotein complex // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
ENSG00000168028	RPSA	ribosomal protein SA [Source:HGNC Symbol;Acc:HGNC:6502]	22	0.21359223301	ENSG00000168028	nuclear transport // viral life cycle // ncRNA processing // extracellular organelle // cytosol // viral transcription // SRP-dependent cotranslational protein targeting to membrane // ribonucleoprotein complex binding // rRNA metabolic process // cytoplasm // nucleus // ribonucleoprotein complex assembly // poly(A) RNA binding // intracellular // nuclear-transcribed mRNA catabolic process // ribonucleoprotein complex // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
ENSG00000149273	RPS3	ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420]	22	0.21359223301	ENSG00000149273	positive regulation of apoptotic signaling pathway // viral life cycle // NF-kappaB binding // kinase binding // extracellular organelle // cytosol // viral transcription // SRP-dependent cotranslational protein targeting to membrane // DNA binding // cytoplasm // nucleus // poly(A) RNA binding // regulation of nucleic acid-templated transcription // nuclease activity // nuclear-transcribed mRNA catabolic process // ribonucleoprotein complex // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
ENSG00000171863	RPS7	ribosomal protein S7 [Source:HGNC Symbol;Acc:HGNC:10440]	21	0.203883495146	ENSG00000171863	viral life cycle // ncRNA processing // extracellular organelle // cytosol // viral transcription // SRP-dependent cotranslational protein targeting to membrane // rRNA metabolic process // ribosomal small subunit biogenesis // cytoplasm // nucleolus // nucleus // poly(A) RNA binding // intracellular // nuclear-transcribed mRNA catabolic process // ribonucleoprotein complex // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
ENSG00000170889	RPS9	ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442]	20	0.194174757282	ENSG00000170889	viral life cycle // extracellular organelle // cytosol // viral transcription // SRP-dependent cotranslational protein targeting to membrane // cytoplasm // nucleolus // nucleus // poly(A) RNA binding // intracellular // nuclear-transcribed mRNA catabolic process // ribonucleoprotein complex // structural constituent of ribosome // gene expression // rRNA binding // regulation of translation // translational termination // translational elongation // translational initiation // translation
ENSG00000142937	RPS8	ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441]	19	0.184466019417	ENSG00000142937	viral life cycle // ncRNA processing // extracellular organelle // cytosol // viral transcription // SRP-dependent cotranslational protein targeting to membrane // rRNA metabolic process // cytoplasm // nucleus // poly(A) RNA binding // intracellular // nuclear-transcribed mRNA catabolic process // ribonucleoprotein complex // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
ENSG00000136238	RAC1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1) [Source:HGNC Symbol;Acc:HGNC:9801]	19	0.184466019417	ENSG00000136238	regulation of cell projection assembly // GTP-dependent protein binding // taxis // response to wounding // positive regulation of small GTPase mediated signal transduction // GTPase activity // kinase binding // extracellular organelle // cytosol // nucleoside catabolic process // purine nucleotide catabolic process // GTP binding // cytoplasm // intracellular // myeloid leukocyte migration // actin cytoskeleton organization // ribonucleoprotein complex // small GTPase mediated signal transduction // ruffle organization
ENSG00000231500	RPS18	ribosomal protein S18 [Source:HGNC Symbol;Acc:HGNC:10401]	18	0.174757281553	ENSG00000231500	viral life cycle // extracellular organelle // cytosol // viral transcription // SRP-dependent cotranslational protein targeting to membrane // ribosome biogenesis // nucleus // poly(A) RNA binding // intracellular // nuclear-transcribed mRNA catabolic process // ribonucleoprotein complex // structural constituent of ribosome // gene expression // rRNA binding // translational termination // translational elongation // translational initiation // translation
ENSG00000145425	RPS3A	ribosomal protein S3A [Source:HGNC Symbol;Acc:HGNC:10421]	18	0.174757281553	ENSG00000145425	viral life cycle // extracellular organelle // cytosol // viral transcription // SRP-dependent cotranslational protein targeting to membrane // cytoplasm // nucleolus // nucleus // poly(A) RNA binding // intracellular // nuclear-transcribed mRNA catabolic process // ribonucleoprotein complex // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
ENSG00000100316	RPL3	ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10332]	18	0.174757281553	ENSG00000100316	viral life cycle // extracellular organelle // cytosol // viral transcription // SRP-dependent cotranslational protein targeting to membrane // cytoplasm // nucleolus // nucleus // poly(A) RNA binding // intracellular // nuclear-transcribed mRNA catabolic process // ribonucleoprotein complex // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
