GeneID	Symbol	Description	UID-str	parent GOID	GO Name	SystemCode	ME	NA
ENSG00000175793	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	ENSG00000175793	GO:2001235	positive regulation of apoptotic signaling pathway	SFN	blue	En
ENSG00000143546	S100A8	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]	ENSG00000143546	GO:2001235	positive regulation of apoptotic signaling pathway	S100A8	blue	En
ENSG00000044115	CTNNA1	catenin (cadherin-associated protein), alpha 1, 102kDa [Source:HGNC Symbol;Acc:HGNC:2509]	ENSG00000044115	GO:2001235	positive regulation of apoptotic signaling pathway	CTNNA1	blue	En
ENSG00000163220	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	ENSG00000163220	GO:2001235	positive regulation of apoptotic signaling pathway	S100A9	blue	En
ENSG00000180370	PAK2	p21 protein (Cdc42/Rac)-activated kinase 2 [Source:HGNC Symbol;Acc:HGNC:8591]	ENSG00000180370	GO:2001235	positive regulation of apoptotic signaling pathway	PAK2	blue	En
ENSG00000103811	CTSH	cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]	ENSG00000103811	GO:2001235	positive regulation of apoptotic signaling pathway	CTSH	blue	En
ENSG00000149273	RPS3	ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420]	ENSG00000149273	GO:2001235	positive regulation of apoptotic signaling pathway	RPS3	blue	En
ENSG00000119396	RAB14	RAB14, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16524]	ENSG00000119396	GO:0051169	nuclear transport	RAB14	blue	En
ENSG00000181163	NPM1	nucleophosmin (nucleolar phosphoprotein B23, numatrin) [Source:HGNC Symbol;Acc:HGNC:7910]	ENSG00000181163	GO:0051169	nuclear transport	NPM1	blue	En
ENSG00000177105	RHOG	ras homolog family member G [Source:HGNC Symbol;Acc:HGNC:672]	ENSG00000177105	GO:0051169	nuclear transport	RHOG	blue	En
ENSG00000144118	RALB	v-ral simian leukemia viral oncogene homolog B [Source:HGNC Symbol;Acc:HGNC:9840]	ENSG00000144118	GO:0051169	nuclear transport	RALB	blue	En
