GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000070831	CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	3	0.428571428571	ENSG00000070831	Pathways in cancer:KEGG-hsa05200 // Pancreatic cancer:KEGG-hsa05212 // Tight junction:KEGG-hsa04530
ENSG00000174775	HRAS	Harvey rat sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:HGNC:5173]	2	0.285714285714	ENSG00000174775	Pathways in cancer:KEGG-hsa05200 // Tight junction:KEGG-hsa04530
ENSG00000168610	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor) [Source:HGNC Symbol;Acc:HGNC:11364]	2	0.285714285714	ENSG00000168610	Pathways in cancer:KEGG-hsa05200 // Pancreatic cancer:KEGG-hsa05212
ENSG00000144118	RALB	v-ral simian leukemia viral oncogene homolog B [Source:HGNC Symbol;Acc:HGNC:9840]	2	0.285714285714	ENSG00000144118	Pathways in cancer:KEGG-hsa05200 // Pancreatic cancer:KEGG-hsa05212
ENSG00000136238	RAC1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1) [Source:HGNC Symbol;Acc:HGNC:9801]	2	0.285714285714	ENSG00000136238	Pathways in cancer:KEGG-hsa05200 // Pancreatic cancer:KEGG-hsa05212
ENSG00000067560	RHOA	ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]	2	0.285714285714	ENSG00000067560	Pathways in cancer:KEGG-hsa05200 // Tight junction:KEGG-hsa04530
ENSG00000044115	CTNNA1	catenin (cadherin-associated protein), alpha 1, 102kDa [Source:HGNC Symbol;Acc:HGNC:2509]	2	0.285714285714	ENSG00000044115	Pathways in cancer:KEGG-hsa05200 // Tight junction:KEGG-hsa04530
ENSG00000006451	RALA	v-ral simian leukemia viral oncogene homolog A (ras related) [Source:HGNC Symbol;Acc:HGNC:9839]	2	0.285714285714	ENSG00000006451	Pathways in cancer:KEGG-hsa05200 // Pancreatic cancer:KEGG-hsa05212
ENSG00000231500	RPS18	ribosomal protein S18 [Source:HGNC Symbol;Acc:HGNC:10401]	1	0.142857142857	ENSG00000231500	Ribosome:KEGG-hsa03010
ENSG00000198563	DDX39B	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B [Source:HGNC Symbol;Acc:HGNC:13917]	1	0.142857142857	ENSG00000198563	RNA transport:KEGG-hsa03013
ENSG00000198034	RPS4X	ribosomal protein S4, X-linked [Source:HGNC Symbol;Acc:HGNC:10424]	1	0.142857142857	ENSG00000198034	Ribosome:KEGG-hsa03010
ENSG00000197958	RPL12	ribosomal protein L12 [Source:HGNC Symbol;Acc:HGNC:10302]	1	0.142857142857	ENSG00000197958	Ribosome:KEGG-hsa03010
ENSG00000197694	SPTAN1	spectrin, alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11273]	1	0.142857142857	ENSG00000197694	Tight junction:KEGG-hsa04530
ENSG00000184110	EIF3C	eukaryotic translation initiation factor 3, subunit C [Source:HGNC Symbol;Acc:HGNC:3279]	1	0.142857142857	ENSG00000184110	RNA transport:KEGG-hsa03013
ENSG00000178372	CALML5	calmodulin-like 5 [Source:HGNC Symbol;Acc:HGNC:18180]	1	0.142857142857	ENSG00000178372	Phototransduction:KEGG-hsa04744
ENSG00000177600	RPLP2	ribosomal protein, large, P2 [Source:HGNC Symbol;Acc:HGNC:10377]	1	0.142857142857	ENSG00000177600	Ribosome:KEGG-hsa03010
ENSG00000175390	EIF3F	eukaryotic translation initiation factor 3, subunit F [Source:HGNC Symbol;Acc:HGNC:3275]	1	0.142857142857	ENSG00000175390	RNA transport:KEGG-hsa03013
ENSG00000173801	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	1	0.142857142857	ENSG00000173801	Pathways in cancer:KEGG-hsa05200
ENSG00000171863	RPS7	ribosomal protein S7 [Source:HGNC Symbol;Acc:HGNC:10440]	1	0.142857142857	ENSG00000171863	Ribosome:KEGG-hsa03010
ENSG00000170889	RPS9	ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442]	1	0.142857142857	ENSG00000170889	Ribosome:KEGG-hsa03010
