GeneID	Symbol	Description	UID-str	parent GOID	GO Name	SystemCode	ME	NA
ENSG00000067560	RHOA	ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]	ENSG00000067560	Pathways in cancer:KEGG-hsa05200	Pathways in cancer:KEGG-hsa05200	RHOA	blue	En
ENSG00000144118	RALB	v-ral simian leukemia viral oncogene homolog B [Source:HGNC Symbol;Acc:HGNC:9840]	ENSG00000144118	Pathways in cancer:KEGG-hsa05200	Pathways in cancer:KEGG-hsa05200	RALB	blue	En
ENSG00000143549	TPM3	tropomyosin 3 [Source:HGNC Symbol;Acc:HGNC:12012]	ENSG00000143549	Pathways in cancer:KEGG-hsa05200	Pathways in cancer:KEGG-hsa05200	TPM3	blue	En
ENSG00000173801	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	ENSG00000173801	Pathways in cancer:KEGG-hsa05200	Pathways in cancer:KEGG-hsa05200	JUP	blue	En
ENSG00000174775	HRAS	Harvey rat sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:HGNC:5173]	ENSG00000174775	Pathways in cancer:KEGG-hsa05200	Pathways in cancer:KEGG-hsa05200	HRAS	blue	En
ENSG00000091483	FH	fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]	ENSG00000091483	Pathways in cancer:KEGG-hsa05200	Pathways in cancer:KEGG-hsa05200	FH	blue	En
ENSG00000070831	CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	ENSG00000070831	Pathways in cancer:KEGG-hsa05200	Pathways in cancer:KEGG-hsa05200	CDC42	blue	En
ENSG00000136238	RAC1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1) [Source:HGNC Symbol;Acc:HGNC:9801]	ENSG00000136238	Pathways in cancer:KEGG-hsa05200	Pathways in cancer:KEGG-hsa05200	RAC1	blue	En
ENSG00000044115	CTNNA1	catenin (cadherin-associated protein), alpha 1, 102kDa [Source:HGNC Symbol;Acc:HGNC:2509]	ENSG00000044115	Pathways in cancer:KEGG-hsa05200	Pathways in cancer:KEGG-hsa05200	CTNNA1	blue	En
ENSG00000168610	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor) [Source:HGNC Symbol;Acc:HGNC:11364]	ENSG00000168610	Pathways in cancer:KEGG-hsa05200	Pathways in cancer:KEGG-hsa05200	STAT3	blue	En
ENSG00000157500	APPL1	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1 [Source:HGNC Symbol;Acc:HGNC:24035]	ENSG00000157500	Pathways in cancer:KEGG-hsa05200	Pathways in cancer:KEGG-hsa05200	APPL1	blue	En
ENSG00000006451	RALA	v-ral simian leukemia viral oncogene homolog A (ras related) [Source:HGNC Symbol;Acc:HGNC:9839]	ENSG00000006451	Pathways in cancer:KEGG-hsa05200	Pathways in cancer:KEGG-hsa05200	RALA	blue	En
ENSG00000156508	EEF1A1	eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]	ENSG00000156508	RNA transport:KEGG-hsa03013	RNA transport:KEGG-hsa03013	EEF1A1	blue	En
ENSG00000106263	EIF3B	eukaryotic translation initiation factor 3, subunit B [Source:HGNC Symbol;Acc:HGNC:3280]	ENSG00000106263	RNA transport:KEGG-hsa03013	RNA transport:KEGG-hsa03013	EIF3B	blue	En
ENSG00000157020	SEC13	SEC13 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10697]	ENSG00000157020	RNA transport:KEGG-hsa03013	RNA transport:KEGG-hsa03013	SEC13	blue	En
ENSG00000107581	EIF3A	eukaryotic translation initiation factor 3, subunit A [Source:HGNC Symbol;Acc:HGNC:3271]	ENSG00000107581	RNA transport:KEGG-hsa03013	RNA transport:KEGG-hsa03013	EIF3A	blue	En
ENSG00000134001	EIF2S1	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa [Source:HGNC Symbol;Acc:HGNC:3265]	ENSG00000134001	RNA transport:KEGG-hsa03013	RNA transport:KEGG-hsa03013	EIF2S1	blue	En
ENSG00000198563	DDX39B	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B [Source:HGNC Symbol;Acc:HGNC:13917]	ENSG00000198563	RNA transport:KEGG-hsa03013	RNA transport:KEGG-hsa03013	DDX39B	blue	En
ENSG00000184110	EIF3C	eukaryotic translation initiation factor 3, subunit C [Source:HGNC Symbol;Acc:HGNC:3279]	ENSG00000184110	RNA transport:KEGG-hsa03013	RNA transport:KEGG-hsa03013	EIF3C	blue	En
ENSG00000156976	EIF4A2	eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]	ENSG00000156976	RNA transport:KEGG-hsa03013	RNA transport:KEGG-hsa03013	EIF4A2	blue	En
ENSG00000130741	EIF2S3	eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa [Source:HGNC Symbol;Acc:HGNC:3267]	ENSG00000130741	RNA transport:KEGG-hsa03013	RNA transport:KEGG-hsa03013	EIF2S3	blue	En
ENSG00000175390	EIF3F	eukaryotic translation initiation factor 3, subunit F [Source:HGNC Symbol;Acc:HGNC:3275]	ENSG00000175390	RNA transport:KEGG-hsa03013	RNA transport:KEGG-hsa03013	EIF3F	blue	En
