GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000070831	CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	4	0.444444444444	ENSG00000070831	Regulation of Microtubule Cytoskeleton:WP2038 // RalA downstream regulated genes:WP2290 // DNA Damage Response (only ATM dependent):WP710 // p38 MAPK Signaling Pathway:WP400
ENSG00000174775	HRAS	Harvey rat sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:HGNC:5173]	3	0.333333333333	ENSG00000174775	RalA downstream regulated genes:WP2290 // DNA Damage Response (only ATM dependent):WP710 // p38 MAPK Signaling Pathway:WP400
ENSG00000136238	RAC1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1) [Source:HGNC Symbol;Acc:HGNC:9801]	2	0.222222222222	ENSG00000136238	Regulation of Microtubule Cytoskeleton:WP2038 // DNA Damage Response (only ATM dependent):WP710
ENSG00000106211	HSPB1	heat shock 27kDa protein 1 [Source:HGNC Symbol;Acc:HGNC:5246]	2	0.222222222222	ENSG00000106211	FAS pathway and Stress induction of HSP regulation:WP314 // p38 MAPK Signaling Pathway:WP400
ENSG00000198034	RPS4X	ribosomal protein S4, X-linked [Source:HGNC Symbol;Acc:HGNC:10424]	1	0.111111111111	ENSG00000198034	Cytoplasmic Ribosomal Proteins:WP477
ENSG00000197694	SPTAN1	spectrin, alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11273]	1	0.111111111111	ENSG00000197694	FAS pathway and Stress induction of HSP regulation:WP314
ENSG00000184110	EIF3C	eukaryotic translation initiation factor 3, subunit C [Source:HGNC Symbol;Acc:HGNC:3279]	1	0.111111111111	ENSG00000184110	Translation Factors:WP107
ENSG00000180370	PAK2	p21 protein (Cdc42/Rac)-activated kinase 2 [Source:HGNC Symbol;Acc:HGNC:8591]	1	0.111111111111	ENSG00000180370	FAS pathway and Stress induction of HSP regulation:WP314
ENSG00000177600	RPLP2	ribosomal protein, large, P2 [Source:HGNC Symbol;Acc:HGNC:10377]	1	0.111111111111	ENSG00000177600	Cytoplasmic Ribosomal Proteins:WP477
ENSG00000175390	EIF3F	eukaryotic translation initiation factor 3, subunit F [Source:HGNC Symbol;Acc:HGNC:3275]	1	0.111111111111	ENSG00000175390	Translation Factors:WP107
ENSG00000170889	RPS9	ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442]	1	0.111111111111	ENSG00000170889	Cytoplasmic Ribosomal Proteins:WP477
