GeneID	Symbol	Description	UID-str	parent GOID	GO Name	SystemCode	ME	NA
ENSG00000106211	HSPB1	heat shock 27kDa protein 1 [Source:HGNC Symbol;Acc:HGNC:5246]	ENSG00000106211	FAS pathway and Stress induction of HSP regulation:WP314	FAS pathway and Stress induction of HSP regulation:WP314	HSPB1	blue	En
ENSG00000197694	SPTAN1	spectrin, alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11273]	ENSG00000197694	FAS pathway and Stress induction of HSP regulation:WP314	FAS pathway and Stress induction of HSP regulation:WP314	SPTAN1	blue	En
ENSG00000160789	LMNA	lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636]	ENSG00000160789	FAS pathway and Stress induction of HSP regulation:WP314	FAS pathway and Stress induction of HSP regulation:WP314	LMNA	blue	En
ENSG00000180370	PAK2	p21 protein (Cdc42/Rac)-activated kinase 2 [Source:HGNC Symbol;Acc:HGNC:8591]	ENSG00000180370	FAS pathway and Stress induction of HSP regulation:WP314	FAS pathway and Stress induction of HSP regulation:WP314	PAK2	blue	En
ENSG00000140988	RPS2	ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404]	ENSG00000140988	Cytoplasmic Ribosomal Proteins:WP477	Cytoplasmic Ribosomal Proteins:WP477	RPS2	blue	En
ENSG00000148303	RPL7A	ribosomal protein L7a [Source:HGNC Symbol;Acc:HGNC:10364]	ENSG00000148303	Cytoplasmic Ribosomal Proteins:WP477	Cytoplasmic Ribosomal Proteins:WP477	RPL7A	blue	En
ENSG00000167526	RPL13	ribosomal protein L13 [Source:HGNC Symbol;Acc:HGNC:10303]	ENSG00000167526	Cytoplasmic Ribosomal Proteins:WP477	Cytoplasmic Ribosomal Proteins:WP477	RPL13	blue	En
ENSG00000089009	RPL6	ribosomal protein L6 [Source:HGNC Symbol;Acc:HGNC:10362]	ENSG00000089009	Cytoplasmic Ribosomal Proteins:WP477	Cytoplasmic Ribosomal Proteins:WP477	RPL6	blue	En
ENSG00000105193	RPS16	ribosomal protein S16 [Source:HGNC Symbol;Acc:HGNC:10396]	ENSG00000105193	Cytoplasmic Ribosomal Proteins:WP477	Cytoplasmic Ribosomal Proteins:WP477	RPS16	blue	En
ENSG00000100316	RPL3	ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10332]	ENSG00000100316	Cytoplasmic Ribosomal Proteins:WP477	Cytoplasmic Ribosomal Proteins:WP477	RPL3	blue	En
ENSG00000105640	RPL18A	ribosomal protein L18a [Source:HGNC Symbol;Acc:HGNC:10311]	ENSG00000105640	Cytoplasmic Ribosomal Proteins:WP477	Cytoplasmic Ribosomal Proteins:WP477	RPL18A	blue	En
ENSG00000134419	RPS15A	ribosomal protein S15a [Source:HGNC Symbol;Acc:HGNC:10389]	ENSG00000134419	Cytoplasmic Ribosomal Proteins:WP477	Cytoplasmic Ribosomal Proteins:WP477	RPS15A	blue	En
ENSG00000198034	RPS4X	ribosomal protein S4, X-linked [Source:HGNC Symbol;Acc:HGNC:10424]	ENSG00000198034	Cytoplasmic Ribosomal Proteins:WP477	Cytoplasmic Ribosomal Proteins:WP477	RPS4X	blue	En
ENSG00000142534	RPS11	ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:10384]	ENSG00000142534	Cytoplasmic Ribosomal Proteins:WP477	Cytoplasmic Ribosomal Proteins:WP477	RPS11	blue	En
ENSG00000142937	RPS8	ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441]	ENSG00000142937	Cytoplasmic Ribosomal Proteins:WP477	Cytoplasmic Ribosomal Proteins:WP477	RPS8	blue	En
