GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000169032	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	41	0.308270676692	ENSG00000169032	regulation of phosphate metabolic process // establishment of organelle localization // cell junction // peptidyl-tyrosine modification // neurotrophin signaling pathway // toll-like receptor 9 signaling pathway // cytosol // protein phosphorylation // microtubule // regulation of molecular function // innate immune response // ATP binding // regulation of early endosome to late endosome transport // toll-like receptor 5 signaling pathway // MyD88-independent toll-like receptor signaling pathway // Fc receptor signaling pathway // transferase activity, transferring phosphorus-containing groups // phosphoprotein phosphatase activity // epidermal growth factor receptor signaling pathway // enzyme binding // toll-like receptor TLR1 // toll-like receptor TLR6 // fibroblast growth factor receptor signaling pathway // cytoplasm // stress-activated protein kinase signaling cascade // regulation of protein modification process // insulin receptor signaling pathway // regulation of stress-activated protein kinase signaling cascade // cell projection part // toll-like receptor 3 signaling pathway // toll-like receptor 2 signaling pathway // mitotic cell cycle process // microtubule organizing center // neuron part // neuron projection morphogenesis // enzyme regulator activity // regulation of Golgi organization // microtubule-based process // regulation of cell cycle // organelle localization // toll-like receptor 10 signaling pathway
ENSG00000100030	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	38	0.285714285714	ENSG00000100030	regulation of phosphate metabolic process // protein phosphorylated amino acid binding // cell junction // neurotrophin signaling pathway // toll-like receptor 9 signaling pathway // vesicle-mediated transport // cytosol // protein phosphorylation // immune response-regulating cell surface receptor signaling pathway involved in phagocytosis // cell cycle // regulation of molecular function // innate immune response // ATP binding // regulation of early endosome to late endosome transport // toll-like receptor 5 signaling pathway // MyD88-independent toll-like receptor signaling pathway // Fc receptor signaling pathway // transferase activity, transferring phosphorus-containing groups // epidermal growth factor receptor signaling pathway // enzyme binding // toll-like receptor TLR1 // toll-like receptor TLR6 // fibroblast growth factor receptor signaling pathway // cytoplasm // stress-activated protein kinase signaling cascade // regulation of protein modification process // insulin receptor signaling pathway // regulation of stress-activated protein kinase signaling cascade // cellular response to DNA damage stimulus // cell projection part // toll-like receptor 3 signaling pathway // toll-like receptor 2 signaling pathway // microtubule organizing center // neuron part // microtubule cytoskeleton // synaptic transmission // regulation of Golgi organization // toll-like receptor 10 signaling pathway
ENSG00000102882	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	35	0.263157894737	ENSG00000102882	regulation of phosphate metabolic process // protein phosphorylated amino acid binding // cell junction // peptidyl-tyrosine modification // neurotrophin signaling pathway // toll-like receptor 9 signaling pathway // vesicle-mediated transport // cytosol // protein phosphorylation // immune response-regulating cell surface receptor signaling pathway involved in phagocytosis // cell cycle // regulation of molecular function // innate immune response // ATP binding // regulation of early endosome to late endosome transport // toll-like receptor 5 signaling pathway // MyD88-independent toll-like receptor signaling pathway // Fc receptor signaling pathway // transferase activity, transferring phosphorus-containing groups // epidermal growth factor receptor signaling pathway // enzyme binding // toll-like receptor TLR1 // toll-like receptor TLR6 // fibroblast growth factor receptor signaling pathway // cytoplasm // stress-activated protein kinase signaling cascade // regulation of protein modification process // insulin receptor signaling pathway // regulation of stress-activated protein kinase signaling cascade // cellular response to DNA damage stimulus // toll-like receptor 3 signaling pathway // toll-like receptor 2 signaling pathway // microtubule cytoskeleton // regulation of Golgi organization // toll-like receptor 10 signaling pathway
ENSG00000126934	MAP2K2	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]	31	0.233082706767	ENSG00000126934	regulation of phosphate metabolic process // cell junction // peptidyl-tyrosine modification // neurotrophin signaling pathway // toll-like receptor 9 signaling pathway // protein domain specific binding // cytosol // protein phosphorylation // microtubule // regulation of molecular function // innate immune response // ATP binding // regulation of early endosome to late endosome transport // toll-like receptor 5 signaling pathway // MyD88-independent toll-like receptor signaling pathway // Fc receptor signaling pathway // transferase activity, transferring phosphorus-containing groups // epidermal growth factor receptor signaling pathway // toll-like receptor TLR1 // toll-like receptor TLR6 // fibroblast growth factor receptor signaling pathway // cytoplasm // stress-activated protein kinase signaling cascade // regulation of protein modification process // insulin receptor signaling pathway // regulation of stress-activated protein kinase signaling cascade // toll-like receptor 3 signaling pathway // toll-like receptor 2 signaling pathway // enzyme regulator activity // regulation of Golgi organization // toll-like receptor 10 signaling pathway
ENSG00000164885	CDK5	cyclin-dependent kinase 5 [Source:HGNC Symbol;Acc:HGNC:1774]	26	0.195488721805	ENSG00000164885	regulation of phosphate metabolic process // establishment of organelle localization // cell junction // cell body // vesicle-mediated transport // cytosol // protein phosphorylation // regulation of synaptic plasticity // protein localization to synapse // cell growth // cell cycle // regulation of molecular function // ATP binding // regulation of postsynaptic membrane potential // transferase activity, transferring phosphorus-containing groups // cytoplasm // synapse part // regulation of protein modification process // regulation of exocytosis // cell projection part // synapse // cell division // neuron part // neuron projection morphogenesis // synaptic transmission // regulation of cell cycle
ENSG00000145335	SNCA	synuclein, alpha (non A4 component of amyloid precursor) [Source:HGNC Symbol;Acc:HGNC:11138]	26	0.195488721805	ENSG00000145335	regulation of phosphate metabolic process // establishment of organelle localization // cell junction // protein domain specific binding // neurotransmitter transport // vesicle-mediated transport // cytosol // regulation of synaptic plasticity // regulation of molecular function // regulation of postsynaptic membrane potential // regulation of carbohydrate metabolic process // negative regulation of chromosome organization // kinesin binding // enzyme binding // cytoplasm // magnesium ion binding // synapse part // regulation of protein modification process // regulation of exocytosis // regulation of neurotransmitter secretion // cell projection part // synapse // neuron part // tubulin binding // enzyme regulator activity // synaptic transmission
ENSG00000007168	PAFAH1B1	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa) [Source:HGNC Symbol;Acc:HGNC:8574]	26	0.195488721805	ENSG00000007168	regulation of phosphate metabolic process // establishment of organelle localization // cell body // cytosol // microtubule // cell cycle // regulation of molecular function // enzyme binding // microtubule associated complex // cytoplasm // central nervous system neuron differentiation // regulation of stress-activated protein kinase signaling cascade // cell projection part // cell cycle G2/M phase transition // mitotic cell cycle process // cell division // microtubule organizing center // neuron part // neuron projection morphogenesis // tubulin binding // microtubule cytoskeleton // synaptic transmission // kinetochore // microtubule-based process // regulation of cell cycle // organelle localization
ENSG00000065559	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]	24	0.18045112782	ENSG00000065559	regulation of phosphate metabolic process // peptidyl-tyrosine modification // toll-like receptor 9 signaling pathway // cytosol // protein phosphorylation // cell growth // regulation of molecular function // innate immune response // ATP binding // toll-like receptor 5 signaling pathway // MyD88-independent toll-like receptor signaling pathway // Fc receptor signaling pathway // transferase activity, transferring phosphorus-containing groups // enzyme binding // toll-like receptor TLR1 // toll-like receptor TLR6 // stress-activated protein kinase signaling cascade // regulation of protein modification process // regulation of stress-activated protein kinase signaling cascade // cell projection part // toll-like receptor 3 signaling pathway // toll-like receptor 2 signaling pathway // neuron part // toll-like receptor 10 signaling pathway
ENSG00000075711	DLG1	discs, large homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:2900]	23	0.172932330827	ENSG00000075711	regulation of phosphate metabolic process // ion channel binding // cell junction // protein domain specific binding // cytosol // microtubule // regulation of molecular function // transferase activity, transferring phosphorus-containing groups // phosphoprotein phosphatase activity // enzyme binding // cytoplasm // synapse part // regulation of protein modification process // cell-cell recognition // positive regulation of protein complex assembly // cell projection part // mitotic cell cycle process // synapse // positive regulation of potassium ion transport // neuron part // channel regulator activity // synaptic transmission // regulation of cell cycle
ENSG00000171132	PRKCE	protein kinase C, epsilon [Source:HGNC Symbol;Acc:HGNC:9401]	22	0.165413533835	ENSG00000171132	regulation of phosphate metabolic process // neurotrophin signaling pathway // cytosol // protein phosphorylation // immune response-regulating cell surface receptor signaling pathway involved in phagocytosis // cell cycle // regulation of molecular function // innate immune response // ATP binding // MyD88-independent toll-like receptor signaling pathway // Fc receptor signaling pathway // transferase activity, transferring phosphorus-containing groups // regulation of carbohydrate metabolic process // epidermal growth factor receptor signaling pathway // enzyme binding // fibroblast growth factor receptor signaling pathway // cytoplasm // regulation of protein modification process // positive regulation of protein complex assembly // cell division // enzyme regulator activity // regulation of cell cycle
