GeneID	Symbol	Description	UID-str	parent GOID	GO Name	SystemCode	ME	NA
ENSG00000121769	FABP3	fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor) [Source:HGNC Symbol;Acc:HGNC:3557]	ENSG00000121769	GO:0019220	regulation of phosphate metabolic process	FABP3	brown	En
ENSG00000198793	MTOR	mechanistic target of rapamycin (serine/threonine kinase) [Source:HGNC Symbol;Acc:HGNC:3942]	ENSG00000198793	GO:0019220	regulation of phosphate metabolic process	MTOR	brown	En
ENSG00000105568	PPP2R1A	protein phosphatase 2, regulatory subunit A, alpha [Source:HGNC Symbol;Acc:HGNC:9302]	ENSG00000105568	GO:0019220	regulation of phosphate metabolic process	PPP2R1A	brown	En
ENSG00000136279	DBNL	drebrin-like [Source:HGNC Symbol;Acc:HGNC:2696]	ENSG00000136279	GO:0019220	regulation of phosphate metabolic process	DBNL	brown	En
ENSG00000197386	HTT	huntingtin [Source:HGNC Symbol;Acc:HGNC:4851]	ENSG00000197386	GO:0019220	regulation of phosphate metabolic process	HTT	brown	En
ENSG00000088832	FKBP1A	FK506 binding protein 1A, 12kDa [Source:HGNC Symbol;Acc:HGNC:3711]	ENSG00000088832	GO:0019220	regulation of phosphate metabolic process	FKBP1A	brown	En
ENSG00000110514	MADD	MAP-kinase activating death domain [Source:HGNC Symbol;Acc:HGNC:6766]	ENSG00000110514	GO:0019220	regulation of phosphate metabolic process	MADD	brown	En
ENSG00000116584	ARHGEF2	Rho/Rac guanine nucleotide exchange factor (GEF) 2 [Source:HGNC Symbol;Acc:HGNC:682]	ENSG00000116584	GO:0019220	regulation of phosphate metabolic process	ARHGEF2	brown	En
ENSG00000213949	ITGA1	integrin, alpha 1 [Source:HGNC Symbol;Acc:HGNC:6134]	ENSG00000213949	GO:0019220	regulation of phosphate metabolic process	ITGA1	brown	En
ENSG00000158856	DMTN	dematin actin binding protein [Source:HGNC Symbol;Acc:HGNC:3382]	ENSG00000158856	GO:0019220	regulation of phosphate metabolic process	DMTN	brown	En
ENSG00000177885	GRB2	growth factor receptor-bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	ENSG00000177885	GO:0019220	regulation of phosphate metabolic process	GRB2	brown	En
ENSG00000005249	PRKAR2B	protein kinase, cAMP-dependent, regulatory, type II, beta [Source:HGNC Symbol;Acc:HGNC:9392]	ENSG00000005249	GO:0019220	regulation of phosphate metabolic process	PRKAR2B	brown	En
ENSG00000198822	GRM3	glutamate receptor, metabotropic 3 [Source:HGNC Symbol;Acc:HGNC:4595]	ENSG00000198822	GO:0019220	regulation of phosphate metabolic process	GRM3	brown	En
ENSG00000165795	NDRG2	NDRG family member 2 [Source:HGNC Symbol;Acc:HGNC:14460]	ENSG00000165795	GO:0019220	regulation of phosphate metabolic process	NDRG2	brown	En
ENSG00000254087	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	ENSG00000254087	GO:0019220	regulation of phosphate metabolic process	LYN	brown	En
ENSG00000023734	STRAP	serine/threonine kinase receptor associated protein [Source:HGNC Symbol;Acc:HGNC:30796]	ENSG00000023734	GO:0019220	regulation of phosphate metabolic process	STRAP	brown	En
ENSG00000166913	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta [Source:HGNC Symbol;Acc:HGNC:12849]	ENSG00000166913	GO:0019220	regulation of phosphate metabolic process	YWHAB	brown	En
ENSG00000169032	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	ENSG00000169032	GO:0019220	regulation of phosphate metabolic process	MAP2K1	brown	En
ENSG00000149357	LAMTOR1	late endosomal/lysosomal adaptor, MAPK and MTOR activator 1 [Source:HGNC Symbol;Acc:HGNC:26068]	ENSG00000149357	GO:0019220	regulation of phosphate metabolic process	LAMTOR1	brown	En
ENSG00000187391	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18957]	ENSG00000187391	GO:0019220	regulation of phosphate metabolic process	MAGI2	brown	En
ENSG00000171557	FGG	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	ENSG00000171557	GO:0019220	regulation of phosphate metabolic process	FGG	brown	En
ENSG00000142875	PRKACB	protein kinase, cAMP-dependent, catalytic, beta [Source:HGNC Symbol;Acc:HGNC:9381]	ENSG00000142875	GO:0019220	regulation of phosphate metabolic process	PRKACB	brown	En
ENSG00000078295	ADCY2	adenylate cyclase 2 (brain) [Source:HGNC Symbol;Acc:HGNC:233]	ENSG00000078295	GO:0019220	regulation of phosphate metabolic process	ADCY2	brown	En
ENSG00000084207	GSTP1	glutathione S-transferase pi 1 [Source:HGNC Symbol;Acc:HGNC:4638]	ENSG00000084207	GO:0019220	regulation of phosphate metabolic process	GSTP1	brown	En
ENSG00000108100	CCNY	cyclin Y [Source:HGNC Symbol;Acc:HGNC:23354]	ENSG00000108100	GO:0019220	regulation of phosphate metabolic process	CCNY	brown	En
ENSG00000125730	C3	complement component 3 [Source:HGNC Symbol;Acc:HGNC:1318]	ENSG00000125730	GO:0019220	regulation of phosphate metabolic process	C3	brown	En
ENSG00000182621	PLCB1	phospholipase C, beta 1 (phosphoinositide-specific) [Source:HGNC Symbol;Acc:HGNC:15917]	ENSG00000182621	GO:0019220	regulation of phosphate metabolic process	PLCB1	brown	En
ENSG00000070087	PFN2	profilin 2 [Source:HGNC Symbol;Acc:HGNC:8882]	ENSG00000070087	GO:0019220	regulation of phosphate metabolic process	PFN2	brown	En
ENSG00000167193	CRK	v-crk avian sarcoma virus CT10 oncogene homolog [Source:HGNC Symbol;Acc:HGNC:2362]	ENSG00000167193	GO:0019220	regulation of phosphate metabolic process	CRK	brown	En
ENSG00000105401	CDC37	cell division cycle 37 [Source:HGNC Symbol;Acc:HGNC:1735]	ENSG00000105401	GO:0019220	regulation of phosphate metabolic process	CDC37	brown	En
ENSG00000065559	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]	ENSG00000065559	GO:0019220	regulation of phosphate metabolic process	MAP2K4	brown	En
ENSG00000101843	PSMD10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10 [Source:HGNC Symbol;Acc:HGNC:9555]	ENSG00000101843	GO:0019220	regulation of phosphate metabolic process	PSMD10	brown	En
ENSG00000108953	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon [Source:HGNC Symbol;Acc:HGNC:12851]	ENSG00000108953	GO:0019220	regulation of phosphate metabolic process	YWHAE	brown	En
ENSG00000161542	PRPSAP1	phosphoribosyl pyrophosphate synthetase-associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9466]	ENSG00000161542	GO:0019220	regulation of phosphate metabolic process	PRPSAP1	brown	En
ENSG00000126934	MAP2K2	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]	ENSG00000126934	GO:0019220	regulation of phosphate metabolic process	MAP2K2	brown	En
ENSG00000115685	PPP1R7	protein phosphatase 1, regulatory subunit 7 [Source:HGNC Symbol;Acc:HGNC:9295]	ENSG00000115685	GO:0019220	regulation of phosphate metabolic process	PPP1R7	brown	En
ENSG00000166340	TPP1	tripeptidyl peptidase I [Source:HGNC Symbol;Acc:HGNC:2073]	ENSG00000166340	GO:0019220	regulation of phosphate metabolic process	TPP1	brown	En
ENSG00000109339	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	ENSG00000109339	GO:0019220	regulation of phosphate metabolic process	MAPK10	brown	En
ENSG00000102882	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	ENSG00000102882	GO:0019220	regulation of phosphate metabolic process	MAPK3	brown	En
