GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000102882	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	15	0.625	ENSG00000102882	B cell receptor signaling pathway:KEGG-hsa04662 // Fc gamma R-mediated phagocytosis:KEGG-hsa04666 // Oocyte meiosis:KEGG-hsa04114 // Chronic myeloid leukemia:KEGG-hsa05220 // ErbB signaling pathway:KEGG-hsa04012 // Type II diabetes mellitus:KEGG-hsa04930 // Axon guidance:KEGG-hsa04360 // Glutamatergic synapse:KEGG-hsa04724 // Natural killer cell mediated cytotoxicity:KEGG-hsa04650 // Insulin signaling pathway:KEGG-hsa04910 // T cell receptor signaling pathway:KEGG-hsa04660 // Fc epsilon RI signaling pathway:KEGG-hsa04664 // NOD-like receptor signaling pathway:KEGG-hsa04621 // Shigellosis:KEGG-hsa05131 // Progesterone-mediated oocyte maturation:KEGG-hsa04914
ENSG00000100030	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	15	0.625	ENSG00000100030	B cell receptor signaling pathway:KEGG-hsa04662 // Fc gamma R-mediated phagocytosis:KEGG-hsa04666 // Oocyte meiosis:KEGG-hsa04114 // Chronic myeloid leukemia:KEGG-hsa05220 // ErbB signaling pathway:KEGG-hsa04012 // Type II diabetes mellitus:KEGG-hsa04930 // Axon guidance:KEGG-hsa04360 // Glutamatergic synapse:KEGG-hsa04724 // Natural killer cell mediated cytotoxicity:KEGG-hsa04650 // Insulin signaling pathway:KEGG-hsa04910 // T cell receptor signaling pathway:KEGG-hsa04660 // Fc epsilon RI signaling pathway:KEGG-hsa04664 // NOD-like receptor signaling pathway:KEGG-hsa04621 // Shigellosis:KEGG-hsa05131 // Progesterone-mediated oocyte maturation:KEGG-hsa04914
ENSG00000169032	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	10	0.416666666667	ENSG00000169032	B cell receptor signaling pathway:KEGG-hsa04662 // Fc gamma R-mediated phagocytosis:KEGG-hsa04666 // Oocyte meiosis:KEGG-hsa04114 // Chronic myeloid leukemia:KEGG-hsa05220 // ErbB signaling pathway:KEGG-hsa04012 // Natural killer cell mediated cytotoxicity:KEGG-hsa04650 // Insulin signaling pathway:KEGG-hsa04910 // T cell receptor signaling pathway:KEGG-hsa04660 // Fc epsilon RI signaling pathway:KEGG-hsa04664 // Progesterone-mediated oocyte maturation:KEGG-hsa04914
ENSG00000166501	PRKCB	protein kinase C, beta [Source:HGNC Symbol;Acc:HGNC:9395]	9	0.375	ENSG00000166501	B cell receptor signaling pathway:KEGG-hsa04662 // Fc gamma R-mediated phagocytosis:KEGG-hsa04666 // Endocrine and other factor-regulated calcium reabsorption:KEGG-hsa04961 // ErbB signaling pathway:KEGG-hsa04012 // Glutamatergic synapse:KEGG-hsa04724 // Natural killer cell mediated cytotoxicity:KEGG-hsa04650 // Wnt signaling pathway:KEGG-hsa04310 // Vibrio cholerae infection:KEGG-hsa05110 // Fc epsilon RI signaling pathway:KEGG-hsa04664
ENSG00000109339	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	9	0.375	ENSG00000109339	ErbB signaling pathway:KEGG-hsa04012 // Type II diabetes mellitus:KEGG-hsa04930 // Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120 // Wnt signaling pathway:KEGG-hsa04310 // Insulin signaling pathway:KEGG-hsa04910 // Fc epsilon RI signaling pathway:KEGG-hsa04664 // NOD-like receptor signaling pathway:KEGG-hsa04621 // Shigellosis:KEGG-hsa05131 // Progesterone-mediated oocyte maturation:KEGG-hsa04914
ENSG00000221823	PPP3R1	protein phosphatase 3, regulatory subunit B, alpha [Source:HGNC Symbol;Acc:HGNC:9317]	7	0.291666666667	ENSG00000221823	B cell receptor signaling pathway:KEGG-hsa04662 // Oocyte meiosis:KEGG-hsa04114 // Axon guidance:KEGG-hsa04360 // Glutamatergic synapse:KEGG-hsa04724 // Natural killer cell mediated cytotoxicity:KEGG-hsa04650 // Wnt signaling pathway:KEGG-hsa04310 // T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000187446	CHP1	calcineurin-like EF-hand protein 1 [Source:HGNC Symbol;Acc:HGNC:17433]	7	0.291666666667	ENSG00000187446	B cell receptor signaling pathway:KEGG-hsa04662 // Oocyte meiosis:KEGG-hsa04114 // Axon guidance:KEGG-hsa04360 // Glutamatergic synapse:KEGG-hsa04724 // Natural killer cell mediated cytotoxicity:KEGG-hsa04650 // Wnt signaling pathway:KEGG-hsa04310 // T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000177885	GRB2	growth factor receptor-bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	7	0.291666666667	ENSG00000177885	B cell receptor signaling pathway:KEGG-hsa04662 // Chronic myeloid leukemia:KEGG-hsa05220 // ErbB signaling pathway:KEGG-hsa04012 // Natural killer cell mediated cytotoxicity:KEGG-hsa04650 // Insulin signaling pathway:KEGG-hsa04910 // T cell receptor signaling pathway:KEGG-hsa04660 // Fc epsilon RI signaling pathway:KEGG-hsa04664
ENSG00000142875	PRKACB	protein kinase, cAMP-dependent, catalytic, beta [Source:HGNC Symbol;Acc:HGNC:9381]	7	0.291666666667	ENSG00000142875	Endocrine and other factor-regulated calcium reabsorption:KEGG-hsa04961 // Oocyte meiosis:KEGG-hsa04114 // Glutamatergic synapse:KEGG-hsa04724 // Wnt signaling pathway:KEGG-hsa04310 // Vibrio cholerae infection:KEGG-hsa05110 // Insulin signaling pathway:KEGG-hsa04910 // Progesterone-mediated oocyte maturation:KEGG-hsa04914
ENSG00000138814	PPP3CA	protein phosphatase 3, catalytic subunit, alpha isozyme [Source:HGNC Symbol;Acc:HGNC:9314]	7	0.291666666667	ENSG00000138814	B cell receptor signaling pathway:KEGG-hsa04662 // Oocyte meiosis:KEGG-hsa04114 // Axon guidance:KEGG-hsa04360 // Glutamatergic synapse:KEGG-hsa04724 // Natural killer cell mediated cytotoxicity:KEGG-hsa04650 // Wnt signaling pathway:KEGG-hsa04310 // T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000126934	MAP2K2	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]	7	0.291666666667	ENSG00000126934	B cell receptor signaling pathway:KEGG-hsa04662 // Chronic myeloid leukemia:KEGG-hsa05220 // ErbB signaling pathway:KEGG-hsa04012 // Natural killer cell mediated cytotoxicity:KEGG-hsa04650 // Insulin signaling pathway:KEGG-hsa04910 // T cell receptor signaling pathway:KEGG-hsa04660 // Fc epsilon RI signaling pathway:KEGG-hsa04664
ENSG00000126583	PRKCG	protein kinase C, gamma [Source:HGNC Symbol;Acc:HGNC:9402]	7	0.291666666667	ENSG00000126583	Fc gamma R-mediated phagocytosis:KEGG-hsa04666 // Endocrine and other factor-regulated calcium reabsorption:KEGG-hsa04961 // ErbB signaling pathway:KEGG-hsa04012 // Glutamatergic synapse:KEGG-hsa04724 // Natural killer cell mediated cytotoxicity:KEGG-hsa04650 // Wnt signaling pathway:KEGG-hsa04310 // Vibrio cholerae infection:KEGG-hsa05110
ENSG00000107758	PPP3CB	protein phosphatase 3, catalytic subunit, beta isozyme [Source:HGNC Symbol;Acc:HGNC:9315]	7	0.291666666667	ENSG00000107758	B cell receptor signaling pathway:KEGG-hsa04662 // Oocyte meiosis:KEGG-hsa04114 // Axon guidance:KEGG-hsa04360 // Glutamatergic synapse:KEGG-hsa04724 // Natural killer cell mediated cytotoxicity:KEGG-hsa04650 // Wnt signaling pathway:KEGG-hsa04310 // T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000149269	PAK1	p21 protein (Cdc42/Rac)-activated kinase 1 [Source:HGNC Symbol;Acc:HGNC:8590]	6	0.25	ENSG00000149269	Fc gamma R-mediated phagocytosis:KEGG-hsa04666 // ErbB signaling pathway:KEGG-hsa04012 // Axon guidance:KEGG-hsa04360 // Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120 // Natural killer cell mediated cytotoxicity:KEGG-hsa04650 // T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000167193	CRK	v-crk avian sarcoma virus CT10 oncogene homolog [Source:HGNC Symbol;Acc:HGNC:2362]	5	0.208333333333	ENSG00000167193	Fc gamma R-mediated phagocytosis:KEGG-hsa04666 // Chronic myeloid leukemia:KEGG-hsa05220 // ErbB signaling pathway:KEGG-hsa04012 // Insulin signaling pathway:KEGG-hsa04910 // Shigellosis:KEGG-hsa05131
ENSG00000099942	CRKL	v-crk avian sarcoma virus CT10 oncogene homolog-like [Source:HGNC Symbol;Acc:HGNC:2363]	5	0.208333333333	ENSG00000099942	Fc gamma R-mediated phagocytosis:KEGG-hsa04666 // Chronic myeloid leukemia:KEGG-hsa05220 // ErbB signaling pathway:KEGG-hsa04012 // Insulin signaling pathway:KEGG-hsa04910 // Shigellosis:KEGG-hsa05131
ENSG00000010810	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	5	0.208333333333	ENSG00000010810	Pathogenic Escherichia coli infection:KEGG-hsa05130 // Axon guidance:KEGG-hsa04360 // Natural killer cell mediated cytotoxicity:KEGG-hsa04650 // T cell receptor signaling pathway:KEGG-hsa04660 // Fc epsilon RI signaling pathway:KEGG-hsa04664
ENSG00000254087	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	4	0.166666666667	ENSG00000254087	B cell receptor signaling pathway:KEGG-hsa04662 // Fc gamma R-mediated phagocytosis:KEGG-hsa04666 // Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120 // Fc epsilon RI signaling pathway:KEGG-hsa04664
ENSG00000213760	ATP6V1G2	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2 [Source:HGNC Symbol;Acc:HGNC:862]	4	0.166666666667	ENSG00000213760	Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120 // Collecting duct acid secretion:KEGG-hsa04966 // Vibrio cholerae infection:KEGG-hsa05110 // Rheumatoid arthritis:KEGG-hsa05323
ENSG00000159720	ATP6V0D1	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1 [Source:HGNC Symbol;Acc:HGNC:13724]	4	0.166666666667	ENSG00000159720	Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120 // Collecting duct acid secretion:KEGG-hsa04966 // Vibrio cholerae infection:KEGG-hsa05110 // Rheumatoid arthritis:KEGG-hsa05323
ENSG00000155097	ATP6V1C1	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]	4	0.166666666667	ENSG00000155097	Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120 // Collecting duct acid secretion:KEGG-hsa04966 // Vibrio cholerae infection:KEGG-hsa05110 // Rheumatoid arthritis:KEGG-hsa05323
