GeneID	Symbol	Description	UID-str	parent GOID	GO Name	SystemCode	ME	NA
ENSG00000126583	PRKCG	protein kinase C, gamma [Source:HGNC Symbol;Acc:HGNC:9402]	ENSG00000126583	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399	PRKCG	brown	En
ENSG00000171132	PRKCE	protein kinase C, epsilon [Source:HGNC Symbol;Acc:HGNC:9401]	ENSG00000171132	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399	PRKCE	brown	En
ENSG00000007168	PAFAH1B1	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa) [Source:HGNC Symbol;Acc:HGNC:8574]	ENSG00000007168	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399	PAFAH1B1	brown	En
ENSG00000105568	PPP2R1A	protein phosphatase 2, regulatory subunit A, alpha [Source:HGNC Symbol;Acc:HGNC:9302]	ENSG00000105568	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399	PPP2R1A	brown	En
ENSG00000159692	CTBP1	C-terminal binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2494]	ENSG00000159692	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399	CTBP1	brown	En
ENSG00000198561	CTNND1	catenin (cadherin-associated protein), delta 1 [Source:HGNC Symbol;Acc:HGNC:2515]	ENSG00000198561	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399	CTNND1	brown	En
ENSG00000221914	PPP2R2A	protein phosphatase 2, regulatory subunit B, alpha [Source:HGNC Symbol;Acc:HGNC:9304]	ENSG00000221914	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399	PPP2R2A	brown	En
ENSG00000109339	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	ENSG00000109339	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399	MAPK10	brown	En
ENSG00000104695	PPP2CB	protein phosphatase 2, catalytic subunit, beta isozyme [Source:HGNC Symbol;Acc:HGNC:9300]	ENSG00000104695	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399	PPP2CB	brown	En
ENSG00000065559	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]	ENSG00000065559	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399	MAP2K4	brown	En
ENSG00000154001	PPP2R5E	protein phosphatase 2, regulatory subunit B', epsilon isoform [Source:HGNC Symbol;Acc:HGNC:9313]	ENSG00000154001	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399	PPP2R5E	brown	En
ENSG00000166501	PRKCB	protein kinase C, beta [Source:HGNC Symbol;Acc:HGNC:9395]	ENSG00000166501	Wnt Signaling Pathway and Pluripotency:WP399	Wnt Signaling Pathway and Pluripotency:WP399	PRKCB	brown	En
ENSG00000126934	MAP2K2	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]	ENSG00000126934	Toll-like receptor signaling pathway:WP75	Toll-like receptor signaling pathway:WP75	MAP2K2	brown	En
ENSG00000100030	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	ENSG00000100030	Toll-like receptor signaling pathway:WP75	Toll-like receptor signaling pathway:WP75	MAPK1	brown	En
ENSG00000078902	TOLLIP	toll interacting protein [Source:HGNC Symbol;Acc:HGNC:16476]	ENSG00000078902	Toll-like receptor signaling pathway:WP75	Toll-like receptor signaling pathway:WP75	TOLLIP	brown	En
ENSG00000169032	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	ENSG00000169032	Toll-like receptor signaling pathway:WP75	Toll-like receptor signaling pathway:WP75	MAP2K1	brown	En
