GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000179218	CALR	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]	23	0.232323232323	ENSG00000179218	endoplasmic reticulum // ER-nucleus signaling pathway // vesicle lumen // post-translational protein modification // extracellular organelle // protein folding // nucleic acid binding // endoplasmic reticulum part // glycoprotein binding // sequestering of metal ion // protein maturation // cellular response to inorganic substance // integral component of organelle membrane // divalent inorganic cation homeostasis // regulation of substrate adhesion-dependent cell spreading // unfolded protein binding // calcium ion binding // multicellular organismal reproductive process // carbohydrate binding // cell surface // response to endoplasmic reticulum stress // protein N-linked glycosylation via asparagine // cellular protein complex assembly
ENSG00000171564	FGB	fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662]	22	0.222222222222	ENSG00000171564	positive regulation of heterotypic cell-cell adhesion // positive regulation of vasoconstriction // vesicle lumen // response to calcium ion // platelet activation // extracellular organelle // regulation of protein transport // coagulation // cell cortex // platelet alpha granule // negative regulation of extrinsic apoptotic signaling pathway via death domain receptors // regulation of substrate adhesion-dependent cell spreading // regulation of body fluid levels // regulation of hormone secretion // cell surface // positive regulation of ERK1 and ERK2 cascade // platelet degranulation // negative regulation of endothelial cell apoptotic process // cellular protein complex assembly // regulation of peptide secretion // platelet aggregation // fibrinogen complex
ENSG00000171560	FGA	fibrinogen alpha chain [Source:HGNC Symbol;Acc:HGNC:3661]	22	0.222222222222	ENSG00000171560	positive regulation of heterotypic cell-cell adhesion // positive regulation of vasoconstriction // vesicle lumen // response to calcium ion // platelet activation // extracellular organelle // regulation of protein transport // coagulation // cell cortex // platelet alpha granule // negative regulation of extrinsic apoptotic signaling pathway via death domain receptors // regulation of substrate adhesion-dependent cell spreading // regulation of body fluid levels // regulation of hormone secretion // cell surface // positive regulation of ERK1 and ERK2 cascade // platelet degranulation // negative regulation of endothelial cell apoptotic process // cellular protein complex assembly // regulation of peptide secretion // platelet aggregation // fibrinogen complex
ENSG00000171557	FGG	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	22	0.222222222222	ENSG00000171557	positive regulation of heterotypic cell-cell adhesion // positive regulation of vasoconstriction // vesicle lumen // response to calcium ion // platelet activation // extracellular organelle // regulation of protein transport // coagulation // cell cortex // platelet alpha granule // negative regulation of extrinsic apoptotic signaling pathway via death domain receptors // regulation of substrate adhesion-dependent cell spreading // regulation of body fluid levels // regulation of hormone secretion // cell surface // positive regulation of ERK1 and ERK2 cascade // platelet degranulation // negative regulation of endothelial cell apoptotic process // cellular protein complex assembly // regulation of peptide secretion // platelet aggregation // fibrinogen complex
ENSG00000044574	HSPA5	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) [Source:HGNC Symbol;Acc:HGNC:5238]	17	0.171717171717	ENSG00000044574	endoplasmic reticulum // pigment granule // ER-nucleus signaling pathway // endoplasmic reticulum-Golgi intermediate compartment // platelet activation // extracellular organelle // endoplasmic reticulum part // glycoprotein binding // coagulation // integral component of organelle membrane // unfolded protein binding // calcium ion binding // regulation of body fluid levels // cell surface // response to endoplasmic reticulum stress // platelet degranulation // ER-associated ubiquitin-dependent protein catabolic process
ENSG00000188846	RPL14	ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:10305]	15	0.151515151515	ENSG00000188846	cytosolic large ribosomal subunit // viral life cycle // extracellular organelle // viral transcription // SRP-dependent cotranslational protein targeting to membrane // nucleic acid binding // ribosome // ribonucleoprotein complex biogenesis // nuclear-transcribed mRNA catabolic process, nonsense-mediated decay // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
ENSG00000148303	RPL7A	ribosomal protein L7a [Source:HGNC Symbol;Acc:HGNC:10364]	15	0.151515151515	ENSG00000148303	cytosolic large ribosomal subunit // viral life cycle // extracellular organelle // viral transcription // SRP-dependent cotranslational protein targeting to membrane // nucleic acid binding // ribosome // ribonucleoprotein complex biogenesis // nuclear-transcribed mRNA catabolic process, nonsense-mediated decay // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
ENSG00000089157	RPLP0	ribosomal protein, large, P0 [Source:HGNC Symbol;Acc:HGNC:10371]	15	0.151515151515	ENSG00000089157	cytosolic large ribosomal subunit // viral life cycle // extracellular organelle // viral transcription // SRP-dependent cotranslational protein targeting to membrane // nucleic acid binding // ribosome // ribonucleoprotein complex biogenesis // nuclear-transcribed mRNA catabolic process, nonsense-mediated decay // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
ENSG00000198242	RPL23A	ribosomal protein L23a [Source:HGNC Symbol;Acc:HGNC:10317]	14	0.141414141414	ENSG00000198242	cytosolic large ribosomal subunit // viral life cycle // extracellular organelle // viral transcription // SRP-dependent cotranslational protein targeting to membrane // nucleic acid binding // ribosome // nuclear-transcribed mRNA catabolic process, nonsense-mediated decay // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
ENSG00000177600	RPLP2	ribosomal protein, large, P2 [Source:HGNC Symbol;Acc:HGNC:10377]	14	0.141414141414	ENSG00000177600	cytosolic large ribosomal subunit // viral life cycle // extracellular organelle // viral transcription // SRP-dependent cotranslational protein targeting to membrane // nucleic acid binding // ribosome // nuclear-transcribed mRNA catabolic process, nonsense-mediated decay // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
ENSG00000174748	RPL15	ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:10306]	14	0.141414141414	ENSG00000174748	cytosolic large ribosomal subunit // viral life cycle // extracellular organelle // viral transcription // SRP-dependent cotranslational protein targeting to membrane // nucleic acid binding // ribosome // nuclear-transcribed mRNA catabolic process, nonsense-mediated decay // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
ENSG00000174444	RPL4	ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:10353]	14	0.141414141414	ENSG00000174444	cytosolic large ribosomal subunit // viral life cycle // extracellular organelle // viral transcription // SRP-dependent cotranslational protein targeting to membrane // nucleic acid binding // ribosome // nuclear-transcribed mRNA catabolic process, nonsense-mediated decay // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
ENSG00000166598	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	14	0.141414141414	ENSG00000166598	endoplasmic reticulum // pigment granule // ER-nucleus signaling pathway // vesicle lumen // extracellular organelle // protein folding // nucleic acid binding // endoplasmic reticulum part // sequestering of metal ion // unfolded protein binding // calcium ion binding // response to endoplasmic reticulum stress // ER-associated ubiquitin-dependent protein catabolic process // low-density lipoprotein particle receptor binding
ENSG00000147604	RPL7	ribosomal protein L7 [Source:HGNC Symbol;Acc:HGNC:10363]	14	0.141414141414	ENSG00000147604	cytosolic large ribosomal subunit // viral life cycle // extracellular organelle // viral transcription // SRP-dependent cotranslational protein targeting to membrane // nucleic acid binding // ribonucleoprotein complex biogenesis // nuclear-transcribed mRNA catabolic process, nonsense-mediated decay // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
ENSG00000100316	RPL3	ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10332]	14	0.141414141414	ENSG00000100316	cytosolic large ribosomal subunit // viral life cycle // extracellular organelle // viral transcription // SRP-dependent cotranslational protein targeting to membrane // nucleic acid binding // ribosome // nuclear-transcribed mRNA catabolic process, nonsense-mediated decay // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
ENSG00000198755	RPL10A	ribosomal protein L10a [Source:HGNC Symbol;Acc:HGNC:10299]	13	0.131313131313	ENSG00000198755	cytosolic large ribosomal subunit // viral life cycle // extracellular organelle // viral transcription // SRP-dependent cotranslational protein targeting to membrane // nucleic acid binding // nuclear-transcribed mRNA catabolic process, nonsense-mediated decay // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
ENSG00000170889	RPS9	ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442]	13	0.131313131313	ENSG00000170889	viral life cycle // extracellular organelle // viral transcription // SRP-dependent cotranslational protein targeting to membrane // nucleic acid binding // ribosome // nuclear-transcribed mRNA catabolic process, nonsense-mediated decay // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
ENSG00000167526	RPL13	ribosomal protein L13 [Source:HGNC Symbol;Acc:HGNC:10303]	13	0.131313131313	ENSG00000167526	cytosolic large ribosomal subunit // viral life cycle // viral transcription // SRP-dependent cotranslational protein targeting to membrane // nucleic acid binding // ribosome // nuclear-transcribed mRNA catabolic process, nonsense-mediated decay // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
ENSG00000167004	PDIA3	protein disulfide isomerase family A, member 3 [Source:HGNC Symbol;Acc:HGNC:4606]	13	0.131313131313	ENSG00000167004	endoplasmic reticulum // pigment granule // post-translational protein modification // extracellular organelle // protein folding // nucleic acid binding // endoplasmic reticulum part // protein disulfide isomerase activity // oxidoreductase activity, acting on a sulfur group of donors // cell redox homeostasis // cell surface // response to endoplasmic reticulum stress // protein N-linked glycosylation via asparagine
ENSG00000161016	RPL8	ribosomal protein L8 [Source:HGNC Symbol;Acc:HGNC:10368]	13	0.131313131313	ENSG00000161016	cytosolic large ribosomal subunit // viral life cycle // viral transcription // SRP-dependent cotranslational protein targeting to membrane // nucleic acid binding // ribosome // nuclear-transcribed mRNA catabolic process, nonsense-mediated decay // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
ENSG00000146648	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	13	0.131313131313	ENSG00000146648	positive regulation of vasoconstriction // response to calcium ion // nucleic acid binding // regulation of protein transport // endoplasmic reticulum part // glycoprotein binding // positive regulation of lipase activity // epidermis development // divalent inorganic cation homeostasis // multicellular organismal reproductive process // cell surface // positive regulation of ERK1 and ERK2 cascade // translation
ENSG00000142937	RPS8	ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441]	13	0.131313131313	ENSG00000142937	viral life cycle // extracellular organelle // viral transcription // SRP-dependent cotranslational protein targeting to membrane // nucleic acid binding // ribosome // nuclear-transcribed mRNA catabolic process, nonsense-mediated decay // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
ENSG00000127022	CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	13	0.131313131313	ENSG00000127022	endoplasmic reticulum // pigment granule // post-translational protein modification // extracellular organelle // protein folding // nucleic acid binding // endoplasmic reticulum part // glycoprotein binding // ribosome // integral component of organelle membrane // unfolded protein binding // calcium ion binding // protein N-linked glycosylation via asparagine
ENSG00000105640	RPL18A	ribosomal protein L18a [Source:HGNC Symbol;Acc:HGNC:10311]	13	0.131313131313	ENSG00000105640	cytosolic large ribosomal subunit // viral life cycle // viral transcription // SRP-dependent cotranslational protein targeting to membrane // nucleic acid binding // ribosome // nuclear-transcribed mRNA catabolic process, nonsense-mediated decay // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
ENSG00000089009	RPL6	ribosomal protein L6 [Source:HGNC Symbol;Acc:HGNC:10362]	13	0.131313131313	ENSG00000089009	cytosolic large ribosomal subunit // viral life cycle // viral transcription // SRP-dependent cotranslational protein targeting to membrane // nucleic acid binding // ribosome // nuclear-transcribed mRNA catabolic process, nonsense-mediated decay // structural constituent of ribosome // gene expression // translational termination // translational elongation // translational initiation // translation
ENSG00000084674	APOB	apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603]	13	0.131313131313	ENSG00000084674	endoplasmic reticulum // plasma lipoprotein particle // vesicle lumen // fertilization // regulation of lipid storage // endoplasmic reticulum part // coagulation // lipid transport // embryo development ending in birth or egg hatching // multicellular organismal reproductive process // regulation of body fluid levels // heparin binding // low-density lipoprotein particle receptor binding
ENSG00000074695	LMAN1	lectin, mannose-binding, 1 [Source:HGNC Symbol;Acc:HGNC:6631]	13	0.131313131313	ENSG00000074695	post-translational protein modification // endoplasmic reticulum-Golgi intermediate compartment // extracellular organelle // protein folding // ER to Golgi vesicle-mediated transport // endoplasmic reticulum part // coagulation // endoplasmic reticulum-Golgi intermediate compartment membrane // unfolded protein binding // regulation of body fluid levels // carbohydrate binding // Golgi organization // protein N-linked glycosylation via asparagine
ENSG00000259207	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61) [Source:HGNC Symbol;Acc:HGNC:6156]	12	0.121212121212	ENSG00000259207	pigment granule // platelet activation // extracellular organelle // regulation of lipid storage // protein folding // coagulation // secretory granule membrane // protein disulfide isomerase activity // regulation of body fluid levels // cell surface // platelet degranulation // platelet aggregation
ENSG00000170348	TMED10	transmembrane emp24-like trafficking protein 10 (yeast) [Source:HGNC Symbol;Acc:HGNC:16998]	12	0.121212121212	ENSG00000170348	endoplasmic reticulum // pigment granule // endoplasmic reticulum-Golgi intermediate compartment // extracellular organelle // ER to Golgi vesicle-mediated transport // endoplasmic reticulum part // retrograde vesicle-mediated transport, Golgi to ER // endoplasmic reticulum-Golgi intermediate compartment membrane // secretory granule membrane // Golgi organization // COPI coating of Golgi vesicle // cellular protein complex assembly
ENSG00000154229	PRKCA	protein kinase C, alpha [Source:HGNC Symbol;Acc:HGNC:9393]	12	0.121212121212	ENSG00000154229	endoplasmic reticulum // platelet activation // extracellular organelle // regulation of protein transport // coagulation // positive regulation of lipase activity // divalent inorganic cation homeostasis // regulation of body fluid levels // regulation of hormone secretion // positive regulation of ERK1 and ERK2 cascade // gene expression // regulation of peptide secretion
ENSG00000185624	P4HB	prolyl 4-hydroxylase, beta polypeptide [Source:HGNC Symbol;Acc:HGNC:8548]	11	0.111111111111	ENSG00000185624	endoplasmic reticulum // pigment granule // endoplasmic reticulum-Golgi intermediate compartment // extracellular organelle // protein folding // nucleic acid binding // endoplasmic reticulum part // protein disulfide isomerase activity // calcium ion binding // cell redox homeostasis // response to endoplasmic reticulum stress
ENSG00000123104	ITPR2	inositol 1,4,5-trisphosphate receptor, type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	11	0.111111111111	ENSG00000123104	endoplasmic reticulum // platelet activation // regulation of protein transport // endoplasmic reticulum part // coagulation // cell cortex // positive regulation of lipase activity // platelet dense tubular network membrane // regulation of body fluid levels // regulation of hormone secretion // regulation of peptide secretion
ENSG00000196419	XRCC6	X-ray repair complementing defective repair in Chinese hamster cells 6 [Source:HGNC Symbol;Acc:HGNC:4055]	10	0.10101010101	ENSG00000196419	nucleic acid binding // positive regulation of type I interferon production // response to salt stress // response to ionizing radiation // non-recombinational repair // DNA duplex unwinding // nonhomologous end joining complex // ATP-dependent DNA helicase activity // DNA recombination // telomere organization
ENSG00000163902	RPN1	ribophorin I [Source:HGNC Symbol;Acc:HGNC:10381]	10	0.10101010101	ENSG00000163902	endoplasmic reticulum // pigment granule // post-translational protein modification // transferase activity, transferring hexosyl groups // SRP-dependent cotranslational protein targeting to membrane // nucleic acid binding // endoplasmic reticulum part // gene expression // protein N-linked glycosylation via asparagine // translation
ENSG00000155660	PDIA4	protein disulfide isomerase family A, member 4 [Source:HGNC Symbol;Acc:HGNC:30167]	10	0.10101010101	ENSG00000155660	endoplasmic reticulum // pigment granule // protein folding // nucleic acid binding // endoplasmic reticulum part // protein disulfide isomerase activity // calcium ion binding // cell redox homeostasis // cell surface // response to endoplasmic reticulum stress
ENSG00000143870	PDIA6	protein disulfide isomerase family A, member 6 [Source:HGNC Symbol;Acc:HGNC:30168]	10	0.10101010101	ENSG00000143870	endoplasmic reticulum // pigment granule // ER-nucleus signaling pathway // endoplasmic reticulum-Golgi intermediate compartment // extracellular organelle // protein folding // endoplasmic reticulum part // protein disulfide isomerase activity // cell redox homeostasis // response to endoplasmic reticulum stress
ENSG00000138279	ANXA7	annexin A7 [Source:HGNC Symbol;Acc:HGNC:545]	10	0.10101010101	ENSG00000138279	response to calcium ion // regulation of cell shape // extracellular organelle // nucleic acid binding // endoplasmic reticulum part // response to salt stress // divalent inorganic cation homeostasis // secretory granule membrane // calcium ion binding // regulation of body fluid levels
ENSG00000086598	TMED2	transmembrane emp24 domain trafficking protein 2 [Source:HGNC Symbol;Acc:HGNC:16996]	10	0.10101010101	ENSG00000086598	endoplasmic reticulum // endoplasmic reticulum-Golgi intermediate compartment // ER to Golgi vesicle-mediated transport // endoplasmic reticulum part // endoplasmic reticulum-Golgi intermediate compartment membrane // secretory granule membrane // multicellular organismal reproductive process // Golgi organization // COPI coating of Golgi vesicle // cellular protein complex assembly
ENSG00000079246	XRCC5	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining) [Source:HGNC Symbol;Acc:HGNC:12833]	10	0.10101010101	ENSG00000079246	nucleic acid binding // positive regulation of type I interferon production // response to salt stress // response to ionizing radiation // non-recombinational repair // DNA duplex unwinding // nonhomologous end joining complex // ATP-dependent DNA helicase activity // DNA recombination // telomere organization
ENSG00000075142	SRI	sorcin [Source:HGNC Symbol;Acc:HGNC:11292]	10	0.10101010101	ENSG00000075142	endoplasmic reticulum // extracellular organelle // regulation of protein transport // endoplasmic reticulum part // sequestering of metal ion // secretory granule membrane // calcium ion binding // regulation of hormone secretion // negative regulation of binding // regulation of peptide secretion
ENSG00000183207	RUVBL2	RuvB-like AAA ATPase 2 [Source:HGNC Symbol;Acc:HGNC:10475]	9	0.0909090909091	ENSG00000183207	extracellular organelle // protein folding // nucleic acid binding // nuclear matrix // unfolded protein binding // DNA duplex unwinding // negative regulation of binding // ATP-dependent DNA helicase activity // DNA recombination
ENSG00000136731	UGGT1	UDP-glucose glycoprotein glucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15663]	9	0.0909090909091	ENSG00000136731	endoplasmic reticulum // post-translational protein modification // endoplasmic reticulum-Golgi intermediate compartment // extracellular organelle // transferase activity, transferring hexosyl groups // protein folding // endoplasmic reticulum part // unfolded protein binding // protein N-linked glycosylation via asparagine
ENSG00000120063	GNA13	guanine nucleotide binding protein (G protein), alpha 13 [Source:HGNC Symbol;Acc:HGNC:4381]	9	0.0909090909091	ENSG00000120063	pigment granule // regulation of cell shape // platelet activation // extracellular organelle // coagulation // positive regulation of lipase activity // embryo development ending in birth or egg hatching // divalent inorganic cation homeostasis // regulation of body fluid levels
ENSG00000023318	ERP44	endoplasmic reticulum protein 44 [Source:HGNC Symbol;Acc:HGNC:18311]	9	0.0909090909091	ENSG00000023318	endoplasmic reticulum-Golgi intermediate compartment // extracellular organelle // protein folding // endoplasmic reticulum part // protein disulfide isomerase activity // calcium ion binding // cell redox homeostasis // cell surface // response to endoplasmic reticulum stress
