GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000160211	G6PD	glucose-6-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4057]	11	0.423076923077	ENSG00000160211	organic cyclic compound biosynthetic process // pyridine-containing compound metabolic process // nucleus // cofactor metabolic process // organophosphate biosynthetic process // extracellular organelle // cellular aldehyde metabolic process // carbohydrate derivative biosynthetic process // cytosol // carbohydrate biosynthetic process // peptide metabolic process
ENSG00000149925	ALDOA	aldolase A, fructose-bisphosphate [Source:HGNC Symbol;Acc:HGNC:414]	11	0.423076923077	ENSG00000149925	organic cyclic compound biosynthetic process // glycolytic process // nucleus // heterocycle biosynthetic process // organophosphate biosynthetic process // extracellular organelle // carbohydrate derivative biosynthetic process // cytosol // carbohydrate biosynthetic process // aromatic compound biosynthetic process // lyase activity
ENSG00000108439	PNPO	pyridoxamine 5'-phosphate oxidase [Source:HGNC Symbol;Acc:HGNC:30260]	10	0.384615384615	ENSG00000108439	organic cyclic compound biosynthetic process // pyridine-containing compound metabolic process // heterocycle biosynthetic process // water-soluble vitamin metabolic process // cofactor metabolic process // organophosphate biosynthetic process // extracellular organelle // cellular aldehyde metabolic process // cytosol // aromatic compound biosynthetic process
ENSG00000178802	MPI	mannose phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:7216]	9	0.346153846154	ENSG00000178802	organic cyclic compound biosynthetic process // intramolecular oxidoreductase activity, interconverting aldoses and ketoses // transition metal ion binding // heterocycle biosynthetic process // organophosphate biosynthetic process // extracellular organelle // carbohydrate derivative biosynthetic process // cytosol // aromatic compound biosynthetic process
ENSG00000111669	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	9	0.346153846154	ENSG00000111669	glycolytic process // intramolecular oxidoreductase activity, interconverting aldoses and ketoses // pyridine-containing compound metabolic process // nucleus // cofactor metabolic process // extracellular organelle // cellular aldehyde metabolic process // cytosol // carbohydrate biosynthetic process
ENSG00000166228	PCBD1	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha [Source:HGNC Symbol;Acc:HGNC:8646]	8	0.307692307692	ENSG00000166228	organic cyclic compound biosynthetic process // nucleus // heterocycle biosynthetic process // cofactor metabolic process // extracellular organelle // cytosol // aromatic compound biosynthetic process // lyase activity
ENSG00000109971	HSPA8	heat shock 70kDa protein 8 [Source:HGNC Symbol;Acc:HGNC:5241]	8	0.307692307692	ENSG00000109971	organic cyclic compound biosynthetic process // response to unfolded protein // nucleus // heterocycle biosynthetic process // chaperone-mediated protein folding // extracellular organelle // cytosol // aromatic compound biosynthetic process
ENSG00000099810	MTAP	methylthioadenosine phosphorylase [Source:HGNC Symbol;Acc:HGNC:7413]	8	0.307692307692	ENSG00000099810	polyamine metabolic process // organic cyclic compound biosynthetic process // nucleus // heterocycle biosynthetic process // extracellular organelle // carbohydrate derivative biosynthetic process // cytosol // aromatic compound biosynthetic process
ENSG00000011052	NME2	NME/NM23 nucleoside diphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:7850]	8	0.307692307692	ENSG00000011052	organic cyclic compound biosynthetic process // nucleus // heterocycle biosynthetic process // organophosphate biosynthetic process // extracellular organelle // carbohydrate derivative biosynthetic process // cytosol // aromatic compound biosynthetic process
ENSG00000120053	GOT1	glutamic-oxaloacetic transaminase 1, soluble [Source:HGNC Symbol;Acc:HGNC:4432]	7	0.269230769231	ENSG00000120053	polyol biosynthetic process // polyamine metabolic process // nucleus // extracellular organelle // cytosol // carbohydrate biosynthetic process // lyase activity
ENSG00000198242	RPL23A	ribosomal protein L23a [Source:HGNC Symbol;Acc:HGNC:10317]	6	0.230769230769	ENSG00000198242	organic cyclic compound biosynthetic process // nucleus // heterocycle biosynthetic process // extracellular organelle // cytosol // aromatic compound biosynthetic process
ENSG00000141279	NPEPPS	aminopeptidase puromycin sensitive [Source:HGNC Symbol;Acc:HGNC:7900]	6	0.230769230769	ENSG00000141279	aminopeptidase activity // transition metal ion binding // nucleus // metallopeptidase activity // extracellular organelle // cytosol
ENSG00000108039	XPNPEP1	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble [Source:HGNC Symbol;Acc:HGNC:12822]	6	0.230769230769	ENSG00000108039	aminopeptidase activity // transition metal ion binding // metallopeptidase activity // extracellular organelle // cytosol // peptide metabolic process
