GeneID	Symbol	Description	UID-str	parent GOID	GO Name	SystemCode	ME	NA
ENSG00000108039	XPNPEP1	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble [Source:HGNC Symbol;Acc:HGNC:12822]	ENSG00000108039	GO:0004177	aminopeptidase activity	XPNPEP1	greenyellow	En
ENSG00000141279	NPEPPS	aminopeptidase puromycin sensitive [Source:HGNC Symbol;Acc:HGNC:7900]	ENSG00000141279	GO:0004177	aminopeptidase activity	NPEPPS	greenyellow	En
ENSG00000124299	PEPD	peptidase D [Source:HGNC Symbol;Acc:HGNC:8840]	ENSG00000124299	GO:0004177	aminopeptidase activity	PEPD	greenyellow	En
ENSG00000105655	ISYNA1	inositol-3-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:29821]	ENSG00000105655	GO:0046173	polyol biosynthetic process	ISYNA1	greenyellow	En
ENSG00000120053	GOT1	glutamic-oxaloacetic transaminase 1, soluble [Source:HGNC Symbol;Acc:HGNC:4432]	ENSG00000120053	GO:0046173	polyol biosynthetic process	GOT1	greenyellow	En
ENSG00000133731	IMPA1	inositol(myo)-1(or 4)-monophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:6050]	ENSG00000133731	GO:0046173	polyol biosynthetic process	IMPA1	greenyellow	En
ENSG00000145293	ENOPH1	enolase-phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:24599]	ENSG00000145293	GO:0006595	polyamine metabolic process	ENOPH1	greenyellow	En
ENSG00000099810	MTAP	methylthioadenosine phosphorylase [Source:HGNC Symbol;Acc:HGNC:7413]	ENSG00000099810	GO:0006595	polyamine metabolic process	MTAP	greenyellow	En
ENSG00000120053	GOT1	glutamic-oxaloacetic transaminase 1, soluble [Source:HGNC Symbol;Acc:HGNC:4432]	ENSG00000120053	GO:0006595	polyamine metabolic process	GOT1	greenyellow	En
ENSG00000135932	CAB39	calcium binding protein 39 [Source:HGNC Symbol;Acc:HGNC:20292]	ENSG00000135932	GO:0008047	enzyme activator activity	CAB39	greenyellow	En
ENSG00000197045	GMFB	glia maturation factor, beta [Source:HGNC Symbol;Acc:HGNC:4373]	ENSG00000197045	GO:0008047	enzyme activator activity	GMFB	greenyellow	En
ENSG00000141522	ARHGDIA	Rho GDP dissociation inhibitor (GDI) alpha [Source:HGNC Symbol;Acc:HGNC:678]	ENSG00000141522	GO:0008047	enzyme activator activity	ARHGDIA	greenyellow	En
ENSG00000203879	GDI1	GDP dissociation inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:4226]	ENSG00000203879	GO:0008047	enzyme activator activity	GDI1	greenyellow	En
ENSG00000091844	RGS17	regulator of G-protein signaling 17 [Source:HGNC Symbol;Acc:HGNC:14088]	ENSG00000091844	GO:0008047	enzyme activator activity	RGS17	greenyellow	En
ENSG00000057608	GDI2	GDP dissociation inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:4227]	ENSG00000057608	GO:0008047	enzyme activator activity	GDI2	greenyellow	En
ENSG00000178802	MPI	mannose phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:7216]	ENSG00000178802	GO:1901362	organic cyclic compound biosynthetic process	MPI	greenyellow	En
ENSG00000160752	FDPS	farnesyl diphosphate synthase [Source:HGNC Symbol;Acc:HGNC:3631]	ENSG00000160752	GO:1901362	organic cyclic compound biosynthetic process	FDPS	greenyellow	En
ENSG00000196290	NIF3L1	NIF3 NGG1 interacting factor 3-like 1 (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:13390]	ENSG00000196290	GO:1901362	organic cyclic compound biosynthetic process	NIF3L1	greenyellow	En
ENSG00000109971	HSPA8	heat shock 70kDa protein 8 [Source:HGNC Symbol;Acc:HGNC:5241]	ENSG00000109971	GO:1901362	organic cyclic compound biosynthetic process	HSPA8	greenyellow	En
ENSG00000149925	ALDOA	aldolase A, fructose-bisphosphate [Source:HGNC Symbol;Acc:HGNC:414]	ENSG00000149925	GO:1901362	organic cyclic compound biosynthetic process	ALDOA	greenyellow	En
ENSG00000166228	PCBD1	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha [Source:HGNC Symbol;Acc:HGNC:8646]	ENSG00000166228	GO:1901362	organic cyclic compound biosynthetic process	PCBD1	greenyellow	En
ENSG00000160211	G6PD	glucose-6-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4057]	ENSG00000160211	GO:1901362	organic cyclic compound biosynthetic process	G6PD	greenyellow	En
ENSG00000175792	RUVBL1	RuvB-like AAA ATPase 1 [Source:HGNC Symbol;Acc:HGNC:10474]	ENSG00000175792	GO:1901362	organic cyclic compound biosynthetic process	RUVBL1	greenyellow	En
ENSG00000011052	NME2	NME/NM23 nucleoside diphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:7850]	ENSG00000011052	GO:1901362	organic cyclic compound biosynthetic process	NME1-NME2	greenyellow	En
ENSG00000185651	UBE2L3	ubiquitin-conjugating enzyme E2L 3 [Source:HGNC Symbol;Acc:HGNC:12488]	ENSG00000185651	GO:1901362	organic cyclic compound biosynthetic process	UBE2L3	greenyellow	En
ENSG00000198242	RPL23A	ribosomal protein L23a [Source:HGNC Symbol;Acc:HGNC:10317]	ENSG00000198242	GO:1901362	organic cyclic compound biosynthetic process	RPL23A	greenyellow	En
ENSG00000099810	MTAP	methylthioadenosine phosphorylase [Source:HGNC Symbol;Acc:HGNC:7413]	ENSG00000099810	GO:1901362	organic cyclic compound biosynthetic process	MTAP	greenyellow	En
ENSG00000108439	PNPO	pyridoxamine 5'-phosphate oxidase [Source:HGNC Symbol;Acc:HGNC:30260]	ENSG00000108439	GO:1901362	organic cyclic compound biosynthetic process	PNPO	greenyellow	En
ENSG00000111674	ENO2	enolase 2 (gamma, neuronal) [Source:HGNC Symbol;Acc:HGNC:3353]	ENSG00000111674	GO:0006096	glycolytic process	ENO2	greenyellow	En
ENSG00000111669	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	ENSG00000111669	GO:0006096	glycolytic process	TPI1	greenyellow	En
ENSG00000149925	ALDOA	aldolase A, fructose-bisphosphate [Source:HGNC Symbol;Acc:HGNC:414]	ENSG00000149925	GO:0006096	glycolytic process	ALDOA	greenyellow	En
ENSG00000102144	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	ENSG00000102144	GO:0006096	glycolytic process	PGK1	greenyellow	En
ENSG00000178802	MPI	mannose phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:7216]	ENSG00000178802	GO:0016861	intramolecular oxidoreductase activity, interconverting aldoses and ketoses	MPI	greenyellow	En
ENSG00000113552	GNPDA1	glucosamine-6-phosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:4417]	ENSG00000113552	GO:0016861	intramolecular oxidoreductase activity, interconverting aldoses and ketoses	GNPDA1	greenyellow	En
ENSG00000111669	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	ENSG00000111669	GO:0016861	intramolecular oxidoreductase activity, interconverting aldoses and ketoses	TPI1	greenyellow	En
ENSG00000170606	HSPA4	heat shock 70kDa protein 4 [Source:HGNC Symbol;Acc:HGNC:5237]	ENSG00000170606	GO:0006986	response to unfolded protein	HSPA4	greenyellow	En
ENSG00000120694	HSPH1	heat shock 105kDa/110kDa protein 1 [Source:HGNC Symbol;Acc:HGNC:16969]	ENSG00000120694	GO:0006986	response to unfolded protein	HSPH1	greenyellow	En
ENSG00000109971	HSPA8	heat shock 70kDa protein 8 [Source:HGNC Symbol;Acc:HGNC:5241]	ENSG00000109971	GO:0006986	response to unfolded protein	HSPA8	greenyellow	En
ENSG00000178802	MPI	mannose phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:7216]	ENSG00000178802	GO:0046914	transition metal ion binding	MPI	greenyellow	En
ENSG00000130988	RGN	regucalcin [Source:HGNC Symbol;Acc:HGNC:9989]	ENSG00000130988	GO:0046914	transition metal ion binding	RGN	greenyellow	En
ENSG00000108039	XPNPEP1	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble [Source:HGNC Symbol;Acc:HGNC:12822]	ENSG00000108039	GO:0046914	transition metal ion binding	XPNPEP1	greenyellow	En
ENSG00000189171	S100A13	S100 calcium binding protein A13 [Source:HGNC Symbol;Acc:HGNC:10490]	ENSG00000189171	GO:0046914	transition metal ion binding	S100A13	greenyellow	En
ENSG00000141279	NPEPPS	aminopeptidase puromycin sensitive [Source:HGNC Symbol;Acc:HGNC:7900]	ENSG00000141279	GO:0046914	transition metal ion binding	NPEPPS	greenyellow	En
ENSG00000106605	BLVRA	biliverdin reductase A [Source:HGNC Symbol;Acc:HGNC:1062]	ENSG00000106605	GO:0046914	transition metal ion binding	BLVRA	greenyellow	En
ENSG00000124767	GLO1	glyoxalase I [Source:HGNC Symbol;Acc:HGNC:4323]	ENSG00000124767	GO:0046914	transition metal ion binding	GLO1	greenyellow	En
ENSG00000124299	PEPD	peptidase D [Source:HGNC Symbol;Acc:HGNC:8840]	ENSG00000124299	GO:0046914	transition metal ion binding	PEPD	greenyellow	En
ENSG00000111669	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	ENSG00000111669	GO:0072524	pyridine-containing compound metabolic process	TPI1	greenyellow	En
ENSG00000014641	MDH1	malate dehydrogenase 1, NAD (soluble) [Source:HGNC Symbol;Acc:HGNC:6970]	ENSG00000014641	GO:0072524	pyridine-containing compound metabolic process	MDH1	greenyellow	En
