GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000100031	GGT1	gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250]	11	0.203703703704	ENSG00000100031	unsaturated fatty acid biosynthetic process // fatty acid derivative biosynthetic process // integral component of membrane // cellular modified amino acid catabolic process // long-chain fatty acid metabolic process // protein processing // sulfur amino acid metabolic process // sulfur compound catabolic process // cellular amide metabolic process // exopeptidase activity // leukotriene metabolic process
ENSG00000244734	HBB	hemoglobin, beta [Source:HGNC Symbol;Acc:HGNC:4827]	10	0.185185185185	ENSG00000244734	bicarbonate transport // oxygen transporter activity // regulation of blood pressure // hemoglobin complex // iron ion binding // oxygen transport // reactive oxygen species metabolic process // protein oligomerization // oxygen binding // tetrapyrrole binding
ENSG00000089041	P2RX7	purinergic receptor P2X, ligand-gated ion channel, 7 [Source:HGNC Symbol;Acc:HGNC:8537]	10	0.185185185185	ENSG00000089041	response to purine-containing compound // ligand-gated channel activity // cell volume homeostasis // integral component of membrane // protein processing // regulation of tissue remodeling // reactive oxygen species metabolic process // protein oligomerization // regulation of lipid transport // cytosolic calcium ion homeostasis
ENSG00000206172	HBA1	hemoglobin, alpha 1 [Source:HGNC Symbol;Acc:HGNC:4823]	9	0.166666666667	ENSG00000206172	bicarbonate transport // oxygen transporter activity // hemoglobin complex // iron ion binding // oxygen transport // reactive oxygen species metabolic process // protein oligomerization // oxygen binding // tetrapyrrole binding
ENSG00000165283	STOML2	stomatin (EPB72)-like 2 [Source:HGNC Symbol;Acc:HGNC:14559]	8	0.148148148148	ENSG00000165283	nucleoside triphosphate biosynthetic process // inorganic cation transmembrane transport // protein processing // mitochondrial fusion // mitochondrial transport // protein oligomerization // carbohydrate derivative biosynthetic process // organelle inner membrane
ENSG00000214253	FIS1	fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:21689]	7	0.12962962963	ENSG00000214253	establishment of protein localization to mitochondrion // integral component of membrane // mitochondrial membrane part // mitochondrial fusion // mitochondrial transport // protein oligomerization // cytosolic calcium ion homeostasis
ENSG00000186010	NDUFA13	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13 [Source:HGNC Symbol;Acc:HGNC:17194]	7	0.12962962963	ENSG00000186010	establishment of protein localization to mitochondrion // mitochondrial membrane organization // integral component of membrane // mitochondrial membrane part // reactive oxygen species metabolic process // mitochondrial transport // organelle inner membrane
ENSG00000164307	ERAP1	endoplasmic reticulum aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:18173]	7	0.12962962963	ENSG00000164307	cytokine receptor binding // regulation of blood pressure // metallopeptidase activity // integral component of membrane // growth factor receptor binding // positive regulation of angiogenesis // exopeptidase activity
ENSG00000111144	LTA4H	leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]	7	0.12962962963	ENSG00000111144	unsaturated fatty acid biosynthetic process // metallopeptidase activity // fatty acid derivative biosynthetic process // long-chain fatty acid metabolic process // cellular amide metabolic process // exopeptidase activity // leukotriene metabolic process
ENSG00000259207	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61) [Source:HGNC Symbol;Acc:HGNC:6156]	6	0.111111111111	ENSG00000259207	cytokine receptor binding // integral component of membrane // growth factor receptor binding // regulation of tissue remodeling // regulation of lipid transport // regulation of endothelial cell proliferation
