GeneID	Symbol	Description	UID-str	parent GOID	GO Name	SystemCode	ME	NA
ENSG00000106991	ENG	endoglin [Source:HGNC Symbol;Acc:HGNC:3349]	ENSG00000106991	GO:0005126	cytokine receptor binding	ENG	grey	En
ENSG00000115415	STAT1	signal transducer and activator of transcription 1, 91kDa [Source:HGNC Symbol;Acc:HGNC:11362]	ENSG00000115415	GO:0005126	cytokine receptor binding	STAT1	grey	En
ENSG00000164307	ERAP1	endoplasmic reticulum aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:18173]	ENSG00000164307	GO:0005126	cytokine receptor binding	ERAP1	grey	En
ENSG00000137575	SDCBP	syndecan binding protein (syntenin) [Source:HGNC Symbol;Acc:HGNC:10662]	ENSG00000137575	GO:0005126	cytokine receptor binding	SDCBP	grey	En
ENSG00000259207	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61) [Source:HGNC Symbol;Acc:HGNC:6156]	ENSG00000259207	GO:0005126	cytokine receptor binding	ITGB3	grey	En
ENSG00000206172	HBA1	hemoglobin, alpha 1 [Source:HGNC Symbol;Acc:HGNC:4823]	ENSG00000206172	GO:0015701	bicarbonate transport	HBA1	grey	En
ENSG00000244734	HBB	hemoglobin, beta [Source:HGNC Symbol;Acc:HGNC:4827]	ENSG00000244734	GO:0015701	bicarbonate transport	HBB	grey	En
ENSG00000133742	CA1	carbonic anhydrase I [Source:HGNC Symbol;Acc:HGNC:1368]	ENSG00000133742	GO:0015701	bicarbonate transport	CA1	grey	En
ENSG00000100031	GGT1	gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250]	ENSG00000100031	GO:0006636	unsaturated fatty acid biosynthetic process	GGT1	grey	En
ENSG00000111144	LTA4H	leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]	ENSG00000111144	GO:0006636	unsaturated fatty acid biosynthetic process	LTA4H	grey	En
ENSG00000148334	PTGES2	prostaglandin E synthase 2 [Source:HGNC Symbol;Acc:HGNC:17822]	ENSG00000148334	GO:0006636	unsaturated fatty acid biosynthetic process	PTGES2	grey	En
ENSG00000105409	ATP1A3	ATPase, Na+/K+ transporting, alpha 3 polypeptide [Source:HGNC Symbol;Acc:HGNC:801]	ENSG00000105409	GO:0009142	nucleoside triphosphate biosynthetic process	ATP1A3	grey	En
ENSG00000156110	ADK	adenosine kinase [Source:HGNC Symbol;Acc:HGNC:257]	ENSG00000156110	GO:0009142	nucleoside triphosphate biosynthetic process	ADK	grey	En
ENSG00000165283	STOML2	stomatin (EPB72)-like 2 [Source:HGNC Symbol;Acc:HGNC:14559]	ENSG00000165283	GO:0009142	nucleoside triphosphate biosynthetic process	STOML2	grey	En
ENSG00000162433	AK4	adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]	ENSG00000162433	GO:0009142	nucleoside triphosphate biosynthetic process	AK4	grey	En
ENSG00000214253	FIS1	fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:21689]	ENSG00000214253	GO:0072655	establishment of protein localization to mitochondrion	FIS1	grey	En
ENSG00000186010	NDUFA13	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13 [Source:HGNC Symbol;Acc:HGNC:17194]	ENSG00000186010	GO:0072655	establishment of protein localization to mitochondrion	NDUFA13	grey	En
ENSG00000100347	SAMM50	SAMM50 sorting and assembly machinery component [Source:HGNC Symbol;Acc:HGNC:24276]	ENSG00000100347	GO:0072655	establishment of protein localization to mitochondrion	SAMM50	grey	En
ENSG00000128654	MTX2	metaxin 2 [Source:HGNC Symbol;Acc:HGNC:7506]	ENSG00000128654	GO:0072655	establishment of protein localization to mitochondrion	MTX2	grey	En
ENSG00000206172	HBA1	hemoglobin, alpha 1 [Source:HGNC Symbol;Acc:HGNC:4823]	ENSG00000206172	GO:0005344	oxygen transporter activity	HBA1	grey	En
ENSG00000244734	HBB	hemoglobin, beta [Source:HGNC Symbol;Acc:HGNC:4827]	ENSG00000244734	GO:0005344	oxygen transporter activity	HBB	grey	En
ENSG00000223609	HBD	hemoglobin, delta [Source:HGNC Symbol;Acc:HGNC:4829]	ENSG00000223609	GO:0005344	oxygen transporter activity	HBD	grey	En
ENSG00000135318	NT5E	5'-nucleotidase, ecto (CD73) [Source:HGNC Symbol;Acc:HGNC:8021]	ENSG00000135318	GO:0072529	pyrimidine-containing compound catabolic process	NT5E	grey	En
ENSG00000119711	ALDH6A1	aldehyde dehydrogenase 6 family, member A1 [Source:HGNC Symbol;Acc:HGNC:7179]	ENSG00000119711	GO:0072529	pyrimidine-containing compound catabolic process	ALDH6A1	grey	En
ENSG00000113657	DPYSL3	dihydropyrimidinase-like 3 [Source:HGNC Symbol;Acc:HGNC:3015]	ENSG00000113657	GO:0072529	pyrimidine-containing compound catabolic process	DPYSL3	grey	En
ENSG00000153904	DDAH1	dimethylarginine dimethylaminohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:2715]	ENSG00000153904	GO:0008217	regulation of blood pressure	DDAH1	grey	En
ENSG00000244734	HBB	hemoglobin, beta [Source:HGNC Symbol;Acc:HGNC:4827]	ENSG00000244734	GO:0008217	regulation of blood pressure	HBB	grey	En
ENSG00000197894	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide [Source:HGNC Symbol;Acc:HGNC:253]	ENSG00000197894	GO:0008217	regulation of blood pressure	ADH5	grey	En
ENSG00000071242	RPS6KA2	ribosomal protein S6 kinase, 90kDa, polypeptide 2 [Source:HGNC Symbol;Acc:HGNC:10431]	ENSG00000071242	GO:0008217	regulation of blood pressure	RPS6KA2	grey	En
ENSG00000106991	ENG	endoglin [Source:HGNC Symbol;Acc:HGNC:3349]	ENSG00000106991	GO:0008217	regulation of blood pressure	ENG	grey	En
ENSG00000164307	ERAP1	endoplasmic reticulum aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:18173]	ENSG00000164307	GO:0008217	regulation of blood pressure	ERAP1	grey	En
ENSG00000119711	ALDH6A1	aldehyde dehydrogenase 6 family, member A1 [Source:HGNC Symbol;Acc:HGNC:7179]	ENSG00000119711	GO:0000062	fatty-acyl-CoA binding	ALDH6A1	grey	En
ENSG00000155368	DBI	diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein) [Source:HGNC Symbol;Acc:HGNC:2690]	ENSG00000155368	GO:0000062	fatty-acyl-CoA binding	DBI	grey	En
ENSG00000116171	SCP2	sterol carrier protein 2 [Source:HGNC Symbol;Acc:HGNC:10606]	ENSG00000116171	GO:0000062	fatty-acyl-CoA binding	SCP2	grey	En
ENSG00000115415	STAT1	signal transducer and activator of transcription 1, 91kDa [Source:HGNC Symbol;Acc:HGNC:11362]	ENSG00000115415	GO:0014074	response to purine-containing compound	STAT1	grey	En
ENSG00000167588	GPD1	glycerol-3-phosphate dehydrogenase 1 (soluble) [Source:HGNC Symbol;Acc:HGNC:4455]	ENSG00000167588	GO:0014074	response to purine-containing compound	GPD1	grey	En
ENSG00000157103	SLC6A1	solute carrier family 6 (neurotransmitter transporter), member 1 [Source:HGNC Symbol;Acc:HGNC:11042]	ENSG00000157103	GO:0014074	response to purine-containing compound	SLC6A1	grey	En
ENSG00000089041	P2RX7	purinergic receptor P2X, ligand-gated ion channel, 7 [Source:HGNC Symbol;Acc:HGNC:8537]	ENSG00000089041	GO:0014074	response to purine-containing compound	P2RX7	grey	En
ENSG00000123104	ITPR2	inositol 1,4,5-trisphosphate receptor, type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	ENSG00000123104	GO:0014074	response to purine-containing compound	ITPR2	grey	En
ENSG00000113140	SPARC	secreted protein, acidic, cysteine-rich (osteonectin) [Source:HGNC Symbol;Acc:HGNC:11219]	ENSG00000113140	GO:0014074	response to purine-containing compound	SPARC	grey	En
ENSG00000051620	HEBP2	heme binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15716]	ENSG00000051620	GO:0007006	mitochondrial membrane organization	HEBP2	grey	En
ENSG00000186010	NDUFA13	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13 [Source:HGNC Symbol;Acc:HGNC:17194]	ENSG00000186010	GO:0007006	mitochondrial membrane organization	NDUFA13	grey	En
ENSG00000108179	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]	ENSG00000108179	GO:0007006	mitochondrial membrane organization	PPIF	grey	En
ENSG00000106554	CHCHD3	coiled-coil-helix-coiled-coil-helix domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21906]	ENSG00000106554	GO:0007006	mitochondrial membrane organization	CHCHD3	grey	En
ENSG00000100347	SAMM50	SAMM50 sorting and assembly machinery component [Source:HGNC Symbol;Acc:HGNC:24276]	ENSG00000100347	GO:0007006	mitochondrial membrane organization	SAMM50	grey	En
ENSG00000084073	ZMPSTE24	zinc metallopeptidase STE24 [Source:HGNC Symbol;Acc:HGNC:12877]	ENSG00000084073	GO:0008237	metallopeptidase activity	ZMPSTE24	grey	En
ENSG00000109472	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	ENSG00000109472	GO:0008237	metallopeptidase activity	CPE	grey	En
ENSG00000133313	CNDP2	CNDP dipeptidase 2 (metallopeptidase M20 family) [Source:HGNC Symbol;Acc:HGNC:24437]	ENSG00000133313	GO:0008237	metallopeptidase activity	CNDP2	grey	En
ENSG00000123992	DNPEP	aspartyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:2981]	ENSG00000123992	GO:0008237	metallopeptidase activity	DNPEP	grey	En
ENSG00000164307	ERAP1	endoplasmic reticulum aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:18173]	ENSG00000164307	GO:0008237	metallopeptidase activity	ERAP1	grey	En
ENSG00000215440	NPEPL1	aminopeptidase-like 1 [Source:HGNC Symbol;Acc:HGNC:16244]	ENSG00000215440	GO:0008237	metallopeptidase activity	NPEPL1	grey	En
ENSG00000150656	CNDP1	carnosine dipeptidase 1 (metallopeptidase M20 family) [Source:HGNC Symbol;Acc:HGNC:20675]	ENSG00000150656	GO:0008237	metallopeptidase activity	CNDP1	grey	En
ENSG00000111144	LTA4H	leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]	ENSG00000111144	GO:0008237	metallopeptidase activity	LTA4H	grey	En
ENSG00000106991	ENG	endoglin [Source:HGNC Symbol;Acc:HGNC:3349]	ENSG00000106991	GO:0050431	transforming growth factor beta binding	ENG	grey	En
ENSG00000168140	VASN	vasorin [Source:HGNC Symbol;Acc:HGNC:18517]	ENSG00000168140	GO:0050431	transforming growth factor beta binding	VASN	grey	En
ENSG00000156535	CD109	CD109 molecule [Source:HGNC Symbol;Acc:HGNC:21685]	ENSG00000156535	GO:0050431	transforming growth factor beta binding	CD109	grey	En
ENSG00000109472	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	ENSG00000109472	GO:0007218	neuropeptide signaling pathway	CPE	grey	En
ENSG00000102109	PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor [Source:HGNC Symbol;Acc:HGNC:17301]	ENSG00000102109	GO:0007218	neuropeptide signaling pathway	PCSK1N	grey	En
ENSG00000184985	SORCS2	sortilin-related VPS10 domain containing receptor 2 [Source:HGNC Symbol;Acc:HGNC:16698]	ENSG00000184985	GO:0007218	neuropeptide signaling pathway	SORCS2	grey	En
ENSG00000143126	CELSR2	cadherin, EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]	ENSG00000143126	GO:0007218	neuropeptide signaling pathway	CELSR2	grey	En
ENSG00000089041	P2RX7	purinergic receptor P2X, ligand-gated ion channel, 7 [Source:HGNC Symbol;Acc:HGNC:8537]	ENSG00000089041	GO:0022834	ligand-gated channel activity	P2RX7	grey	En
ENSG00000123104	ITPR2	inositol 1,4,5-trisphosphate receptor, type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	ENSG00000123104	GO:0022834	ligand-gated channel activity	ITPR2	grey	En
ENSG00000120251	GRIA2	glutamate receptor, ionotropic, AMPA 2 [Source:HGNC Symbol;Acc:HGNC:4572]	ENSG00000120251	GO:0022834	ligand-gated channel activity	GRIA2	grey	En
ENSG00000100031	GGT1	gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250]	ENSG00000100031	GO:1901570	fatty acid derivative biosynthetic process	GGT1	grey	En
ENSG00000111144	LTA4H	leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]	ENSG00000111144	GO:1901570	fatty acid derivative biosynthetic process	LTA4H	grey	En
ENSG00000148334	PTGES2	prostaglandin E synthase 2 [Source:HGNC Symbol;Acc:HGNC:17822]	ENSG00000148334	GO:1901570	fatty acid derivative biosynthetic process	PTGES2	grey	En
ENSG00000089041	P2RX7	purinergic receptor P2X, ligand-gated ion channel, 7 [Source:HGNC Symbol;Acc:HGNC:8537]	ENSG00000089041	GO:0006884	cell volume homeostasis	P2RX7	grey	En
ENSG00000087274	ADD1	adducin 1 (alpha) [Source:HGNC Symbol;Acc:HGNC:243]	ENSG00000087274	GO:0006884	cell volume homeostasis	ADD1	grey	En
ENSG00000136802	LRRC8A	leucine rich repeat containing 8 family, member A [Source:HGNC Symbol;Acc:HGNC:19027]	ENSG00000136802	GO:0006884	cell volume homeostasis	LRRC8A	grey	En
ENSG00000171503	ETFDH	electron-transferring-flavoprotein dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3483]	ENSG00000171503	GO:0016021	integral component of membrane	ETFDH	grey	En
ENSG00000174684	B3GNT1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15685]	ENSG00000174684	GO:0016021	integral component of membrane	B4GAT1	grey	En
ENSG00000174469	CNTNAP2	contactin associated protein-like 2 [Source:HGNC Symbol;Acc:HGNC:13830]	ENSG00000174469	GO:0016021	integral component of membrane	CNTNAP2	grey	En
ENSG00000148482	SLC39A12	solute carrier family 39 (zinc transporter), member 12 [Source:HGNC Symbol;Acc:HGNC:20860]	ENSG00000148482	GO:0016021	integral component of membrane	SLC39A12	grey	En
ENSG00000150625	GPM6A	glycoprotein M6A [Source:HGNC Symbol;Acc:HGNC:4460]	ENSG00000150625	GO:0016021	integral component of membrane	GPM6A	grey	En
ENSG00000186010	NDUFA13	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13 [Source:HGNC Symbol;Acc:HGNC:17194]	ENSG00000186010	GO:0016021	integral component of membrane	NDUFA13	grey	En
ENSG00000164307	ERAP1	endoplasmic reticulum aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:18173]	ENSG00000164307	GO:0016021	integral component of membrane	ERAP1	grey	En
ENSG00000175161	CADM2	cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:29849]	ENSG00000175161	GO:0016021	integral component of membrane	CADM2	grey	En
ENSG00000157103	SLC6A1	solute carrier family 6 (neurotransmitter transporter), member 1 [Source:HGNC Symbol;Acc:HGNC:11042]	ENSG00000157103	GO:0016021	integral component of membrane	SLC6A1	grey	En
ENSG00000236279	CLEC2L	C-type lectin domain family 2, member L [Source:HGNC Symbol;Acc:HGNC:21969]	ENSG00000236279	GO:0016021	integral component of membrane	CLEC2L	grey	En
