GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000168036	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa [Source:HGNC Symbol;Acc:HGNC:2514]	22	0.349206349206	ENSG00000168036	synapse organization // cellular process involved in reproduction in multicellular organism // positive regulation of cell death // regulation of muscle cell differentiation // side of membrane // cell adhesion molecule binding // intracellular receptor signaling pathway // regulation of neural precursor cell proliferation // response to cadmium ion // biological adhesion // negative regulation of cell proliferation // negative regulation of cell development // system development // apical part of cell // cell development // positive regulation of cell differentiation // positive regulation of type I interferon production // plasma membrane // regulation of neuron death // locomotion // regulation of nervous system development // response to steroid hormone
ENSG00000130203	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	18	0.285714285714	ENSG00000130203	negative regulation of response to external stimulus // cholesterol transport // positive regulation of cell death // regulation of neuronal synaptic plasticity // glial cell differentiation // extracellular space // blood microparticle // extracellular region // negative regulation of cell proliferation // axon development // negative regulation of cell development // system development // positive regulation of cell differentiation // plasma membrane // regulation of neuron death // glycosaminoglycan binding // regulation of nervous system development // regulation of proteolysis
ENSG00000068903	SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	15	0.238095238095	ENSG00000068903	negative regulation of response to external stimulus // positive regulation of cell death // ensheathment of neurons // Schmidt-Lanterman incisure // myelin sheath // regulation of neural precursor cell proliferation // paranodal junction // negative regulation of cell proliferation // negative regulation of cell development // positive regulation of cell differentiation // plasma membrane // paranode region of axon // neural nucleus development // regulation of nervous system development // regulation of proteolysis
ENSG00000134121	CHL1	cell adhesion molecule L1-like [Source:HGNC Symbol;Acc:HGNC:1939]	14	0.222222222222	ENSG00000134121	locomotory behavior // integral component of membrane // exploration behavior // neuron projection guidance // protease binding // biological adhesion // axon development // neurological system process // apical part of cell // plasma membrane // regulation of neuron death // locomotion // adult behavior // proteinaceous extracellular matrix
ENSG00000116147	TNR	tenascin R [Source:HGNC Symbol;Acc:HGNC:11953]	14	0.222222222222	ENSG00000116147	synapse organization // negative regulation of response to external stimulus // negative regulation of cell growth // locomotory behavior // positive regulation of synaptic transmission // exploration behavior // neuron projection guidance // biological adhesion // extracellular region // neurological system process // negative regulation of cell development // locomotion // regulation of nervous system development // proteinaceous extracellular matrix
ENSG00000091129	NRCAM	neuronal cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:7994]	14	0.222222222222	ENSG00000091129	synapse organization // side of membrane // integral component of membrane // neuron projection guidance // biological adhesion // neurological system process // system development // neuron recognition // positive regulation of cell differentiation // axonogenesis // plasma membrane // locomotion // regulation of nervous system development // axon
ENSG00000166086	JAM3	junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532]	13	0.206349206349	ENSG00000166086	cellular process involved in reproduction in multicellular organism // ensheathment of neurons // Schmidt-Lanterman incisure // cell adhesion molecule binding // extracellular space // integral component of membrane // paranodal junction // biological adhesion // axon development // neurological system process // cell development // plasma membrane // locomotion
ENSG00000163531	NFASC	neurofascin [Source:HGNC Symbol;Acc:HGNC:29866]	12	0.190476190476	ENSG00000163531	synapse organization // ensheathment of neurons // integral component of membrane // neuron projection guidance // paranodal junction // biological adhesion // neurological system process // system development // plasma membrane // paranode region of axon // cellular component assembly involved in morphogenesis // axon
ENSG00000105695	MAG	myelin associated glycoprotein [Source:HGNC Symbol;Acc:HGNC:6783]	10	0.15873015873	ENSG00000105695	Schmidt-Lanterman incisure // myelin sheath // integral component of membrane // biological adhesion // negative regulation of cell development // plasma membrane // paranode region of axon // locomotion // neural nucleus development // regulation of nervous system development
ENSG00000010278	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	10	0.15873015873	ENSG00000010278	cellular process involved in reproduction in multicellular organism // side of membrane // cell adhesion molecule binding // extracellular space // integral component of membrane // biological adhesion // negative regulation of cell proliferation // cell development // plasma membrane // cellular component assembly involved in morphogenesis
