GeneID	Symbol	Description	UID-str	parent GOID	GO Name	SystemCode	ME	NA
ENSG00000123560	PLP1	proteolipid protein 1 [Source:HGNC Symbol;Acc:HGNC:9086]	ENSG00000123560	GO:0006633	fatty acid biosynthetic process	PLP1	magenta	En
ENSG00000107317	PTGDS	prostaglandin D2 synthase 21kDa (brain) [Source:HGNC Symbol;Acc:HGNC:9592]	ENSG00000107317	GO:0006633	fatty acid biosynthetic process	PTGDS	magenta	En
ENSG00000176393	RNPEP	arginyl aminopeptidase (aminopeptidase B) [Source:HGNC Symbol;Acc:HGNC:10078]	ENSG00000176393	GO:0006633	fatty acid biosynthetic process	RNPEP	magenta	En
ENSG00000120885	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	ENSG00000120885	GO:0006959	humoral immune response	CLU	magenta	En
ENSG00000211895	IGHA1	immunoglobulin heavy constant alpha 1 [Source:HGNC Symbol;Acc:HGNC:5478]	ENSG00000211895	GO:0006959	humoral immune response	IGHA1	magenta	En
ENSG00000000971	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	ENSG00000000971	GO:0006959	humoral immune response	CFH	magenta	En
ENSG00000116147	TNR	tenascin R [Source:HGNC Symbol;Acc:HGNC:11953]	ENSG00000116147	GO:0050808	synapse organization	TNR	magenta	En
ENSG00000168036	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa [Source:HGNC Symbol;Acc:HGNC:2514]	ENSG00000168036	GO:0050808	synapse organization	CTNNB1	magenta	En
ENSG00000021645	NRXN3	neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]	ENSG00000021645	GO:0050808	synapse organization	NRXN3	magenta	En
ENSG00000091129	NRCAM	neuronal cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:7994]	ENSG00000091129	GO:0050808	synapse organization	NRCAM	magenta	En
ENSG00000163531	NFASC	neurofascin [Source:HGNC Symbol;Acc:HGNC:29866]	ENSG00000163531	GO:0050808	synapse organization	NFASC	magenta	En
ENSG00000116147	TNR	tenascin R [Source:HGNC Symbol;Acc:HGNC:11953]	ENSG00000116147	GO:0032102	negative regulation of response to external stimulus	TNR	magenta	En
ENSG00000066032	CTNNA2	catenin (cadherin-associated protein), alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510]	ENSG00000066032	GO:0032102	negative regulation of response to external stimulus	CTNNA2	magenta	En
ENSG00000068903	SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	ENSG00000068903	GO:0032102	negative regulation of response to external stimulus	SIRT2	magenta	En
ENSG00000130203	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	ENSG00000130203	GO:0032102	negative regulation of response to external stimulus	APOE	magenta	En
ENSG00000122756	CNTFR	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:HGNC:2170]	ENSG00000122756	GO:0019221	cytokine-mediated signaling pathway	CNTFR	magenta	En
ENSG00000058404	CAMK2B	calcium/calmodulin-dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	ENSG00000058404	GO:0019221	cytokine-mediated signaling pathway	CAMK2B	magenta	En
ENSG00000143947	RPS27A	ribosomal protein S27a [Source:HGNC Symbol;Acc:HGNC:10417]	ENSG00000143947	GO:0019221	cytokine-mediated signaling pathway	RPS27A	magenta	En
ENSG00000149294	NCAM1	neural cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:7656]	ENSG00000149294	GO:0019221	cytokine-mediated signaling pathway	NCAM1	magenta	En
ENSG00000109846	CRYAB	crystallin, alpha B [Source:HGNC Symbol;Acc:HGNC:2389]	ENSG00000109846	GO:0030308	negative regulation of cell growth	CRYAB	magenta	En
ENSG00000116147	TNR	tenascin R [Source:HGNC Symbol;Acc:HGNC:11953]	ENSG00000116147	GO:0030308	negative regulation of cell growth	TNR	magenta	En
ENSG00000164530	PI16	peptidase inhibitor 16 [Source:HGNC Symbol;Acc:HGNC:21245]	ENSG00000164530	GO:0030308	negative regulation of cell growth	PI16	magenta	En
ENSG00000116147	TNR	tenascin R [Source:HGNC Symbol;Acc:HGNC:11953]	ENSG00000116147	GO:0007626	locomotory behavior	TNR	magenta	En
ENSG00000134121	CHL1	cell adhesion molecule L1-like [Source:HGNC Symbol;Acc:HGNC:1939]	ENSG00000134121	GO:0007626	locomotory behavior	CHL1	magenta	En
ENSG00000185565	LSAMP	limbic system-associated membrane protein [Source:HGNC Symbol;Acc:HGNC:6705]	ENSG00000185565	GO:0007626	locomotory behavior	LSAMP	magenta	En
ENSG00000172260	NEGR1	neuronal growth regulator 1 [Source:HGNC Symbol;Acc:HGNC:17302]	ENSG00000172260	GO:0007626	locomotory behavior	NEGR1	magenta	En
ENSG00000173786	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]	ENSG00000173786	GO:0007626	locomotory behavior	CNP	magenta	En
ENSG00000008277	ADAM22	ADAM metallopeptidase domain 22 [Source:HGNC Symbol;Acc:HGNC:201]	ENSG00000008277	GO:0007626	locomotory behavior	ADAM22	magenta	En
ENSG00000010278	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	ENSG00000010278	GO:0022412	cellular process involved in reproduction in multicellular organism	CD9	magenta	En
ENSG00000168036	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa [Source:HGNC Symbol;Acc:HGNC:2514]	ENSG00000168036	GO:0022412	cellular process involved in reproduction in multicellular organism	CTNNB1	magenta	En
ENSG00000166086	JAM3	junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532]	ENSG00000166086	GO:0022412	cellular process involved in reproduction in multicellular organism	JAM3	magenta	En
ENSG00000066032	CTNNA2	catenin (cadherin-associated protein), alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510]	ENSG00000066032	GO:0050807	regulation of synapse organization	CTNNA2	magenta	En
ENSG00000021645	NRXN3	neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]	ENSG00000021645	GO:0050807	regulation of synapse organization	NRXN3	magenta	En
ENSG00000058404	CAMK2B	calcium/calmodulin-dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	ENSG00000058404	GO:0050807	regulation of synapse organization	CAMK2B	magenta	En
ENSG00000116147	TNR	tenascin R [Source:HGNC Symbol;Acc:HGNC:11953]	ENSG00000116147	GO:0050806	positive regulation of synaptic transmission	TNR	magenta	En
ENSG00000135821	GLUL	glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]	ENSG00000135821	GO:0050806	positive regulation of synaptic transmission	GLUL	magenta	En
ENSG00000196569	LAMA2	laminin, alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	ENSG00000196569	GO:0050806	positive regulation of synaptic transmission	LAMA2	magenta	En
ENSG00000104267	CA2	carbonic anhydrase II [Source:HGNC Symbol;Acc:HGNC:1373]	ENSG00000104267	GO:0050806	positive regulation of synaptic transmission	CA2	magenta	En
ENSG00000120885	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	ENSG00000120885	GO:0030301	cholesterol transport	CLU	magenta	En
ENSG00000130203	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	ENSG00000130203	GO:0030301	cholesterol transport	APOE	magenta	En
ENSG00000119655	NPC2	Niemann-Pick disease, type C2 [Source:HGNC Symbol;Acc:HGNC:14537]	ENSG00000119655	GO:0030301	cholesterol transport	NPC2	magenta	En
ENSG00000168036	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa [Source:HGNC Symbol;Acc:HGNC:2514]	ENSG00000168036	GO:0010942	positive regulation of cell death	CTNNB1	magenta	En
ENSG00000130203	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	ENSG00000130203	GO:0010942	positive regulation of cell death	APOE	magenta	En
