GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000114573	ATP6V1A	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A [Source:HGNC Symbol;Acc:HGNC:851]	15	0.416666666667	ENSG00000114573	hydrogen-exporting ATPase activity // microvillus // phagosome maturation // purine nucleoside monophosphate metabolic process // ATP hydrolysis coupled proton transport // ATP binding // insulin receptor signaling pathway // cellular iron ion homeostasis // apical plasma membrane // interaction with host // ATPase activity, coupled to transmembrane movement of ions, rotational mechanism // trivalent inorganic cation transport // proton-transporting two-sector ATPase complex, catalytic domain // lysosomal membrane // proton-transporting two-sector ATPase complex
ENSG00000147416	ATP6V1B2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2 [Source:HGNC Symbol;Acc:HGNC:854]	14	0.388888888889	ENSG00000147416	hydrogen-exporting ATPase activity // pigment granule // microvillus // phagosome maturation // purine nucleoside monophosphate metabolic process // ATP hydrolysis coupled proton transport // ATP binding // insulin receptor signaling pathway // cellular iron ion homeostasis // interaction with host // ATPase activity, coupled to transmembrane movement of ions, rotational mechanism // trivalent inorganic cation transport // proton-transporting two-sector ATPase complex, catalytic domain // lysosomal membrane
ENSG00000159720	ATP6V0D1	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1 [Source:HGNC Symbol;Acc:HGNC:13724]	13	0.361111111111	ENSG00000159720	synaptic vesicle // hydrogen-exporting ATPase activity // phagosome maturation // endocytic vesicle membrane // ATP hydrolysis coupled proton transport // centrosome // insulin receptor signaling pathway // cellular iron ion homeostasis // apical plasma membrane // interaction with host // trivalent inorganic cation transport // lysosomal membrane // proton-transporting two-sector ATPase complex
ENSG00000131100	ATP6V1E1	ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1 [Source:HGNC Symbol;Acc:HGNC:857]	13	0.361111111111	ENSG00000131100	hydrogen-exporting ATPase activity // microvillus // phagosome maturation // ATP hydrolysis coupled proton transport // insulin receptor signaling pathway // cellular iron ion homeostasis // apical plasma membrane // interaction with host // ATPase activity, coupled to transmembrane movement of ions, rotational mechanism // trivalent inorganic cation transport // proton-transporting two-sector ATPase complex, catalytic domain // lysosomal membrane // proton-transporting two-sector ATPase complex
ENSG00000155097	ATP6V1C1	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]	11	0.305555555556	ENSG00000155097	hydrogen-exporting ATPase activity // phagosome maturation // ATP hydrolysis coupled proton transport // insulin receptor signaling pathway // cellular iron ion homeostasis // interaction with host // ATPase activity, coupled to transmembrane movement of ions, rotational mechanism // trivalent inorganic cation transport // proton-transporting two-sector ATPase complex, catalytic domain // lysosomal membrane // proton-transporting two-sector ATPase complex
ENSG00000128524	ATP6V1F	ATPase, H+ transporting, lysosomal 14kDa, V1 subunit F [Source:HGNC Symbol;Acc:HGNC:16832]	11	0.305555555556	ENSG00000128524	hydrogen-exporting ATPase activity // phagosome maturation // purine nucleoside monophosphate metabolic process // ATP hydrolysis coupled proton transport // insulin receptor signaling pathway // cellular iron ion homeostasis // interaction with host // ATPase activity, coupled to transmembrane movement of ions, rotational mechanism // trivalent inorganic cation transport // proton-transporting two-sector ATPase complex, catalytic domain // proton-transporting two-sector ATPase complex
ENSG00000120438	TCP1	t-complex 1 [Source:HGNC Symbol;Acc:HGNC:11655]	11	0.305555555556	ENSG00000120438	chromatin // chaperonin-containing T-complex // 'de novo' posttranslational protein folding // centrosome // unfolded protein binding // ATP binding // poly(A) RNA binding // binding of sperm to zona pellucida // zona pellucida receptor complex // nuclear part // acrosomal vesicle
ENSG00000047249	ATP6V1H	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H [Source:HGNC Symbol;Acc:HGNC:18303]	11	0.305555555556	ENSG00000047249	hydrogen-exporting ATPase activity // phagosome maturation // purine nucleoside monophosphate metabolic process // ATP hydrolysis coupled proton transport // insulin receptor signaling pathway // cellular iron ion homeostasis // interaction with host // ATPase activity, coupled to transmembrane movement of ions, rotational mechanism // trivalent inorganic cation transport // proton-transporting two-sector ATPase complex, catalytic domain // lysosomal membrane
ENSG00000115484	CCT4	chaperonin containing TCP1, subunit 4 (delta) [Source:HGNC Symbol;Acc:HGNC:1617]	9	0.25	ENSG00000115484	pigment granule // chaperonin-containing T-complex // 'de novo' posttranslational protein folding // centrosome // unfolded protein binding // ATP binding // poly(A) RNA binding // binding of sperm to zona pellucida // zona pellucida receptor complex
ENSG00000146731	CCT6A	chaperonin containing TCP1, subunit 6A (zeta 1) [Source:HGNC Symbol;Acc:HGNC:1620]	8	0.222222222222	ENSG00000146731	chaperonin-containing T-complex // 'de novo' posttranslational protein folding // unfolded protein binding // ATP binding // poly(A) RNA binding // binding of sperm to zona pellucida // zona pellucida receptor complex // acrosomal vesicle
