GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000044574	HSPA5	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) [Source:HGNC Symbol;Acc:HGNC:5238]	17	0.207317073171	ENSG00000044574	endoplasmic reticulum // endoplasmic reticulum lumen // endoplasmic reticulum membrane // unfolded protein binding // intrinsic component of endoplasmic reticulum membrane // ER-nucleus signaling pathway // response to toxic substance // mitochondrion // response to endoplasmic reticulum stress // calcium ion binding // cell surface // endoplasmic reticulum-Golgi intermediate compartment // pigment granule // maintenance of protein location // cellular response to starvation // ER-associated ubiquitin-dependent protein catabolic process // integral component of membrane
ENSG00000179218	CALR	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]	16	0.19512195122	ENSG00000179218	protein folding // endoplasmic reticulum // endoplasmic reticulum lumen // unfolded protein binding // intrinsic component of endoplasmic reticulum membrane // ER-nucleus signaling pathway // protein maturation // response to endoplasmic reticulum stress // calcium ion binding // cell surface // post-translational protein modification // sequestering of metal ion // extracellular matrix // Golgi apparatus // protein N-linked glycosylation via asparagine // integral component of membrane
ENSG00000105974	CAV1	caveolin 1, caveolae protein, 22kDa [Source:HGNC Symbol;Acc:HGNC:1527]	16	0.19512195122	ENSG00000105974	endoplasmic reticulum // negative regulation of binding // Golgi membrane // intrinsic component of plasma membrane // lipid particle // membrane raft organization // positive regulation of calcium ion transport into cytosol // regulation of fatty acid metabolic process // reactive oxygen species metabolic process // maintenance of protein location // positive regulation of blood circulation // cellular response to starvation // cholesterol homeostasis // Golgi apparatus // receptor-mediated endocytosis // integral component of membrane
ENSG00000170348	TMED10	transmembrane emp24-like trafficking protein 10 (yeast) [Source:HGNC Symbol;Acc:HGNC:16998]	12	0.146341463415	ENSG00000170348	endoplasmic reticulum // endoplasmic reticulum-Golgi intermediate compartment membrane // endoplasmic reticulum membrane // Golgi membrane // endoplasmic reticulum-Golgi intermediate compartment // trans-Golgi network transport vesicle // pigment granule // membrane budding // Golgi apparatus // Golgi organization // retrograde vesicle-mediated transport, Golgi to ER // integral component of membrane
ENSG00000127022	CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	12	0.146341463415	ENSG00000127022	protein folding // endoplasmic reticulum // endoplasmic reticulum lumen // endoplasmic reticulum membrane // unfolded protein binding // intrinsic component of endoplasmic reticulum membrane // calcium ion binding // pigment granule // post-translational protein modification // protein N-linked glycosylation via asparagine // receptor-mediated endocytosis // integral component of membrane
ENSG00000074695	LMAN1	lectin, mannose-binding, 1 [Source:HGNC Symbol;Acc:HGNC:6631]	12	0.146341463415	ENSG00000074695	protein folding // endoplasmic reticulum-Golgi intermediate compartment membrane // endoplasmic reticulum membrane // unfolded protein binding // Golgi membrane // endoplasmic reticulum-Golgi intermediate compartment // post-translational protein modification // Golgi apparatus // Golgi organization // protein N-linked glycosylation via asparagine // mannose binding // integral component of membrane
ENSG00000167004	PDIA3	protein disulfide isomerase family A, member 3 [Source:HGNC Symbol;Acc:HGNC:4606]	11	0.134146341463	ENSG00000167004	protein folding // endoplasmic reticulum // endoplasmic reticulum lumen // response to endoplasmic reticulum stress // cell surface // protein disulfide isomerase activity // pigment granule // post-translational protein modification // maintenance of protein location // cell redox homeostasis // protein N-linked glycosylation via asparagine
ENSG00000166598	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	11	0.134146341463	ENSG00000166598	protein folding // endoplasmic reticulum // endoplasmic reticulum lumen // endoplasmic reticulum membrane // unfolded protein binding // ER-nucleus signaling pathway // response to endoplasmic reticulum stress // calcium ion binding // pigment granule // sequestering of metal ion // ER-associated ubiquitin-dependent protein catabolic process
ENSG00000143870	PDIA6	protein disulfide isomerase family A, member 6 [Source:HGNC Symbol;Acc:HGNC:30168]	11	0.134146341463	ENSG00000143870	protein folding // endoplasmic reticulum // apoptotic cell clearance // endoplasmic reticulum lumen // endoplasmic reticulum membrane // ER-nucleus signaling pathway // response to endoplasmic reticulum stress // protein disulfide isomerase activity // endoplasmic reticulum-Golgi intermediate compartment // pigment granule // cell redox homeostasis
ENSG00000137642	SORL1	sortilin-related receptor, L(DLR class) A repeats containing [Source:HGNC Symbol;Acc:HGNC:11185]	11	0.134146341463	ENSG00000137642	endoplasmic reticulum // negative regulation of binding // lysosomal transport // intrinsic component of plasma membrane // protein maturation // maintenance of protein location // Golgi apparatus // steroid metabolic process // transmembrane signaling receptor activity // receptor-mediated endocytosis // integral component of membrane
ENSG00000023228	NDUFS1	NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase) [Source:HGNC Symbol;Acc:HGNC:7707]	11	0.134146341463	ENSG00000023228	mitochondrion // mitochondrial membrane part // electron transport chain // mitochondrial intermembrane space // reactive oxygen species metabolic process // NADH dehydrogenase activity // 4 iron, 4 sulfur cluster binding // 2 iron, 2 sulfur cluster binding // organelle inner membrane // oxidoreductase complex // cellular respiration
ENSG00000185624	P4HB	prolyl 4-hydroxylase, beta polypeptide [Source:HGNC Symbol;Acc:HGNC:8548]	10	0.121951219512	ENSG00000185624	protein folding // endoplasmic reticulum // endoplasmic reticulum lumen // response to endoplasmic reticulum stress // calcium ion binding // protein disulfide isomerase activity // endoplasmic reticulum-Golgi intermediate compartment // pigment granule // cell redox homeostasis // oxidoreductase complex
ENSG00000169223	LMAN2	lectin, mannose-binding 2 [Source:HGNC Symbol;Acc:HGNC:16986]	10	0.121951219512	ENSG00000169223	endoplasmic reticulum-Golgi intermediate compartment membrane // endoplasmic reticulum membrane // Golgi membrane // intrinsic component of plasma membrane // cell surface // endoplasmic reticulum-Golgi intermediate compartment // Golgi apparatus // retrograde vesicle-mediated transport, Golgi to ER // mannose binding // integral component of membrane
ENSG00000010256	UQCRC1	ubiquinol-cytochrome c reductase core protein I [Source:HGNC Symbol;Acc:HGNC:12585]	10	0.121951219512	ENSG00000010256	respiratory chain // mitochondrion // mitochondrial membrane part // electron transport chain // transmembrane transport // organelle inner membrane // oxidoreductase complex // cytochrome complex // cellular respiration // oxidative phosphorylation
ENSG00000184840	TMED9	transmembrane emp24 protein transport domain containing 9 [Source:HGNC Symbol;Acc:HGNC:24878]	9	0.109756097561	ENSG00000184840	endoplasmic reticulum // endoplasmic reticulum-Golgi intermediate compartment membrane // endoplasmic reticulum membrane // Golgi membrane // endoplasmic reticulum-Golgi intermediate compartment // trans-Golgi network transport vesicle // Golgi apparatus // Golgi organization // integral component of membrane
ENSG00000169021	UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:12587]	9	0.109756097561	ENSG00000169021	response to toxic substance // mitochondrion // mitochondrial membrane part // electron transport chain // transmembrane transport // 2 iron, 2 sulfur cluster binding // organelle inner membrane // oxidoreductase complex // cytochrome complex
ENSG00000163956	LRPAP1	low density lipoprotein receptor-related protein associated protein 1 [Source:HGNC Symbol;Acc:HGNC:6701]	9	0.109756097561	ENSG00000163956	cargo receptor activity // protein folding // endoplasmic reticulum // negative regulation of binding // endoplasmic reticulum lumen // unfolded protein binding // cell surface // receptor-mediated endocytosis // integral component of membrane
ENSG00000156467	UQCRB	ubiquinol-cytochrome c reductase binding protein [Source:HGNC Symbol;Acc:HGNC:12582]	9	0.109756097561	ENSG00000156467	respiratory chain // mitochondrion // mitochondrial membrane part // electron transport chain // organelle inner membrane // oxidoreductase complex // cytochrome complex // cellular respiration // oxidative phosphorylation
ENSG00000155660	PDIA4	protein disulfide isomerase family A, member 4 [Source:HGNC Symbol;Acc:HGNC:30167]	9	0.109756097561	ENSG00000155660	protein folding // endoplasmic reticulum // endoplasmic reticulum lumen // response to endoplasmic reticulum stress // calcium ion binding // cell surface // protein disulfide isomerase activity // pigment granule // cell redox homeostasis
ENSG00000141458	NPC1	Niemann-Pick disease, type C1 [Source:HGNC Symbol;Acc:HGNC:7897]	9	0.109756097561	ENSG00000141458	endoplasmic reticulum // lysosomal transport // intrinsic component of plasma membrane // membrane raft organization // cholesterol homeostasis // Golgi apparatus // steroid metabolic process // transmembrane signaling receptor activity // integral component of membrane
ENSG00000117118	SDHB	succinate dehydrogenase complex, subunit B, iron sulfur (Ip) [Source:HGNC Symbol;Acc:HGNC:10681]	9	0.109756097561	ENSG00000117118	tricarboxylic acid cycle // mitochondrion // mitochondrial membrane part // electron transport chain // 4 iron, 4 sulfur cluster binding // 2 iron, 2 sulfur cluster binding // organelle inner membrane // oxidoreductase complex // cellular respiration
ENSG00000023318	ERP44	endoplasmic reticulum protein 44 [Source:HGNC Symbol;Acc:HGNC:18311]	9	0.109756097561	ENSG00000023318	protein folding // endoplasmic reticulum lumen // endoplasmic reticulum membrane // response to endoplasmic reticulum stress // calcium ion binding // cell surface // protein disulfide isomerase activity // endoplasmic reticulum-Golgi intermediate compartment // cell redox homeostasis
ENSG00000198363	ASPH	aspartate beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:757]	8	0.0975609756098	ENSG00000198363	endoplasmic reticulum // endoplasmic reticulum lumen // endoplasmic reticulum membrane // intrinsic component of endoplasmic reticulum membrane // calcium ion binding // positive regulation of calcium ion transport into cytosol // transmembrane transport // integral component of membrane
ENSG00000182718	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	8	0.0975609756098	ENSG00000182718	lipid particle // membrane raft organization // calcium ion binding // cell surface // pigment granule // membrane budding // extracellular matrix // S100 protein binding
ENSG00000174437	ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 [Source:HGNC Symbol;Acc:HGNC:812]	8	0.0975609756098	ENSG00000174437	endoplasmic reticulum // endoplasmic reticulum membrane // intrinsic component of plasma membrane // ER-nucleus signaling pathway // positive regulation of blood circulation // transmembrane transport // S100 protein binding // integral component of membrane
ENSG00000146648	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	8	0.0975609756098	ENSG00000146648	endoplasmic reticulum membrane // Golgi membrane // cell surface // reactive oxygen species metabolic process // positive regulation of blood circulation // sensory organ development // transmembrane signaling receptor activity // integral component of membrane
