GeneID	Symbol	Description	UID-str	parent GOID	GO Name	SystemCode	ME	NA
ENSG00000163956	LRPAP1	low density lipoprotein receptor-related protein associated protein 1 [Source:HGNC Symbol;Acc:HGNC:6701]	ENSG00000163956	GO:0038024	cargo receptor activity	LRPAP1	purple	En
ENSG00000177575	CD163	CD163 molecule [Source:HGNC Symbol;Acc:HGNC:1631]	ENSG00000177575	GO:0038024	cargo receptor activity	CD163	purple	En
ENSG00000010327	STAB1	stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]	ENSG00000010327	GO:0038024	cargo receptor activity	STAB1	purple	En
ENSG00000143870	PDIA6	protein disulfide isomerase family A, member 6 [Source:HGNC Symbol;Acc:HGNC:30168]	ENSG00000143870	GO:0006457	protein folding	PDIA6	purple	En
ENSG00000143256	PFDN2	prefoldin subunit 2 [Source:HGNC Symbol;Acc:HGNC:8867]	ENSG00000143256	GO:0006457	protein folding	PFDN2	purple	En
ENSG00000185624	P4HB	prolyl 4-hydroxylase, beta polypeptide [Source:HGNC Symbol;Acc:HGNC:8548]	ENSG00000185624	GO:0006457	protein folding	P4HB	purple	En
ENSG00000166598	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	ENSG00000166598	GO:0006457	protein folding	HSP90B1	purple	En
ENSG00000239264	TXNDC5	thioredoxin domain containing 5 (endoplasmic reticulum) [Source:HGNC Symbol;Acc:HGNC:21073]	ENSG00000239264	GO:0006457	protein folding	TXNDC5	purple	En
ENSG00000023318	ERP44	endoplasmic reticulum protein 44 [Source:HGNC Symbol;Acc:HGNC:18311]	ENSG00000023318	GO:0006457	protein folding	ERP44	purple	En
ENSG00000136731	UGGT1	UDP-glucose glycoprotein glucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15663]	ENSG00000136731	GO:0006457	protein folding	UGGT1	purple	En
ENSG00000089597	GANAB	glucosidase, alpha; neutral AB [Source:HGNC Symbol;Acc:HGNC:4138]	ENSG00000089597	GO:0006457	protein folding	GANAB	purple	En
