GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000179091	CYC1	cytochrome c-1 [Source:HGNC Symbol;Acc:HGNC:2579]	5	0.5	ENSG00000179091	Oxidative phosphorylation:KEGG-hsa00190 // Cardiac muscle contraction:KEGG-hsa04260 // Huntington's disease:KEGG-hsa05016 // Alzheimer's disease:KEGG-hsa05010 // Parkinson's disease:KEGG-hsa05012
ENSG00000178741	COX5A	cytochrome c oxidase subunit Va [Source:HGNC Symbol;Acc:HGNC:2267]	5	0.5	ENSG00000178741	Oxidative phosphorylation:KEGG-hsa00190 // Cardiac muscle contraction:KEGG-hsa04260 // Huntington's disease:KEGG-hsa05016 // Alzheimer's disease:KEGG-hsa05010 // Parkinson's disease:KEGG-hsa05012
ENSG00000169021	UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:12587]	5	0.5	ENSG00000169021	Oxidative phosphorylation:KEGG-hsa00190 // Cardiac muscle contraction:KEGG-hsa04260 // Huntington's disease:KEGG-hsa05016 // Alzheimer's disease:KEGG-hsa05010 // Parkinson's disease:KEGG-hsa05012
ENSG00000156467	UQCRB	ubiquinol-cytochrome c reductase binding protein [Source:HGNC Symbol;Acc:HGNC:12582]	5	0.5	ENSG00000156467	Oxidative phosphorylation:KEGG-hsa00190 // Cardiac muscle contraction:KEGG-hsa04260 // Huntington's disease:KEGG-hsa05016 // Alzheimer's disease:KEGG-hsa05010 // Parkinson's disease:KEGG-hsa05012
ENSG00000140740	UQCRC2	ubiquinol-cytochrome c reductase core protein II [Source:HGNC Symbol;Acc:HGNC:12586]	5	0.5	ENSG00000140740	Oxidative phosphorylation:KEGG-hsa00190 // Cardiac muscle contraction:KEGG-hsa04260 // Huntington's disease:KEGG-hsa05016 // Alzheimer's disease:KEGG-hsa05010 // Parkinson's disease:KEGG-hsa05012
ENSG00000135940	COX5B	cytochrome c oxidase subunit Vb [Source:HGNC Symbol;Acc:HGNC:2269]	5	0.5	ENSG00000135940	Oxidative phosphorylation:KEGG-hsa00190 // Cardiac muscle contraction:KEGG-hsa04260 // Huntington's disease:KEGG-hsa05016 // Alzheimer's disease:KEGG-hsa05010 // Parkinson's disease:KEGG-hsa05012
ENSG00000131143	COX4I1	cytochrome c oxidase subunit IV isoform 1 [Source:HGNC Symbol;Acc:HGNC:2265]	5	0.5	ENSG00000131143	Oxidative phosphorylation:KEGG-hsa00190 // Cardiac muscle contraction:KEGG-hsa04260 // Huntington's disease:KEGG-hsa05016 // Alzheimer's disease:KEGG-hsa05010 // Parkinson's disease:KEGG-hsa05012
ENSG00000126267	COX6B1	cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous) [Source:HGNC Symbol;Acc:HGNC:2280]	5	0.5	ENSG00000126267	Oxidative phosphorylation:KEGG-hsa00190 // Cardiac muscle contraction:KEGG-hsa04260 // Huntington's disease:KEGG-hsa05016 // Alzheimer's disease:KEGG-hsa05010 // Parkinson's disease:KEGG-hsa05012
ENSG00000117118	SDHB	succinate dehydrogenase complex, subunit B, iron sulfur (Ip) [Source:HGNC Symbol;Acc:HGNC:10681]	5	0.5	ENSG00000117118	Citrate cycle (TCA cycle):KEGG-hsa00020 // Oxidative phosphorylation:KEGG-hsa00190 // Huntington's disease:KEGG-hsa05016 // Alzheimer's disease:KEGG-hsa05010 // Parkinson's disease:KEGG-hsa05012
ENSG00000073578	SDHA	succinate dehydrogenase complex, subunit A, flavoprotein (Fp) [Source:HGNC Symbol;Acc:HGNC:10680]	5	0.5	ENSG00000073578	Citrate cycle (TCA cycle):KEGG-hsa00020 // Oxidative phosphorylation:KEGG-hsa00190 // Huntington's disease:KEGG-hsa05016 // Alzheimer's disease:KEGG-hsa05010 // Parkinson's disease:KEGG-hsa05012
ENSG00000010256	UQCRC1	ubiquinol-cytochrome c reductase core protein I [Source:HGNC Symbol;Acc:HGNC:12585]	5	0.5	ENSG00000010256	Oxidative phosphorylation:KEGG-hsa00190 // Cardiac muscle contraction:KEGG-hsa04260 // Huntington's disease:KEGG-hsa05016 // Alzheimer's disease:KEGG-hsa05010 // Parkinson's disease:KEGG-hsa05012
ENSG00000213619	NDUFS3	NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase) [Source:HGNC Symbol;Acc:HGNC:7710]	4	0.4	ENSG00000213619	Oxidative phosphorylation:KEGG-hsa00190 // Huntington's disease:KEGG-hsa05016 // Alzheimer's disease:KEGG-hsa05010 // Parkinson's disease:KEGG-hsa05012
ENSG00000178127	NDUFV2	NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa [Source:HGNC Symbol;Acc:HGNC:7717]	4	0.4	ENSG00000178127	Oxidative phosphorylation:KEGG-hsa00190 // Huntington's disease:KEGG-hsa05016 // Alzheimer's disease:KEGG-hsa05010 // Parkinson's disease:KEGG-hsa05012
ENSG00000168653	NDUFS5	NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase) [Source:HGNC Symbol;Acc:HGNC:7712]	4	0.4	ENSG00000168653	Oxidative phosphorylation:KEGG-hsa00190 // Huntington's disease:KEGG-hsa05016 // Alzheimer's disease:KEGG-hsa05010 // Parkinson's disease:KEGG-hsa05012
