GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000233276	GPX1	glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]	14	0.424242424242	ENSG00000233276	developmental growth // response to toxic substance // oxoacid metabolic process // ameboidal-type cell migration // angiogenesis // sulfur compound binding // regeneration // epithelial cell development // amide binding // response to nutrient // tissue development // modified amino acid binding // sulfur compound metabolic process // response to steroid hormone
ENSG00000188157	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	14	0.424242424242	ENSG00000188157	regulation of developmental growth // oxoacid metabolic process // retinoid metabolic process // sulfur compound binding // extracellular space // extracellular structure organization // metal ion binding // detection of visible light // extracellular matrix // basal lamina // laminin binding // basement membrane // extracellular region // sulfur compound metabolic process
ENSG00000142798	HSPG2	heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]	14	0.424242424242	ENSG00000142798	oxoacid metabolic process // angiogenesis // retinoid metabolic process // extracellular space // extracellular structure organization // metal ion binding // embryonic morphogenesis // detection of visible light // tissue development // extracellular matrix // basal lamina // basement membrane // extracellular region // sulfur compound metabolic process
ENSG00000130702	LAMA5	laminin, alpha 5 [Source:HGNC Symbol;Acc:HGNC:6485]	13	0.393939393939	ENSG00000130702	substrate adhesion-dependent cell spreading // cellular component assembly involved in morphogenesis // ameboidal-type cell migration // angiogenesis // extracellular space // extracellular structure organization // embryonic morphogenesis // integrin binding // laminin complex // extracellular matrix // basal lamina // basement membrane // extracellular region
ENSG00000172037	LAMB2	laminin, beta 2 (laminin S) [Source:HGNC Symbol;Acc:HGNC:6487]	10	0.30303030303	ENSG00000172037	developmental growth // extracellular structure organization // epithelial cell development // integrin binding // tissue development // laminin complex // extracellular matrix // basal lamina // basement membrane // extracellular region
ENSG00000135862	LAMC1	laminin, gamma 1 (formerly LAMB2) [Source:HGNC Symbol;Acc:HGNC:6492]	10	0.30303030303	ENSG00000135862	extracellular matrix structural constituent // substrate adhesion-dependent cell spreading // extracellular space // extracellular structure organization // tissue development // laminin complex // extracellular matrix // basal lamina // basement membrane // extracellular region
ENSG00000166333	ILK	integrin-linked kinase [Source:HGNC Symbol;Acc:HGNC:6040]	8	0.242424242424	ENSG00000166333	regulation of developmental growth // substrate adhesion-dependent cell spreading // cellular component assembly involved in morphogenesis // cell-matrix adhesion // ameboidal-type cell migration // extracellular structure organization // integrin binding // contractile fiber part
ENSG00000116962	NID1	nidogen 1 [Source:HGNC Symbol;Acc:HGNC:7821]	8	0.242424242424	ENSG00000116962	cell-matrix adhesion // extracellular structure organization // metal ion binding // extracellular matrix // basal lamina // laminin binding // basement membrane // extracellular region
ENSG00000162551	ALPL	alkaline phosphatase, liver/bone/kidney [Source:HGNC Symbol;Acc:HGNC:438]	7	0.212121212121	ENSG00000162551	response to toxic substance // extracellular space // metal ion binding // response to nutrient // tissue development // extracellular matrix // response to steroid hormone
ENSG00000112769	LAMA4	laminin, alpha 4 [Source:HGNC Symbol;Acc:HGNC:6484]	7	0.212121212121	ENSG00000112769	extracellular matrix structural constituent // extracellular structure organization // laminin complex // extracellular matrix // basal lamina // basement membrane // extracellular region
ENSG00000175198	PCCA	propionyl CoA carboxylase, alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:8653]	6	0.181818181818	ENSG00000175198	oxoacid metabolic process // sulfur compound binding // metal ion binding // amide binding // extracellular region // sulfur compound metabolic process
ENSG00000140545	MFGE8	milk fat globule-EGF factor 8 protein [Source:HGNC Symbol;Acc:HGNC:7036]	6	0.181818181818	ENSG00000140545	angiogenesis // extracellular space // integrin binding // extracellular matrix // modified amino acid binding // extracellular region
ENSG00000134202	GSTM3	glutathione S-transferase mu 3 (brain) [Source:HGNC Symbol;Acc:HGNC:4635]	6	0.181818181818	ENSG00000134202	sulfur compound binding // epithelial cell development // amide binding // modified amino acid binding // sulfur compound metabolic process // response to steroid hormone
ENSG00000087303	NID2	nidogen 2 (osteonidogen) [Source:HGNC Symbol;Acc:HGNC:13389]	6	0.181818181818	ENSG00000087303	cell-matrix adhesion // extracellular structure organization // metal ion binding // extracellular matrix // basement membrane // extracellular region
ENSG00000171766	GATM	glycine amidinotransferase (L-arginine:glycine amidinotransferase) [Source:HGNC Symbol;Acc:HGNC:4175]	5	0.151515151515	ENSG00000171766	developmental growth // oxoacid metabolic process // regeneration // response to nutrient // tissue development
