GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000106588	PSMA2	proteasome (prosome, macropain) subunit, alpha type, 2 [Source:HGNC Symbol;Acc:HGNC:9531]	22	0.511627906977	ENSG00000106588	proteasome core complex, alpha-subunit complex // regulation of cellular ketone metabolic process // cell cycle G1/S phase transition // positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition // protein polyubiquitination // proteasome core complex // nucleus // antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent // threonine-type peptidase activity // negative regulation of apoptotic process // mitotic cell cycle // anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process // programmed cell death // DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest // proteasome complex // gene expression // mRNA metabolic process // cytoplasmic mRNA processing body // negative regulation of ligase activity // extracellular region part // nuclear part // viral process
ENSG00000100902	PSMA6	proteasome (prosome, macropain) subunit, alpha type, 6 [Source:HGNC Symbol;Acc:HGNC:9535]	22	0.511627906977	ENSG00000100902	proteasome core complex, alpha-subunit complex // regulation of cellular ketone metabolic process // cell cycle G1/S phase transition // positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition // protein polyubiquitination // proteasome core complex // nucleus // antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent // regulation of inflammatory response // threonine-type peptidase activity // negative regulation of apoptotic process // mitotic cell cycle // anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process // programmed cell death // DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest // gene expression // mRNA metabolic process // cytoplasmic mRNA processing body // negative regulation of ligase activity // extracellular region part // nuclear part // viral process
ENSG00000143106	PSMA5	proteasome (prosome, macropain) subunit, alpha type, 5 [Source:HGNC Symbol;Acc:HGNC:9534]	21	0.488372093023	ENSG00000143106	proteasome core complex, alpha-subunit complex // regulation of cellular ketone metabolic process // cell cycle G1/S phase transition // positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition // protein polyubiquitination // proteasome core complex // nucleus // antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent // threonine-type peptidase activity // negative regulation of apoptotic process // mitotic cell cycle // anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process // programmed cell death // DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest // proteasome complex // gene expression // mRNA metabolic process // negative regulation of ligase activity // extracellular region part // nuclear part // viral process
ENSG00000129084	PSMA1	proteasome (prosome, macropain) subunit, alpha type, 1 [Source:HGNC Symbol;Acc:HGNC:9530]	21	0.488372093023	ENSG00000129084	proteasome core complex, alpha-subunit complex // regulation of cellular ketone metabolic process // cell cycle G1/S phase transition // positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition // protein polyubiquitination // proteasome core complex // nucleus // antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent // threonine-type peptidase activity // negative regulation of apoptotic process // mitotic cell cycle // anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process // programmed cell death // DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest // proteasome complex // gene expression // mRNA metabolic process // negative regulation of ligase activity // extracellular region part // nuclear part // viral process
ENSG00000101182	PSMA7	proteasome (prosome, macropain) subunit, alpha type, 7 [Source:HGNC Symbol;Acc:HGNC:9536]	21	0.488372093023	ENSG00000101182	proteasome core complex, alpha-subunit complex // regulation of cellular ketone metabolic process // cell cycle G1/S phase transition // positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition // protein polyubiquitination // proteasome core complex // nucleus // antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent // threonine-type peptidase activity // negative regulation of apoptotic process // mitotic cell cycle // anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process // programmed cell death // DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest // proteasome complex // gene expression // mRNA metabolic process // negative regulation of ligase activity // extracellular region part // nuclear part // viral process
ENSG00000100567	PSMA3	proteasome (prosome, macropain) subunit, alpha type, 3 [Source:HGNC Symbol;Acc:HGNC:9532]	21	0.488372093023	ENSG00000100567	proteasome core complex, alpha-subunit complex // regulation of cellular ketone metabolic process // cell cycle G1/S phase transition // positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition // protein polyubiquitination // proteasome core complex // nucleus // antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent // threonine-type peptidase activity // negative regulation of apoptotic process // mitotic cell cycle // anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process // programmed cell death // DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest // proteasome complex // gene expression // mRNA metabolic process // negative regulation of ligase activity // extracellular region part // nuclear part // viral process
ENSG00000136930	PSMB7	proteasome (prosome, macropain) subunit, beta type, 7 [Source:HGNC Symbol;Acc:HGNC:9544]	20	0.46511627907	ENSG00000136930	regulation of cellular ketone metabolic process // cell cycle G1/S phase transition // positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition // protein polyubiquitination // proteasome core complex // nucleus // antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent // threonine-type peptidase activity // negative regulation of apoptotic process // mitotic cell cycle // anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process // programmed cell death // DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest // proteasome complex // gene expression // mRNA metabolic process // negative regulation of ligase activity // extracellular region part // nuclear part // viral process
ENSG00000126067	PSMB2	proteasome (prosome, macropain) subunit, beta type, 2 [Source:HGNC Symbol;Acc:HGNC:9539]	20	0.46511627907	ENSG00000126067	regulation of cellular ketone metabolic process // cell cycle G1/S phase transition // positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition // protein polyubiquitination // proteasome core complex // nucleus // antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent // threonine-type peptidase activity // negative regulation of apoptotic process // mitotic cell cycle // anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process // programmed cell death // DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest // proteasome complex // gene expression // mRNA metabolic process // negative regulation of ligase activity // extracellular region part // nuclear part // viral process
ENSG00000008018	PSMB1	proteasome (prosome, macropain) subunit, beta type, 1 [Source:HGNC Symbol;Acc:HGNC:9537]	20	0.46511627907	ENSG00000008018	regulation of cellular ketone metabolic process // cell cycle G1/S phase transition // positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition // protein polyubiquitination // proteasome core complex // nucleus // antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent // threonine-type peptidase activity // negative regulation of apoptotic process // mitotic cell cycle // anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process // programmed cell death // DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest // proteasome complex // gene expression // mRNA metabolic process // negative regulation of ligase activity // extracellular region part // nuclear part // viral process
ENSG00000165916	PSMC3	proteasome (prosome, macropain) 26S subunit, ATPase, 3 [Source:HGNC Symbol;Acc:HGNC:9549]	19	0.441860465116	ENSG00000165916	regulation of cellular ketone metabolic process // cell cycle G1/S phase transition // positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition // protein polyubiquitination // nucleus // transcription corepressor activity // antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent // negative regulation of apoptotic process // mitotic cell cycle // anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process // programmed cell death // DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest // proteasome complex // gene expression // mRNA metabolic process // cytoplasmic mRNA processing body // negative regulation of ligase activity // nuclear part // viral process
