GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000150093	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12) [Source:HGNC Symbol;Acc:HGNC:6153]	25	0.210084033613	ENSG00000150093	extracellular matrix binding // protein complex involved in cell adhesion // cell-substrate junction // cell-substrate adhesion // response to activity // regulation of anoikis // cellular response to extracellular stimulus // extracellular organelle // external side of plasma membrane // integrin-mediated signaling pathway // response to alcohol // cation binding // cell surface // actinin binding // response to hormone // response to drug // leukocyte migration // receptor activity // extracellular structure organization // cell adhesion mediated by integrin // response to nutrient // single-organism developmental process // reproductive process // leukocyte cell-cell adhesion // membrane raft
ENSG00000090339	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	23	0.193277310924	ENSG00000090339	cellular response to extracellular stimulus // extracellular organelle // response to monosaccharide // external side of plasma membrane // lymphocyte activation involved in immune response // inflammatory response // response to alcohol // intrinsic component of membrane // membrane to membrane docking // cell surface // response to acid chemical // response to hormone // response to drug // cellular response to lipopolysaccharide // leukocyte migration // receptor activity // extracellular space // carbohydrate homeostasis // extracellular structure organization // cell adhesion mediated by integrin // single-organism developmental process // reproductive process // leukocyte cell-cell adhesion
ENSG00000164171	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor) [Source:HGNC Symbol;Acc:HGNC:6137]	21	0.176470588235	ENSG00000164171	extracellular matrix binding // protein complex involved in cell adhesion // cell-substrate junction // cell-substrate adhesion // response to activity // positive regulation of translation // response to monosaccharide // external side of plasma membrane // integrin-mediated signaling pathway // intrinsic component of membrane // cation binding // cell surface // response to acid chemical // response to hormone // response to drug // outer membrane // receptor activity // extracellular structure organization // cell adhesion mediated by integrin // response to nutrient // single-organism developmental process
ENSG00000173402	DAG1	dystroglycan 1 (dystrophin-associated glycoprotein 1) [Source:HGNC Symbol;Acc:HGNC:2666]	16	0.134453781513	ENSG00000173402	extracellular matrix binding // cell-substrate junction // modification of morphology or physiology of other organism involved in symbiotic interaction // cell-substrate adhesion // extracellular organelle // regulation of protein kinase B signaling // intrinsic component of membrane // cation binding // actinin binding // response to hormone // outer membrane // receptor activity // extracellular space // extracellular structure organization // single-organism developmental process // membrane raft
ENSG00000138448	ITGAV	integrin, alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	16	0.134453781513	ENSG00000138448	protein complex involved in cell adhesion // modification of morphology or physiology of other organism involved in symbiotic interaction // cell-substrate adhesion // extracellular organelle // opsonin binding // external side of plasma membrane // transforming growth factor beta binding // integrin-mediated signaling pathway // intrinsic component of membrane // cation binding // cell surface // transmembrane transport // leukocyte migration // receptor activity // extracellular structure organization // single-organism developmental process
ENSG00000135046	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	16	0.134453781513	ENSG00000135046	extracellular organelle // mitochondrial part // inflammatory response // phospholipase inhibitor activity // response to alcohol // cation binding // single-stranded DNA binding // cell surface // response to hormone // response to drug // extracellular space // regulation of fatty acid metabolic process // single-organism developmental process // reproductive process // leukocyte cell-cell adhesion // lysosome
ENSG00000108821	COL1A1	collagen, type I, alpha 1 [Source:HGNC Symbol;Acc:HGNC:2197]	16	0.134453781513	ENSG00000108821	skeletal system development // response to cAMP // cellular response to extracellular stimulus // protein heterotrimerization // response to increased oxygen levels // response to alcohol // cation binding // collagen trimer // response to acid chemical // response to hormone // response to drug // leukocyte migration // extracellular space // extracellular structure organization // response to nutrient // single-organism developmental process
ENSG00000152661	GJA1	gap junction protein, alpha 1, 43kDa [Source:HGNC Symbol;Acc:HGNC:4274]	15	0.126050420168	ENSG00000152661	extracellular organelle // response to monosaccharide // mitochondrial part // nucleoside transport // inflammatory response // intrinsic component of membrane // wide pore channel activity // transmembrane transport // response to hormone // outer membrane // purine nucleotide transport // single-organism developmental process // regulation of endothelial cell proliferation // membrane raft // lysosome
ENSG00000005884	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:HGNC:6139]	15	0.126050420168	ENSG00000005884	extracellular matrix binding // protein complex involved in cell adhesion // cell-substrate adhesion // extracellular organelle // external side of plasma membrane // integrin-mediated signaling pathway // intrinsic component of membrane // cation binding // cell surface // response to hormone // response to drug // leukocyte migration // extracellular structure organization // single-organism developmental process // reproductive process
ENSG00000198793	MTOR	mechanistic target of rapamycin (serine/threonine kinase) [Source:HGNC Symbol;Acc:HGNC:3942]	14	0.117647058824	ENSG00000198793	cellular response to extracellular stimulus // positive regulation of translation // mitochondrial part // regulation of protein kinase B signaling // vacuolar membrane // response to acid chemical // response to hormone // outer membrane // regulation of fatty acid metabolic process // response to nutrient // single-organism developmental process // reproductive process // regulation of endothelial cell proliferation // lysosome
ENSG00000130707	ASS1	argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758]	14	0.117647058824	ENSG00000130707	response to cAMP // extracellular organelle // mitochondrial part // inflammatory response // response to alcohol // response to acid chemical // response to hormone // response to drug // outer membrane // cellular response to lipopolysaccharide // carboxylic acid metabolic process // response to nutrient // single-organism developmental process // lysosome
ENSG00000171503	ETFDH	electron-transferring-flavoprotein dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3483]	13	0.109243697479	ENSG00000171503	lipid oxidation // electron transport chain // organic acid catabolic process // mitochondrial part // intrinsic component of membrane // oxidoreductase activity // cation binding // mitochondrion // electron carrier activity // quinone binding // carboxylic acid metabolic process // coenzyme binding // metal cluster binding
