GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000143149	ALDH9A1	aldehyde dehydrogenase 9 family, member A1 [Source:HGNC Symbol;Acc:HGNC:412]	6	0.206896551724	ENSG00000143149	Fatty acid metabolism:KEGG-hsa00071 // Arginine and proline metabolism:KEGG-hsa00330 // Tryptophan metabolism:KEGG-hsa00380 // Valine, leucine and isoleucine degradation:KEGG-hsa00280 // Propanoate metabolism:KEGG-hsa00640 // Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000127884	ECHS1	enoyl CoA hydratase, short chain, 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:3151]	6	0.206896551724	ENSG00000127884	Fatty acid metabolism:KEGG-hsa00071 // Butanoate metabolism:KEGG-hsa00650 // Fatty acid elongation in mitochondria:KEGG-hsa00062 // Tryptophan metabolism:KEGG-hsa00380 // Valine, leucine and isoleucine degradation:KEGG-hsa00280 // Propanoate metabolism:KEGG-hsa00640
ENSG00000084754	HADHA	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit [Source:HGNC Symbol;Acc:HGNC:4801]	6	0.206896551724	ENSG00000084754	Fatty acid metabolism:KEGG-hsa00071 // Butanoate metabolism:KEGG-hsa00650 // Fatty acid elongation in mitochondria:KEGG-hsa00062 // Tryptophan metabolism:KEGG-hsa00380 // Valine, leucine and isoleucine degradation:KEGG-hsa00280 // Propanoate metabolism:KEGG-hsa00640
ENSG00000204287	HLA-DRA	major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]	5	0.172413793103	ENSG00000204287	Graft-versus-host disease:KEGG-hsa05332 // Autoimmune thyroid disease:KEGG-hsa05320 // Type I diabetes mellitus:KEGG-hsa04940 // Hematopoietic cell lineage:KEGG-hsa04640 // Allograft rejection:KEGG-hsa05330
ENSG00000196126	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	5	0.172413793103	ENSG00000196126	Graft-versus-host disease:KEGG-hsa05332 // Autoimmune thyroid disease:KEGG-hsa05320 // Type I diabetes mellitus:KEGG-hsa04940 // Hematopoietic cell lineage:KEGG-hsa04640 // Allograft rejection:KEGG-hsa05330
ENSG00000138796	HADH	hydroxyacyl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4799]	5	0.172413793103	ENSG00000138796	Fatty acid metabolism:KEGG-hsa00071 // Butanoate metabolism:KEGG-hsa00650 // Fatty acid elongation in mitochondria:KEGG-hsa00062 // Tryptophan metabolism:KEGG-hsa00380 // Valine, leucine and isoleucine degradation:KEGG-hsa00280
ENSG00000117118	SDHB	succinate dehydrogenase complex, subunit B, iron sulfur (Ip) [Source:HGNC Symbol;Acc:HGNC:10681]	5	0.172413793103	ENSG00000117118	Citrate cycle (TCA cycle):KEGG-hsa00020 // Huntington's disease:KEGG-hsa05016 // Parkinson's disease:KEGG-hsa05012 // Oxidative phosphorylation:KEGG-hsa00190 // Alzheimer's disease:KEGG-hsa05010
ENSG00000075239	ACAT1	acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]	5	0.172413793103	ENSG00000075239	Fatty acid metabolism:KEGG-hsa00071 // Butanoate metabolism:KEGG-hsa00650 // Tryptophan metabolism:KEGG-hsa00380 // Valine, leucine and isoleucine degradation:KEGG-hsa00280 // Propanoate metabolism:KEGG-hsa00640
ENSG00000073578	SDHA	succinate dehydrogenase complex, subunit A, flavoprotein (Fp) [Source:HGNC Symbol;Acc:HGNC:10680]	5	0.172413793103	ENSG00000073578	Citrate cycle (TCA cycle):KEGG-hsa00020 // Huntington's disease:KEGG-hsa05016 // Parkinson's disease:KEGG-hsa05012 // Oxidative phosphorylation:KEGG-hsa00190 // Alzheimer's disease:KEGG-hsa05010
ENSG00000234745	HLA-B	major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]	4	0.137931034483	ENSG00000234745	Graft-versus-host disease:KEGG-hsa05332 // Autoimmune thyroid disease:KEGG-hsa05320 // Type I diabetes mellitus:KEGG-hsa04940 // Allograft rejection:KEGG-hsa05330
