GeneID	Symbol	Description	UID-str	parent GOID	GO Name	SystemCode	ME	NA
ENSG00000060971	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	ENSG00000060971	Fatty acid metabolism:KEGG-hsa00071	Fatty acid metabolism:KEGG-hsa00071		turquoise	En
ENSG00000197894	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide [Source:HGNC Symbol;Acc:HGNC:253]	ENSG00000197894	Fatty acid metabolism:KEGG-hsa00071	Fatty acid metabolism:KEGG-hsa00071		turquoise	En
ENSG00000075239	ACAT1	acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]	ENSG00000075239	Fatty acid metabolism:KEGG-hsa00071	Fatty acid metabolism:KEGG-hsa00071		turquoise	En
ENSG00000084754	HADHA	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit [Source:HGNC Symbol;Acc:HGNC:4801]	ENSG00000084754	Fatty acid metabolism:KEGG-hsa00071	Fatty acid metabolism:KEGG-hsa00071		turquoise	En
ENSG00000138029	HADHB	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit [Source:HGNC Symbol;Acc:HGNC:4803]	ENSG00000138029	Fatty acid metabolism:KEGG-hsa00071	Fatty acid metabolism:KEGG-hsa00071		turquoise	En
ENSG00000138796	HADH	hydroxyacyl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4799]	ENSG00000138796	Fatty acid metabolism:KEGG-hsa00071	Fatty acid metabolism:KEGG-hsa00071		turquoise	En
ENSG00000117054	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain [Source:HGNC Symbol;Acc:HGNC:89]	ENSG00000117054	Fatty acid metabolism:KEGG-hsa00071	Fatty acid metabolism:KEGG-hsa00071		turquoise	En
ENSG00000103740	ACSBG1	acyl-CoA synthetase bubblegum family member 1 [Source:HGNC Symbol;Acc:HGNC:29567]	ENSG00000103740	Fatty acid metabolism:KEGG-hsa00071	Fatty acid metabolism:KEGG-hsa00071		turquoise	En
ENSG00000127884	ECHS1	enoyl CoA hydratase, short chain, 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:3151]	ENSG00000127884	Fatty acid metabolism:KEGG-hsa00071	Fatty acid metabolism:KEGG-hsa00071		turquoise	En
ENSG00000167315	ACAA2	acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]	ENSG00000167315	Fatty acid metabolism:KEGG-hsa00071	Fatty acid metabolism:KEGG-hsa00071		turquoise	En
ENSG00000143149	ALDH9A1	aldehyde dehydrogenase 9 family, member A1 [Source:HGNC Symbol;Acc:HGNC:412]	ENSG00000143149	Fatty acid metabolism:KEGG-hsa00071	Fatty acid metabolism:KEGG-hsa00071		turquoise	En
ENSG00000161533	ACOX1	acyl-CoA oxidase 1, palmitoyl [Source:HGNC Symbol;Acc:HGNC:119]	ENSG00000161533	Fatty acid metabolism:KEGG-hsa00071	Fatty acid metabolism:KEGG-hsa00071		turquoise	En
ENSG00000072778	ACADVL	acyl-CoA dehydrogenase, very long chain [Source:HGNC Symbol;Acc:HGNC:92]	ENSG00000072778	Fatty acid metabolism:KEGG-hsa00071	Fatty acid metabolism:KEGG-hsa00071		turquoise	En
ENSG00000173599	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	ENSG00000173599	Citrate cycle (TCA cycle):KEGG-hsa00020	Citrate cycle (TCA cycle):KEGG-hsa00020		turquoise	En
ENSG00000062485	CS	citrate synthase [Source:HGNC Symbol;Acc:HGNC:2422]	ENSG00000062485	Citrate cycle (TCA cycle):KEGG-hsa00020	Citrate cycle (TCA cycle):KEGG-hsa00020		turquoise	En
ENSG00000182054	IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial [Source:HGNC Symbol;Acc:HGNC:5383]	ENSG00000182054	Citrate cycle (TCA cycle):KEGG-hsa00020	Citrate cycle (TCA cycle):KEGG-hsa00020		turquoise	En
ENSG00000105953	OGDH	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide) [Source:HGNC Symbol;Acc:HGNC:8124]	ENSG00000105953	Citrate cycle (TCA cycle):KEGG-hsa00020	Citrate cycle (TCA cycle):KEGG-hsa00020		turquoise	En
ENSG00000014641	MDH1	malate dehydrogenase 1, NAD (soluble) [Source:HGNC Symbol;Acc:HGNC:6970]	ENSG00000014641	Citrate cycle (TCA cycle):KEGG-hsa00020	Citrate cycle (TCA cycle):KEGG-hsa00020		turquoise	En
ENSG00000091140	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	ENSG00000091140	Citrate cycle (TCA cycle):KEGG-hsa00020	Citrate cycle (TCA cycle):KEGG-hsa00020		turquoise	En
ENSG00000138413	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble [Source:HGNC Symbol;Acc:HGNC:5382]	ENSG00000138413	Citrate cycle (TCA cycle):KEGG-hsa00020	Citrate cycle (TCA cycle):KEGG-hsa00020		turquoise	En
ENSG00000117118	SDHB	succinate dehydrogenase complex, subunit B, iron sulfur (Ip) [Source:HGNC Symbol;Acc:HGNC:10681]	ENSG00000117118	Citrate cycle (TCA cycle):KEGG-hsa00020	Citrate cycle (TCA cycle):KEGG-hsa00020		turquoise	En
ENSG00000119689	DLST	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex) [Source:HGNC Symbol;Acc:HGNC:2911]	ENSG00000119689	Citrate cycle (TCA cycle):KEGG-hsa00020	Citrate cycle (TCA cycle):KEGG-hsa00020		turquoise	En
ENSG00000073578	SDHA	succinate dehydrogenase complex, subunit A, flavoprotein (Fp) [Source:HGNC Symbol;Acc:HGNC:10680]	ENSG00000073578	Citrate cycle (TCA cycle):KEGG-hsa00020	Citrate cycle (TCA cycle):KEGG-hsa00020		turquoise	En
ENSG00000150768	DLAT	dihydrolipoamide S-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2896]	ENSG00000150768	Citrate cycle (TCA cycle):KEGG-hsa00020	Citrate cycle (TCA cycle):KEGG-hsa00020		turquoise	En
ENSG00000131828	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1 [Source:HGNC Symbol;Acc:HGNC:8806]	ENSG00000131828	Citrate cycle (TCA cycle):KEGG-hsa00020	Citrate cycle (TCA cycle):KEGG-hsa00020		turquoise	En
ENSG00000166411	IDH3A	isocitrate dehydrogenase 3 (NAD+) alpha [Source:HGNC Symbol;Acc:HGNC:5384]	ENSG00000166411	Citrate cycle (TCA cycle):KEGG-hsa00020	Citrate cycle (TCA cycle):KEGG-hsa00020		turquoise	En
ENSG00000100412	ACO2	aconitase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:118]	ENSG00000100412	Citrate cycle (TCA cycle):KEGG-hsa00020	Citrate cycle (TCA cycle):KEGG-hsa00020		turquoise	En
ENSG00000101365	IDH3B	isocitrate dehydrogenase 3 (NAD+) beta [Source:HGNC Symbol;Acc:HGNC:5385]	ENSG00000101365	Citrate cycle (TCA cycle):KEGG-hsa00020	Citrate cycle (TCA cycle):KEGG-hsa00020		turquoise	En
ENSG00000168291	PDHB	pyruvate dehydrogenase (lipoamide) beta [Source:HGNC Symbol;Acc:HGNC:8808]	ENSG00000168291	Citrate cycle (TCA cycle):KEGG-hsa00020	Citrate cycle (TCA cycle):KEGG-hsa00020		turquoise	En
