GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000091140	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	4	0.444444444444	ENSG00000091140	Glycolysis and Gluconeogenesis:WP534 // Fatty Acid Beta Oxidation:WP143 // TCA Cycle:WP78 // TCA Cycle and PDHc:WP2453
ENSG00000138796	HADH	hydroxyacyl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4799]	3	0.333333333333	ENSG00000138796	Mitochondrial LC-Fatty Acid Beta-Oxidation:WP368 // Tryptophan metabolism:WP465 // Fatty Acid Beta Oxidation:WP143
ENSG00000105953	OGDH	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide) [Source:HGNC Symbol;Acc:HGNC:8124]	3	0.333333333333	ENSG00000105953	Tryptophan metabolism:WP465 // TCA Cycle:WP78 // TCA Cycle and PDHc:WP2453
ENSG00000073578	SDHA	succinate dehydrogenase complex, subunit A, flavoprotein (Fp) [Source:HGNC Symbol;Acc:HGNC:10680]	3	0.333333333333	ENSG00000073578	Electron Transport Chain:WP111 // TCA Cycle:WP78 // TCA Cycle and PDHc:WP2453
ENSG00000213619	NDUFS3	NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase) [Source:HGNC Symbol;Acc:HGNC:7710]	2	0.222222222222	ENSG00000213619	Oxidative phosphorylation:WP623 // Electron Transport Chain:WP111
ENSG00000178537	SLC25A20	solute carrier family 25 (carnitine/acylcarnitine translocase), member 20 [Source:HGNC Symbol;Acc:HGNC:1421]	2	0.222222222222	ENSG00000178537	Mitochondrial LC-Fatty Acid Beta-Oxidation:WP368 // Fatty Acid Beta Oxidation:WP143
ENSG00000178127	NDUFV2	NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa [Source:HGNC Symbol;Acc:HGNC:7717]	2	0.222222222222	ENSG00000178127	Oxidative phosphorylation:WP623 // Electron Transport Chain:WP111
ENSG00000173599	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	2	0.222222222222	ENSG00000173599	Glycolysis and Gluconeogenesis:WP534 // TCA Cycle and PDHc:WP2453
ENSG00000168653	NDUFS5	NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase) [Source:HGNC Symbol;Acc:HGNC:7712]	2	0.222222222222	ENSG00000168653	Oxidative phosphorylation:WP623 // Electron Transport Chain:WP111
ENSG00000167792	NDUFV1	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa [Source:HGNC Symbol;Acc:HGNC:7716]	2	0.222222222222	ENSG00000167792	Oxidative phosphorylation:WP623 // Electron Transport Chain:WP111
ENSG00000166411	IDH3A	isocitrate dehydrogenase 3 (NAD+) alpha [Source:HGNC Symbol;Acc:HGNC:5384]	2	0.222222222222	ENSG00000166411	TCA Cycle:WP78 // TCA Cycle and PDHc:WP2453
ENSG00000158864	NDUFS2	NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase) [Source:HGNC Symbol;Acc:HGNC:7708]	2	0.222222222222	ENSG00000158864	Oxidative phosphorylation:WP623 // Electron Transport Chain:WP111
ENSG00000150768	DLAT	dihydrolipoamide S-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2896]	2	0.222222222222	ENSG00000150768	Glycolysis and Gluconeogenesis:WP534 // TCA Cycle and PDHc:WP2453
ENSG00000147684	NDUFB9	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9, 22kDa [Source:HGNC Symbol;Acc:HGNC:7704]	2	0.222222222222	ENSG00000147684	Oxidative phosphorylation:WP623 // Electron Transport Chain:WP111
ENSG00000145494	NDUFS6	NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (NADH-coenzyme Q reductase) [Source:HGNC Symbol;Acc:HGNC:7713]	2	0.222222222222	ENSG00000145494	Oxidative phosphorylation:WP623 // Electron Transport Chain:WP111
ENSG00000140990	NDUFB10	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10, 22kDa [Source:HGNC Symbol;Acc:HGNC:7696]	2	0.222222222222	ENSG00000140990	Oxidative phosphorylation:WP623 // Electron Transport Chain:WP111
ENSG00000139180	NDUFA9	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, 39kDa [Source:HGNC Symbol;Acc:HGNC:7693]	2	0.222222222222	ENSG00000139180	Oxidative phosphorylation:WP623 // Electron Transport Chain:WP111
ENSG00000131828	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1 [Source:HGNC Symbol;Acc:HGNC:8806]	2	0.222222222222	ENSG00000131828	Glycolysis and Gluconeogenesis:WP534 // TCA Cycle and PDHc:WP2453
ENSG00000131495	NDUFA2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa [Source:HGNC Symbol;Acc:HGNC:7685]	2	0.222222222222	ENSG00000131495	Oxidative phosphorylation:WP623 // Electron Transport Chain:WP111
ENSG00000130414	NDUFA10	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa [Source:HGNC Symbol;Acc:HGNC:7684]	2	0.222222222222	ENSG00000130414	Oxidative phosphorylation:WP623 // Electron Transport Chain:WP111
ENSG00000128609	NDUFA5	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5 [Source:HGNC Symbol;Acc:HGNC:7688]	2	0.222222222222	ENSG00000128609	Oxidative phosphorylation:WP623 // Electron Transport Chain:WP111
ENSG00000127884	ECHS1	enoyl CoA hydratase, short chain, 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:3151]	2	0.222222222222	ENSG00000127884	Tryptophan metabolism:WP465 // Fatty Acid Beta Oxidation:WP143
ENSG00000119689	DLST	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex) [Source:HGNC Symbol;Acc:HGNC:2911]	2	0.222222222222	ENSG00000119689	TCA Cycle:WP78 // TCA Cycle and PDHc:WP2453
ENSG00000119421	NDUFA8	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa [Source:HGNC Symbol;Acc:HGNC:7692]	2	0.222222222222	ENSG00000119421	Oxidative phosphorylation:WP623 // Electron Transport Chain:WP111
ENSG00000117118	SDHB	succinate dehydrogenase complex, subunit B, iron sulfur (Ip) [Source:HGNC Symbol;Acc:HGNC:10681]	2	0.222222222222	ENSG00000117118	Electron Transport Chain:WP111 // TCA Cycle:WP78
ENSG00000117054	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain [Source:HGNC Symbol;Acc:HGNC:89]	2	0.222222222222	ENSG00000117054	Mitochondrial LC-Fatty Acid Beta-Oxidation:WP368 // Fatty Acid Beta Oxidation:WP143
ENSG00000111669	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	2	0.222222222222	ENSG00000111669	Glycolysis and Gluconeogenesis:WP534 // Fatty Acid Beta Oxidation:WP143
ENSG00000084754	HADHA	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit [Source:HGNC Symbol;Acc:HGNC:4801]	2	0.222222222222	ENSG00000084754	Mitochondrial LC-Fatty Acid Beta-Oxidation:WP368 // Fatty Acid Beta Oxidation:WP143
ENSG00000075239	ACAT1	acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]	2	0.222222222222	ENSG00000075239	Tryptophan metabolism:WP465 // Fatty Acid Beta Oxidation:WP143
