GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000150093	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12) [Source:HGNC Symbol;Acc:HGNC:6153]	51	0.375	ENSG00000150093	developmental growth // molecular transducer activity // cell-substrate junction // response to mechanical stimulus // response to gonadotropin // metal ion binding // cell-substrate adhesion // protein domain specific binding // response to other organism // laminin binding // regulation of peptidyl-tyrosine phosphorylation // extracellular matrix part // extracellular region part // filopodium // cell morphogenesis involved in differentiation // actin binding // coagulation // integrin-mediated signaling pathway // cell activation // protein dimerization activity // response to alcohol // protein complex involved in cell adhesion // regulation of cell adhesion // positive regulation of intracellular signal transduction // glycoprotein binding // response to ionizing radiation // sperm part // plasma membrane part // positive regulation of cell proliferation // regulation of body fluid levels // cell surface // cellular response to lipid // adherens junction // cell-cell junction // cation homeostasis // regulation of localization // cell junction assembly // cellular response to organic cyclic compound // response to drug // collagen binding // leukocyte migration // synapse // multicellular organismal development // ruffle // extracellular structure organization // cell adhesion mediated by integrin // integrin binding // reproductive process // leukocyte cell-cell adhesion // plasma membrane // membrane raft
ENSG00000090339	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	37	0.272058823529	ENSG00000090339	positive regulation of vasoconstriction // molecular transducer activity // regulation of cell killing // establishment of endothelial barrier // response to gonadotropin // sensory perception of sound // regulation of cell shape // response to other organism // regulation of peptidyl-tyrosine phosphorylation // extracellular region part // inflammatory response // interferon-gamma-mediated signaling pathway // cellular response to nitrogen compound // cell activation // response to alcohol // regulation of cell adhesion // positive regulation of intracellular signal transduction // response to ionizing radiation // plasma membrane part // membrane to membrane docking // cell surface // cellular response to lipid // regulation of endothelial cell apoptotic process // regulation of localization // response to drug // cellular response to endogenous stimulus // leukocyte migration // response to interleukin-1 // extracellular structure organization // cell adhesion mediated by integrin // integrin binding // homotypic cell-cell adhesion // response to tumor necrosis factor // reproductive process // leukocyte cell-cell adhesion // plasma membrane // heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
ENSG00000087460	GNAS	GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]	33	0.242647058824	ENSG00000087460	developmental growth // molecular transducer activity // ossification // dopamine receptor signaling pathway // response to prostaglandin // metal ion binding // cartilage development // multi-multicellular organism process // extracellular region part // positive regulation of lyase activity // adenylate cyclase-modulating G-protein coupled receptor signaling pathway // anatomical structure formation involved in morphogenesis // coagulation // regulation of ossification // cellular response to nitrogen compound // positive regulation of myeloid cell differentiation // positive regulation of intracellular signal transduction // plasma membrane part // fluid transport // regulation of body fluid levels // cellular response to lipid // regulation of localization // cellular response to organic cyclic compound // response to drug // cellular response to endogenous stimulus // positive regulation of cyclase activity // ruffle // G-protein beta/gamma-subunit complex binding // skeletal system development // homotypic cell-cell adhesion // reproductive process // plasma membrane // positive regulation of leukocyte differentiation
ENSG00000135046	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	28	0.205882352941	ENSG00000135046	calcium-dependent phospholipid binding // metal ion binding // keratinocyte differentiation // response to corticosteroid // extracellular region part // cilium // inflammatory response // cell activation // vacuole // protein dimerization activity // response to alcohol // calcium-dependent protein binding // phospholipase inhibitor activity // amide transport // response to ionizing radiation // plasma membrane part // cell surface // cellular response to lipid // regulation of localization // cellular response to organic cyclic compound // response to drug // cellular response to endogenous stimulus // response to interleukin-1 // homotypic cell-cell adhesion // reproductive process // leukocyte cell-cell adhesion // plasma membrane // hormone transport
ENSG00000164171	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor) [Source:HGNC Symbol;Acc:HGNC:6137]	27	0.198529411765	ENSG00000164171	molecular transducer activity // cell-substrate junction // response to mechanical stimulus // metal ion binding // cell-substrate adhesion // response to other organism // laminin binding // regulation of positive chemotaxis // wound healing // coagulation // integrin-mediated signaling pathway // protein dimerization activity // protein complex involved in cell adhesion // regulation of cell adhesion // plasma membrane part // positive regulation of cell proliferation // regulation of body fluid levels // cell surface // adherens junction // regulation of localization // response to drug // collagen binding // cellular response to endogenous stimulus // extracellular structure organization // cell adhesion mediated by integrin // integrin binding // plasma membrane
ENSG00000154229	PRKCA	protein kinase C, alpha [Source:HGNC Symbol;Acc:HGNC:9393]	27	0.198529411765	ENSG00000154229	metal ion binding // regulation of peptidyl-tyrosine phosphorylation // negative regulation of lyase activity // regulation of positive chemotaxis // extracellular region part // cilium // positive regulation of lyase activity // anatomical structure formation involved in morphogenesis // apical part of cell // coagulation // regulation of coagulation // cell activation // positive regulation of myeloid cell differentiation // regulation of cell adhesion // positive regulation of intracellular signal transduction // positive regulation of cell proliferation // regulation of body fluid levels // cation homeostasis // regulation of localization // cell junction assembly // negative regulation of cyclase activity // positive regulation of cyclase activity // leukocyte migration // response to interleukin-1 // extracellular structure organization // plasma membrane // positive regulation of leukocyte differentiation
ENSG00000152661	GJA1	gap junction protein, alpha 1, 43kDa [Source:HGNC Symbol;Acc:HGNC:4274]	27	0.198529411765	ENSG00000152661	positive regulation of vasoconstriction // developmental growth // cell maturation // molecular transducer activity // muscle system process // renal system process // late endosome // response to mechanical stimulus // regulation of I-kappaB kinase/NF-kappaB signaling // regulation of cell junction assembly // protein domain specific binding // extracellular region part // inflammatory response // response to pH // regulation of ossification // embryonic digit morphogenesis // vacuole // positive regulation of intracellular signal transduction // regeneration // plasma membrane part // adherens junction // cell-cell junction // cation homeostasis // regulation of localization // cell junction assembly // plasma membrane // membrane raft
ENSG00000108821	COL1A1	collagen, type I, alpha 1 [Source:HGNC Symbol;Acc:HGNC:2197]	27	0.198529411765	ENSG00000108821	ossification // response to mechanical stimulus // metal ion binding // sensory perception of sound // response to corticosteroid // cartilage development // extracellular matrix part // extracellular region part // anatomical structure formation involved in morphogenesis // wound healing // coagulation // cellular response to nitrogen compound // cell activation // response to fibroblast growth factor // response to alcohol // regulation of cell adhesion // regulation of body fluid levels // cellular response to lipid // regulation of localization // cellular response to organic cyclic compound // response to drug // cellular response to endogenous stimulus // leukocyte migration // extracellular structure organization // response to retinoic acid // skeletal system development // response to tumor necrosis factor
ENSG00000161638	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide) [Source:HGNC Symbol;Acc:HGNC:6141]	25	0.183823529412	ENSG00000161638	cell-substrate junction // metal ion binding // cell-substrate adhesion // regulation of peptidyl-tyrosine phosphorylation // anatomical structure formation involved in morphogenesis // coagulation // integrin-mediated signaling pathway // protein complex involved in cell adhesion // regulation of cell adhesion // plasma membrane part // regulation of body fluid levels // cell surface // adherens junction // cell-cell junction // regulation of localization // cell junction assembly // leukocyte migration // synapse // ruffle // extracellular structure organization // cell adhesion mediated by integrin // integrin binding // leukocyte cell-cell adhesion // plasma membrane // heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
ENSG00000091409	ITGA6	integrin, alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	25	0.183823529412	ENSG00000091409	cell-substrate junction // metal ion binding // cell-substrate adhesion // laminin binding // extracellular matrix part // extracellular region part // filopodium // coagulation // integrin-mediated signaling pathway // protein complex involved in cell adhesion // regulation of cell adhesion // plasma membrane part // regulation of body fluid levels // cell surface // adherens junction // cell-cell junction // cell junction assembly // cellular response to organic cyclic compound // cell projection assembly // leukocyte migration // extracellular structure organization // cell adhesion mediated by integrin // integrin binding // plasma membrane // odontogenesis of dentin-containing tooth
