GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000204287	HLA-DRA	major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]	14	0.518518518519	ENSG00000204287	Tuberculosis:KEGG-hsa05152 // Graft-versus-host disease:KEGG-hsa05332 // Antigen processing and presentation:KEGG-hsa04612 // Viral myocarditis:KEGG-hsa05416 // Staphylococcus aureus infection:KEGG-hsa05150 // Autoimmune thyroid disease:KEGG-hsa05320 // Allograft rejection:KEGG-hsa05330 // Cell adhesion molecules (CAMs):KEGG-hsa04514 // Phagosome:KEGG-hsa04145 // Type I diabetes mellitus:KEGG-hsa04940 // Toxoplasmosis:KEGG-hsa05145 // Hematopoietic cell lineage:KEGG-hsa04640 // Leishmaniasis:KEGG-hsa05140 // Systemic lupus erythematosus:KEGG-hsa05322
ENSG00000196126	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	14	0.518518518519	ENSG00000196126	Tuberculosis:KEGG-hsa05152 // Graft-versus-host disease:KEGG-hsa05332 // Antigen processing and presentation:KEGG-hsa04612 // Viral myocarditis:KEGG-hsa05416 // Staphylococcus aureus infection:KEGG-hsa05150 // Autoimmune thyroid disease:KEGG-hsa05320 // Allograft rejection:KEGG-hsa05330 // Cell adhesion molecules (CAMs):KEGG-hsa04514 // Phagosome:KEGG-hsa04145 // Type I diabetes mellitus:KEGG-hsa04940 // Toxoplasmosis:KEGG-hsa05145 // Hematopoietic cell lineage:KEGG-hsa04640 // Leishmaniasis:KEGG-hsa05140 // Systemic lupus erythematosus:KEGG-hsa05322
ENSG00000150093	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12) [Source:HGNC Symbol;Acc:HGNC:6153]	12	0.444444444444	ENSG00000150093	Small cell lung cancer:KEGG-hsa05222 // Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410 // Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412 // Dilated cardiomyopathy:KEGG-hsa05414 // Focal adhesion:KEGG-hsa04510 // Leukocyte transendothelial migration:KEGG-hsa04670 // Regulation of actin cytoskeleton:KEGG-hsa04810 // Cell adhesion molecules (CAMs):KEGG-hsa04514 // ECM-receptor interaction:KEGG-hsa04512 // Phagosome:KEGG-hsa04145 // Toxoplasmosis:KEGG-hsa05145 // Leishmaniasis:KEGG-hsa05140
ENSG00000160255	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit) [Source:HGNC Symbol;Acc:HGNC:6155]	10	0.37037037037	ENSG00000160255	Tuberculosis:KEGG-hsa05152 // Amoebiasis:KEGG-hsa05146 // Viral myocarditis:KEGG-hsa05416 // Staphylococcus aureus infection:KEGG-hsa05150 // Leukocyte transendothelial migration:KEGG-hsa04670 // Regulation of actin cytoskeleton:KEGG-hsa04810 // Cell adhesion molecules (CAMs):KEGG-hsa04514 // Phagosome:KEGG-hsa04145 // Leishmaniasis:KEGG-hsa05140 // Malaria:KEGG-hsa05144
ENSG00000091409	ITGA6	integrin, alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	10	0.37037037037	ENSG00000091409	Small cell lung cancer:KEGG-hsa05222 // Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410 // Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412 // Dilated cardiomyopathy:KEGG-hsa05414 // Focal adhesion:KEGG-hsa04510 // Regulation of actin cytoskeleton:KEGG-hsa04810 // Cell adhesion molecules (CAMs):KEGG-hsa04514 // ECM-receptor interaction:KEGG-hsa04512 // Toxoplasmosis:KEGG-hsa05145 // Hematopoietic cell lineage:KEGG-hsa04640
ENSG00000164171	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor) [Source:HGNC Symbol;Acc:HGNC:6137]	9	0.333333333333	ENSG00000164171	Small cell lung cancer:KEGG-hsa05222 // Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410 // Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412 // Dilated cardiomyopathy:KEGG-hsa05414 // Focal adhesion:KEGG-hsa04510 // Regulation of actin cytoskeleton:KEGG-hsa04810 // ECM-receptor interaction:KEGG-hsa04512 // Phagosome:KEGG-hsa04145 // Hematopoietic cell lineage:KEGG-hsa04640
ENSG00000138448	ITGAV	integrin, alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	9	0.333333333333	ENSG00000138448	Small cell lung cancer:KEGG-hsa05222 // Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410 // Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412 // Dilated cardiomyopathy:KEGG-hsa05414 // Focal adhesion:KEGG-hsa04510 // Regulation of actin cytoskeleton:KEGG-hsa04810 // Cell adhesion molecules (CAMs):KEGG-hsa04514 // ECM-receptor interaction:KEGG-hsa04512 // Phagosome:KEGG-hsa04145
ENSG00000206503	HLA-A	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	8	0.296296296296	ENSG00000206503	Graft-versus-host disease:KEGG-hsa05332 // Antigen processing and presentation:KEGG-hsa04612 // Viral myocarditis:KEGG-hsa05416 // Autoimmune thyroid disease:KEGG-hsa05320 // Allograft rejection:KEGG-hsa05330 // Cell adhesion molecules (CAMs):KEGG-hsa04514 // Phagosome:KEGG-hsa04145 // Type I diabetes mellitus:KEGG-hsa04940
ENSG00000161638	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide) [Source:HGNC Symbol;Acc:HGNC:6141]	8	0.296296296296	ENSG00000161638	Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410 // Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412 // Dilated cardiomyopathy:KEGG-hsa05414 // Focal adhesion:KEGG-hsa04510 // Regulation of actin cytoskeleton:KEGG-hsa04810 // ECM-receptor interaction:KEGG-hsa04512 // Phagosome:KEGG-hsa04145 // Hematopoietic cell lineage:KEGG-hsa04640
ENSG00000005884	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:HGNC:6139]	8	0.296296296296	ENSG00000005884	Small cell lung cancer:KEGG-hsa05222 // Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410 // Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412 // Dilated cardiomyopathy:KEGG-hsa05414 // Focal adhesion:KEGG-hsa04510 // Regulation of actin cytoskeleton:KEGG-hsa04810 // ECM-receptor interaction:KEGG-hsa04512 // Hematopoietic cell lineage:KEGG-hsa04640
