GeneID	Symbol	Description	UID-str	parent GOID	GO Name	SystemCode	ME	NA
ENSG00000065135	GNAI3	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3 [Source:HGNC Symbol;Acc:HGNC:4387]	ENSG00000065135	Long-term depression:KEGG-hsa04730	Long-term depression:KEGG-hsa04730	GNAI3	yellow	En
ENSG00000088256	GNA11	guanine nucleotide binding protein (G protein), alpha 11 (Gq class) [Source:HGNC Symbol;Acc:HGNC:4379]	ENSG00000088256	Long-term depression:KEGG-hsa04730	Long-term depression:KEGG-hsa04730	GNA11	yellow	En
ENSG00000114353	GNAI2	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2 [Source:HGNC Symbol;Acc:HGNC:4385]	ENSG00000114353	Long-term depression:KEGG-hsa04730	Long-term depression:KEGG-hsa04730	GNAI2	yellow	En
ENSG00000120063	GNA13	guanine nucleotide binding protein (G protein), alpha 13 [Source:HGNC Symbol;Acc:HGNC:4381]	ENSG00000120063	Long-term depression:KEGG-hsa04730	Long-term depression:KEGG-hsa04730	GNA13	yellow	En
ENSG00000087460	GNAS	GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]	ENSG00000087460	Long-term depression:KEGG-hsa04730	Long-term depression:KEGG-hsa04730	GNAS	yellow	En
ENSG00000154229	PRKCA	protein kinase C, alpha [Source:HGNC Symbol;Acc:HGNC:9393]	ENSG00000154229	Long-term depression:KEGG-hsa04730	Long-term depression:KEGG-hsa04730	PRKCA	yellow	En
ENSG00000156052	GNAQ	guanine nucleotide binding protein (G protein), q polypeptide [Source:HGNC Symbol;Acc:HGNC:4390]	ENSG00000156052	Long-term depression:KEGG-hsa04730	Long-term depression:KEGG-hsa04730	GNAQ	yellow	En
ENSG00000005893	LAMP2	lysosomal-associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	ENSG00000005893	Tuberculosis:KEGG-hsa05152	Tuberculosis:KEGG-hsa05152	LAMP2	yellow	En
ENSG00000160255	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit) [Source:HGNC Symbol;Acc:HGNC:6155]	ENSG00000160255	Tuberculosis:KEGG-hsa05152	Tuberculosis:KEGG-hsa05152	ITGB2	yellow	En
ENSG00000140678	ITGAX	integrin, alpha X (complement component 3 receptor 4 subunit) [Source:HGNC Symbol;Acc:HGNC:6152]	ENSG00000140678	Tuberculosis:KEGG-hsa05152	Tuberculosis:KEGG-hsa05152	ITGAX	yellow	En
ENSG00000172115	CYCS	cytochrome c, somatic [Source:HGNC Symbol;Acc:HGNC:19986]	ENSG00000172115	Tuberculosis:KEGG-hsa05152	Tuberculosis:KEGG-hsa05152	CYCS	yellow	En
ENSG00000150337	FCGR1A	Fc fragment of IgG, high affinity Ia, receptor (CD64) [Source:HGNC Symbol;Acc:HGNC:3613]	ENSG00000150337	Tuberculosis:KEGG-hsa05152	Tuberculosis:KEGG-hsa05152	FCGR1A	yellow	En
ENSG00000075785	RAB7A	RAB7A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9788]	ENSG00000075785	Tuberculosis:KEGG-hsa05152	Tuberculosis:KEGG-hsa05152	RAB7A	yellow	En
ENSG00000185896	LAMP1	lysosomal-associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:6499]	ENSG00000185896	Tuberculosis:KEGG-hsa05152	Tuberculosis:KEGG-hsa05152	LAMP1	yellow	En
ENSG00000204287	HLA-DRA	major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]	ENSG00000204287	Tuberculosis:KEGG-hsa05152	Tuberculosis:KEGG-hsa05152	HLA-DRA	yellow	En
ENSG00000196126	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	ENSG00000196126	Tuberculosis:KEGG-hsa05152	Tuberculosis:KEGG-hsa05152	HLA-DRB1	yellow	En
ENSG00000170458	CD14	CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]	ENSG00000170458	Tuberculosis:KEGG-hsa05152	Tuberculosis:KEGG-hsa05152	CD14	yellow	En
ENSG00000164171	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor) [Source:HGNC Symbol;Acc:HGNC:6137]	ENSG00000164171	Small cell lung cancer:KEGG-hsa05222	Small cell lung cancer:KEGG-hsa05222	ITGA2	yellow	En
ENSG00000172115	CYCS	cytochrome c, somatic [Source:HGNC Symbol;Acc:HGNC:19986]	ENSG00000172115	Small cell lung cancer:KEGG-hsa05222	Small cell lung cancer:KEGG-hsa05222	CYCS	yellow	En
