GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000150093	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12) [Source:HGNC Symbol;Acc:HGNC:6153]	5	0.416666666667	ENSG00000150093	Focal Adhesion:WP306 // TGF beta Signaling Pathway:WP366 // Integrin-mediated Cell Adhesion:WP185 // Primary Focal Segmental Glomerulosclerosis FSGS:WP2572 // Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000132470	ITGB4	integrin, beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	5	0.416666666667	ENSG00000132470	Focal Adhesion:WP306 // TGF beta Signaling Pathway:WP366 // Integrin-mediated Cell Adhesion:WP185 // Primary Focal Segmental Glomerulosclerosis FSGS:WP2572 // Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000164171	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor) [Source:HGNC Symbol;Acc:HGNC:6137]	4	0.333333333333	ENSG00000164171	Focal Adhesion:WP306 // TGF beta Signaling Pathway:WP366 // Integrin-mediated Cell Adhesion:WP185 // Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000138448	ITGAV	integrin, alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	4	0.333333333333	ENSG00000138448	Focal Adhesion:WP306 // Integrin-mediated Cell Adhesion:WP185 // Primary Focal Segmental Glomerulosclerosis FSGS:WP2572 // Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000127314	RAP1B	RAP1B, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9857]	4	0.333333333333	ENSG00000127314	Focal Adhesion:WP306 // Integrin-mediated Cell Adhesion:WP185 // Corticotropin-releasing hormone:WP2355 // TSH signaling pathway:WP2032
ENSG00000114353	GNAI2	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2 [Source:HGNC Symbol;Acc:HGNC:4385]	4	0.333333333333	ENSG00000114353	Signal Transduction of S1P Receptor:WP26 // Corticotropin-releasing hormone:WP2355 // G Protein Signaling Pathways:WP35 // TSH signaling pathway:WP2032
ENSG00000091409	ITGA6	integrin, alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	4	0.333333333333	ENSG00000091409	Focal Adhesion:WP306 // TGF beta Signaling Pathway:WP366 // Integrin-mediated Cell Adhesion:WP185 // Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000005884	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:HGNC:6139]	4	0.333333333333	ENSG00000005884	Focal Adhesion:WP306 // Integrin-mediated Cell Adhesion:WP185 // Primary Focal Segmental Glomerulosclerosis FSGS:WP2572 // Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000161638	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide) [Source:HGNC Symbol;Acc:HGNC:6141]	3	0.25	ENSG00000161638	Focal Adhesion:WP306 // Integrin-mediated Cell Adhesion:WP185 // Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000156052	GNAQ	guanine nucleotide binding protein (G protein), q polypeptide [Source:HGNC Symbol;Acc:HGNC:4390]	3	0.25	ENSG00000156052	Corticotropin-releasing hormone:WP2355 // G Protein Signaling Pathways:WP35 // TSH signaling pathway:WP2032
ENSG00000137076	TLN1	talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]	3	0.25	ENSG00000137076	Focal Adhesion:WP306 // Integrin-mediated Cell Adhesion:WP185 // Primary Focal Segmental Glomerulosclerosis FSGS:WP2572
ENSG00000135424	ITGA7	integrin, alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	3	0.25	ENSG00000135424	Focal Adhesion:WP306 // Integrin-mediated Cell Adhesion:WP185 // Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000087460	GNAS	GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]	3	0.25	ENSG00000087460	Corticotropin-releasing hormone:WP2355 // G Protein Signaling Pathways:WP35 // TSH signaling pathway:WP2032
ENSG00000082781	ITGB5	integrin, beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]	3	0.25	ENSG00000082781	Focal Adhesion:WP306 // Integrin-mediated Cell Adhesion:WP185 // Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000065135	GNAI3	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3 [Source:HGNC Symbol;Acc:HGNC:4387]	3	0.25	ENSG00000065135	Signal Transduction of S1P Receptor:WP26 // G Protein Signaling Pathways:WP35 // TSH signaling pathway:WP2032
ENSG00000170558	CDH2	cadherin 2, type 1, N-cadherin (neuronal) [Source:HGNC Symbol;Acc:HGNC:1759]	2	0.166666666667	ENSG00000170558	Primary Focal Segmental Glomerulosclerosis FSGS:WP2572 // Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000160255	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit) [Source:HGNC Symbol;Acc:HGNC:6155]	2	0.166666666667	ENSG00000160255	Focal Adhesion:WP306 // Integrin-mediated Cell Adhesion:WP185
ENSG00000154229	PRKCA	protein kinase C, alpha [Source:HGNC Symbol;Acc:HGNC:9393]	2	0.166666666667	ENSG00000154229	Corticotropin-releasing hormone:WP2355 // G Protein Signaling Pathways:WP35
ENSG00000152661	GJA1	gap junction protein, alpha 1, 43kDa [Source:HGNC Symbol;Acc:HGNC:4274]	2	0.166666666667	ENSG00000152661	Corticotropin-releasing hormone:WP2355 // Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000142192	APP	amyloid beta (A4) precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	2	0.166666666667	ENSG00000142192	TGF beta Signaling Pathway:WP366 // Copper homeostasis:WP3286
ENSG00000140678	ITGAX	integrin, alpha X (complement component 3 receptor 4 subunit) [Source:HGNC Symbol;Acc:HGNC:6152]	2	0.166666666667	ENSG00000140678	Focal Adhesion:WP306 // Integrin-mediated Cell Adhesion:WP185
ENSG00000120063	GNA13	guanine nucleotide binding protein (G protein), alpha 13 [Source:HGNC Symbol;Acc:HGNC:4381]	2	0.166666666667	ENSG00000120063	G Protein Signaling Pathways:WP35 // TSH signaling pathway:WP2032
ENSG00000108821	COL1A1	collagen, type I, alpha 1 [Source:HGNC Symbol;Acc:HGNC:2197]	2	0.166666666667	ENSG00000108821	Focal Adhesion:WP306 // Senescence and Autophagy in Cancer:WP615
