GeneID	Symbol	Description	UID-str	parent GOID	GO Name	SystemCode	ME	NA
ENSG00000164111	ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	ENSG00000164111	Prostaglandin Synthesis and Regulation:WP98	Prostaglandin Synthesis and Regulation:WP98	ANXA5	yellow	En
ENSG00000196975	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]	ENSG00000196975	Prostaglandin Synthesis and Regulation:WP98	Prostaglandin Synthesis and Regulation:WP98	ANXA4	yellow	En
ENSG00000135046	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	ENSG00000135046	Prostaglandin Synthesis and Regulation:WP98	Prostaglandin Synthesis and Regulation:WP98	ANXA1	yellow	En
ENSG00000196924	FLNA	filamin A, alpha [Source:HGNC Symbol;Acc:HGNC:3754]	ENSG00000196924	Focal Adhesion:WP306	Focal Adhesion:WP306	FLNA	yellow	En
ENSG00000164171	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor) [Source:HGNC Symbol;Acc:HGNC:6137]	ENSG00000164171	Focal Adhesion:WP306	Focal Adhesion:WP306	ITGA2	yellow	En
ENSG00000135424	ITGA7	integrin, alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	ENSG00000135424	Focal Adhesion:WP306	Focal Adhesion:WP306	ITGA7	yellow	En
ENSG00000160255	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit) [Source:HGNC Symbol;Acc:HGNC:6155]	ENSG00000160255	Focal Adhesion:WP306	Focal Adhesion:WP306	ITGB2	yellow	En
ENSG00000140678	ITGAX	integrin, alpha X (complement component 3 receptor 4 subunit) [Source:HGNC Symbol;Acc:HGNC:6152]	ENSG00000140678	Focal Adhesion:WP306	Focal Adhesion:WP306	ITGAX	yellow	En
ENSG00000005884	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:HGNC:6139]	ENSG00000005884	Focal Adhesion:WP306	Focal Adhesion:WP306	ITGA3	yellow	En
ENSG00000161638	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide) [Source:HGNC Symbol;Acc:HGNC:6141]	ENSG00000161638	Focal Adhesion:WP306	Focal Adhesion:WP306	ITGA5	yellow	En
ENSG00000132470	ITGB4	integrin, beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	ENSG00000132470	Focal Adhesion:WP306	Focal Adhesion:WP306	ITGB4	yellow	En
ENSG00000082781	ITGB5	integrin, beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]	ENSG00000082781	Focal Adhesion:WP306	Focal Adhesion:WP306	ITGB5	yellow	En
ENSG00000137076	TLN1	talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]	ENSG00000137076	Focal Adhesion:WP306	Focal Adhesion:WP306	TLN1	yellow	En
ENSG00000150093	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12) [Source:HGNC Symbol;Acc:HGNC:6153]	ENSG00000150093	Focal Adhesion:WP306	Focal Adhesion:WP306	ITGB1	yellow	En
ENSG00000041982	TNC	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]	ENSG00000041982	Focal Adhesion:WP306	Focal Adhesion:WP306	TNC	yellow	En
ENSG00000127314	RAP1B	RAP1B, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9857]	ENSG00000127314	Focal Adhesion:WP306	Focal Adhesion:WP306	RAP1B	yellow	En
ENSG00000091409	ITGA6	integrin, alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	ENSG00000091409	Focal Adhesion:WP306	Focal Adhesion:WP306	ITGA6	yellow	En
ENSG00000108821	COL1A1	collagen, type I, alpha 1 [Source:HGNC Symbol;Acc:HGNC:2197]	ENSG00000108821	Focal Adhesion:WP306	Focal Adhesion:WP306	COL1A1	yellow	En
ENSG00000138448	ITGAV	integrin, alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	ENSG00000138448	Focal Adhesion:WP306	Focal Adhesion:WP306	ITGAV	yellow	En
ENSG00000164171	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor) [Source:HGNC Symbol;Acc:HGNC:6137]	ENSG00000164171	TGF beta Signaling Pathway:WP366	TGF beta Signaling Pathway:WP366	ITGA2	yellow	En
ENSG00000142192	APP	amyloid beta (A4) precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	ENSG00000142192	TGF beta Signaling Pathway:WP366	TGF beta Signaling Pathway:WP366	APP	yellow	En
ENSG00000132470	ITGB4	integrin, beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	ENSG00000132470	TGF beta Signaling Pathway:WP366	TGF beta Signaling Pathway:WP366	ITGB4	yellow	En
ENSG00000150093	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12) [Source:HGNC Symbol;Acc:HGNC:6153]	ENSG00000150093	TGF beta Signaling Pathway:WP366	TGF beta Signaling Pathway:WP366	ITGB1	yellow	En
ENSG00000041982	TNC	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]	ENSG00000041982	TGF beta Signaling Pathway:WP366	TGF beta Signaling Pathway:WP366	TNC	yellow	En
ENSG00000091409	ITGA6	integrin, alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	ENSG00000091409	TGF beta Signaling Pathway:WP366	TGF beta Signaling Pathway:WP366	ITGA6	yellow	En
ENSG00000104763	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1 [Source:HGNC Symbol;Acc:HGNC:735]	ENSG00000104763	Signal Transduction of S1P Receptor:WP26	Signal Transduction of S1P Receptor:WP26	ASAH1	yellow	En
ENSG00000065135	GNAI3	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3 [Source:HGNC Symbol;Acc:HGNC:4387]	ENSG00000065135	Signal Transduction of S1P Receptor:WP26	Signal Transduction of S1P Receptor:WP26	GNAI3	yellow	En
ENSG00000114353	GNAI2	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2 [Source:HGNC Symbol;Acc:HGNC:4385]	ENSG00000114353	Signal Transduction of S1P Receptor:WP26	Signal Transduction of S1P Receptor:WP26	GNAI2	yellow	En
ENSG00000164171	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor) [Source:HGNC Symbol;Acc:HGNC:6137]	ENSG00000164171	Integrin-mediated Cell Adhesion:WP185	Integrin-mediated Cell Adhesion:WP185	ITGA2	yellow	En
ENSG00000135424	ITGA7	integrin, alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	ENSG00000135424	Integrin-mediated Cell Adhesion:WP185	Integrin-mediated Cell Adhesion:WP185	ITGA7	yellow	En
ENSG00000160255	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit) [Source:HGNC Symbol;Acc:HGNC:6155]	ENSG00000160255	Integrin-mediated Cell Adhesion:WP185	Integrin-mediated Cell Adhesion:WP185	ITGB2	yellow	En
ENSG00000140678	ITGAX	integrin, alpha X (complement component 3 receptor 4 subunit) [Source:HGNC Symbol;Acc:HGNC:6152]	ENSG00000140678	Integrin-mediated Cell Adhesion:WP185	Integrin-mediated Cell Adhesion:WP185	ITGAX	yellow	En
ENSG00000126247	CAPNS1	calpain, small subunit 1 [Source:HGNC Symbol;Acc:HGNC:1481]	ENSG00000126247	Integrin-mediated Cell Adhesion:WP185	Integrin-mediated Cell Adhesion:WP185	CAPNS1	yellow	En
ENSG00000005884	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:HGNC:6139]	ENSG00000005884	Integrin-mediated Cell Adhesion:WP185	Integrin-mediated Cell Adhesion:WP185	ITGA3	yellow	En
