Ontology-ID	Ontology-term	Ontology-name	Ontology-type	elite_term_in	number_changed.blue_Module-GO_z-score_elite	number_measured.blue_Module-GO_z-score_elite	 z_score.blue_Module-GO_z-score_elite	permuteP.blue_Module-GO_z-score_elite	number_changed.brown_Module-GO_z-score_elite	number_measured.brown_Module-GO_z-score_elite	 z_score.brown_Module-GO_z-score_elite	permuteP.brown_Module-GO_z-score_elite	number_changed.greenyellow_Module-GO_z-score_elite	number_measured.greenyellow_Module-GO_z-score_elite	 z_score.greenyellow_Module-GO_z-score_elite	permuteP.greenyellow_Module-GO_z-score_elite	number_changed.grey_Module-GO_z-score_elite	number_measured.grey_Module-GO_z-score_elite	 z_score.grey_Module-GO_z-score_elite	permuteP.grey_Module-GO_z-score_elite	number_changed.magenta_Module-GO_z-score_elite	number_measured.magenta_Module-GO_z-score_elite	 z_score.magenta_Module-GO_z-score_elite	permuteP.magenta_Module-GO_z-score_elite	number_changed.purple_Module-GO_z-score_elite	number_measured.purple_Module-GO_z-score_elite	 z_score.purple_Module-GO_z-score_elite	permuteP.purple_Module-GO_z-score_elite	number_changed.salmon_Module-GO_z-score_elite	number_measured.salmon_Module-GO_z-score_elite	 z_score.salmon_Module-GO_z-score_elite	permuteP.salmon_Module-GO_z-score_elite	number_changed.tan_Module-GO_z-score_elite	number_measured.tan_Module-GO_z-score_elite	 z_score.tan_Module-GO_z-score_elite	permuteP.tan_Module-GO_z-score_elite	number_changed.yellow_Module-GO_z-score_elite	number_measured.yellow_Module-GO_z-score_elite	 z_score.yellow_Module-GO_z-score_elite	permuteP.yellow_Module-GO_z-score_elite
GO:0031579	membrane raft organization	GeneOntology	biological_process	purple_Module-GO_z-score_elite	1	7	0.232384440856	0.5775	3	7	-0.0576998011616	0.986	0	7	-0.523349583223	1.0	0	7	-0.860023816215	0.6365	0	7	-0.579402177594	1.0	3	7	2.81953794063	0.026	0	7	-0.437777195697	1.0	0	7	-0.484462326687	1.0	0	7	-0.905391457961	0.6275
GO:0012507	ER to Golgi transport vesicle membrane	GeneOntology	cellular_component	yellow_Module-GO_z-score_elite	1	7	0.232384440856	0.5845	1	7	-1.58344110821	0.124	0	7	-0.523349583223	1.0	0	7	-0.860023816215	0.643	0	7	-0.579402177594	1.0	2	7	1.57882663139	0.1615	0	7	-0.437777195697	1.0	0	7	-0.484462326687	1.0	3	7	2.80764249276	0.0235
GO:0008285	negative regulation of cell proliferation	GeneOntology	biological_process	magenta_Module-GO_z-score_elite	5	58	-0.696711808118	0.538	24	58	-0.399197663149	0.782	2	58	-0.124123427227	0.892	4	58	-0.693766225383	0.5095	6	58	2.14675740828	0.0375	6	58	-0.0121259545666	0.9995	2	58	0.381647284893	0.796	0	58	-1.4156040949	0.2495	9	58	1.28271273444	0.2665
GO:0097458	neuron part	GeneOntology	cellular_component	brown_Module-GO_z-score_elite	19	239	-1.84777298617	0.072	131	239	3.64716737879	0.0	5	239	-1.45468146036	0.1975	17	239	-1.36852321264	0.185	20	239	3.0373746409	0.004	15	239	-2.24546949256	0.0315	3	239	-1.45007408004	0.196	2	239	-2.25527928616	0.0335	27	239	0.46074699939	0.644
GO:0050839	cell adhesion molecule binding	GeneOntology	molecular_function	magenta_Module-GO_z-score_elite	6	56	-0.184900352131	0.998	13	56	-3.17549641934	0.0015	1	56	-0.787175204085	0.4085	3	56	-1.0800707127	0.388	7	56	2.8937317276	0.009	6	56	0.0801659597438	0.998	4	56	2.12226053928	0.0595	1	56	-0.622377093932	0.569	15	56	4.06103900413	0.0005
GO:0003779	actin binding	GeneOntology	molecular_function	blue_Module-GO_z-score_elite|yellow_Module-GO_z-score_elite	22	115	2.65847821127	0.011	43	115	-1.46348051921	0.1445	3	115	-0.667981524702	0.6005	6	115	-1.62857305855	0.1465	3	115	-1.0383232398	0.357	7	115	-1.56547906835	0.154	3	115	-0.0325660253364	0.967	2	115	-0.937230708827	0.4105	26	115	4.40980879448	0.0
GO:0008237	metallopeptidase activity	GeneOntology	molecular_function	greenyellow_Module-GO_z-score_elite|grey_Module-GO_z-score_elite	0	27	-1.8863561188	0.073	5	27	-2.6814813427	0.009	4	27	3.04735086215	0.019	8	27	3.58510634388	0.0015	3	27	1.64362025485	0.1195	3	27	0.123271200815	0.95	2	27	1.54717989687	0.1665	0	27	-0.957029292407	0.626	2	27	-0.52079184365	0.702
GO:0040011	locomotion	GeneOntology	biological_process	magenta_Module-GO_z-score_elite	16	128	0.37238464926	0.771	46	128	-1.89450215624	0.0685	2	128	-1.35455164169	0.2205	9	128	-0.998957629717	0.3505	15	128	4.03193559793	0.0	9	128	-1.29458956581	0.213	5	128	0.913959375182	0.376	1	128	-1.6292577464	0.115	25	128	3.48885646509	0.0005
GO:0050727	regulation of inflammatory response	GeneOntology	biological_process	tan_Module-GO_z-score_elite	2	30	-0.835394438566	0.5435	12	30	-0.438239798012	0.695	0	30	-1.09073252022	0.4275	4	30	0.716238967828	0.473	2	30	0.557410927356	0.3995	1	30	-1.27777781831	0.203	1	30	0.232725027983	0.564	4	30	3.15406714428	0.0175	4	30	0.520564749008	0.7265
GO:0004888	transmembrane signaling receptor activity	GeneOntology	molecular_function	purple_Module-GO_z-score_elite	3	55	-1.42592062519	0.204	18	55	-1.70188143601	0.0895	0	55	-1.48782628087	0.1785	7	55	0.821450904047	0.4925	2	55	-0.333984716796	0.7145	11	55	2.37210854693	0.025	0	55	-1.24455323516	0.397	0	55	-1.377274015	0.2835	14	55	3.69554815085	0.0
