Ensembl ID	RefSeq_peptide ID
ENSG00000000003	NP_001265669
ENSG00000000003	NP_001265670
ENSG00000000003	NP_001265671
ENSG00000000003	NP_001265672
ENSG00000000003	NP_003261
ENSG00000000005	NP_071427
ENSG00000000005	XP_005262232
ENSG00000000005	XP_005262233
ENSG00000000419	NP_003850
ENSG00000000419	XP_005260657
ENSG00000000419	XP_005260658
ENSG00000000457	NP_065156
ENSG00000000457	NP_851607
ENSG00000000457	XP_006711528
ENSG00000000457	XP_006711529
ENSG00000000457	XP_006711530
ENSG00000000460	NP_060656
ENSG00000000460	XP_005245374
ENSG00000000460	XP_005245376
ENSG00000000938	NP_001036194
ENSG00000000938	NP_001036212
ENSG00000000938	NP_005239
ENSG00000000938	XP_006710515
ENSG00000000971	NP_000177
ENSG00000000971	NP_001014975
ENSG00000000971	XP_006711346
ENSG00000001036	NP_114409
ENSG00000001084	NP_001184044
ENSG00000001084	NP_001489
ENSG00000001167	NP_002496
ENSG00000001167	NP_068351
ENSG00000001460	NP_001185941
ENSG00000001460	NP_001185942
ENSG00000001460	NP_001185943
ENSG00000001460	NP_835223
ENSG00000001460	XP_005246084
ENSG00000001460	XP_005246085
ENSG00000001460	XP_006711088
ENSG00000001461	NP_065181
ENSG00000001461	XP_005246004
ENSG00000001461	XP_005246005
ENSG00000001461	XP_006710843
ENSG00000001497	NP_001164120
ENSG00000001497	NP_001164121
ENSG00000001497	NP_112483
ENSG00000001497	XP_005262358
ENSG00000001497	XP_005262361
ENSG00000001497	XP_005262362
ENSG00000001497	XP_005262363
ENSG00000001497	XP_005262364
ENSG00000001561	NP_055751
ENSG00000001617	NP_004177
ENSG00000001617	XP_005265438
ENSG00000001617	XP_005265439
ENSG00000001617	XP_006713352
ENSG00000001617	XP_006713353
ENSG00000001626	NP_000483
ENSG00000001626	XP_006715905
ENSG00000001629	NP_061877
ENSG00000001629	XP_005250514
ENSG00000001629	XP_005250515
ENSG00000001630	NP_000777
ENSG00000001630	NP_001139624
ENSG00000001631	NP_001013424
ENSG00000001631	NP_004903
ENSG00000001631	NP_919436
ENSG00000001631	NP_919437
ENSG00000001631	NP_919438
ENSG00000001631	XP_005250717
ENSG00000001631	XP_005250719
ENSG00000001631	XP_005250720
ENSG00000001631	XP_005250721
ENSG00000001631	XP_005250722
ENSG00000001631	XP_005250723
ENSG00000001631	XP_005250724
ENSG00000001631	XP_005250725
ENSG00000001631	XP_005250726
ENSG00000001631	XP_006716223
ENSG00000001631	XP_006716224
ENSG00000001631	XP_006716225
ENSG00000001631	XP_006716226
ENSG00000001631	XP_006716227
ENSG00000002016	NP_001284348
ENSG00000002016	NP_001284349
ENSG00000002016	NP_001284350
ENSG00000002016	NP_001284351
ENSG00000002016	NP_602296
ENSG00000002016	XP_005253777
ENSG00000002016	XP_005253778
ENSG00000002016	XP_005253782
ENSG00000002016	XP_005253784
ENSG00000002016	XP_006719059
ENSG00000002016	XP_006719060
ENSG00000002330	NP_004313
ENSG00000002330	NP_116784
ENSG00000002549	NP_056991
ENSG00000002586	NP_001116370
ENSG00000002586	NP_001264639
ENSG00000002586	NP_002405
ENSG00000002586	XP_005274587
ENSG00000002586	XP_005274590
ENSG00000002586	XP_005274591
ENSG00000002586	XP_005274592
ENSG00000002586	XP_005274851
ENSG00000002586	XP_005274854
ENSG00000002586	XP_005274855
ENSG00000002586	XP_005274856
ENSG00000002586	XP_006724552
ENSG00000002586	XP_006724553
ENSG00000002586	XP_006724554
ENSG00000002586	XP_006724933
ENSG00000002586	XP_006724934
ENSG00000002586	XP_006724935
ENSG00000002587	NP_005105
ENSG00000002587	XP_005248278
ENSG00000002726	NP_001082
ENSG00000002726	NP_001259001
ENSG00000002726	XP_005250024
ENSG00000002726	XP_006715981
ENSG00000002745	NP_057171
ENSG00000002745	NP_476509
ENSG00000002746	NP_001273988
ENSG00000002746	NP_055867
ENSG00000002746	XP_005249722
ENSG00000002746	XP_006715733
ENSG00000002746	XP_006715734
ENSG00000002746	XP_006715735
ENSG00000002746	XP_006715736
ENSG00000002822	NP_001013858
ENSG00000002822	NP_001013859
ENSG00000002822	NP_003541
ENSG00000002822	XP_005249933
ENSG00000002822	XP_005249934
ENSG00000002822	XP_005249935
ENSG00000002822	XP_006715851
ENSG00000002834	NP_001258537
ENSG00000002834	NP_006139
ENSG00000002919	NP_037455
ENSG00000002919	NP_689450
ENSG00000002919	XP_005257317
ENSG00000002919	XP_005257318
ENSG00000002919	XP_005257319
ENSG00000002933	NP_060957
ENSG00000003056	NP_001193953
ENSG00000003056	NP_002346
ENSG00000003056	XP_005253433
ENSG00000003096	NP_001161771
ENSG00000003096	NP_001161772
ENSG00000003096	NP_001161773
ENSG00000003096	NP_001161774
ENSG00000003096	NP_001161775
ENSG00000003096	NP_277030
ENSG00000003137	NP_001264671
ENSG00000003137	NP_063938
ENSG00000003137	XP_005264490
ENSG00000003147	NP_001129492
ENSG00000003147	NP_001263407
ENSG00000003147	NP_004959
ENSG00000003147	NP_071682
ENSG00000003147	XP_005249792
ENSG00000003147	XP_005249793
ENSG00000003147	XP_006715780
ENSG00000003147	XP_006715781
ENSG00000003147	XP_006715782
ENSG00000003147	XP_006715783
ENSG00000003147	XP_006715784
ENSG00000003249	NP_001036075
ENSG00000003249	NP_001275637
ENSG00000003249	NP_001275638
ENSG00000003249	NP_076948
ENSG00000003393	NP_001129217
ENSG00000003393	NP_065970
ENSG00000003393	XP_005246766
ENSG00000003393	XP_005246767
ENSG00000003393	XP_006712717
ENSG00000003393	XP_006712718
ENSG00000003400	NP_001193453
ENSG00000003400	NP_001193471
ENSG00000003400	NP_001221
ENSG00000003400	NP_116756
ENSG00000003400	NP_116758
ENSG00000003400	NP_116759
ENSG00000003400	XP_005246964
ENSG00000003400	XP_005246966
ENSG00000003400	XP_005246967
ENSG00000003400	XP_005246968
ENSG00000003400	XP_006712859
ENSG00000003402	NP_001120655
ENSG00000003402	NP_001120656
ENSG00000003402	NP_001189444
ENSG00000003402	NP_001189445
ENSG00000003402	NP_001189446
ENSG00000003402	NP_001189447
ENSG00000003402	NP_001189448
ENSG00000003402	NP_003870
ENSG00000003402	XP_005246992
ENSG00000003402	XP_005246993
ENSG00000003402	XP_005246994
ENSG00000003402	XP_005246995
ENSG00000003436	NP_001027452
ENSG00000003436	NP_006278
ENSG00000003436	XP_005246875
ENSG00000003436	XP_005246876
ENSG00000003436	XP_005246877
ENSG00000003436	XP_006712783
ENSG00000003509	NP_001077415
ENSG00000003509	NP_653337
ENSG00000003509	XP_005264467
ENSG00000003756	NP_005769
ENSG00000003756	XP_006712981
ENSG00000003756	XP_006712982
ENSG00000003756	XP_006712983
ENSG00000003987	NP_004677
ENSG00000003987	XP_006716477
ENSG00000003989	NP_001008539
ENSG00000003989	NP_001158243
ENSG00000003989	NP_003037
ENSG00000003989	XP_005273666
ENSG00000003989	XP_005273667
ENSG00000003989	XP_005273668
ENSG00000003989	XP_005273669
ENSG00000003989	XP_006716452
ENSG00000004059	NP_001653
ENSG00000004139	NP_055892
ENSG00000004142	NP_001277074
ENSG00000004142	NP_056399
ENSG00000004399	NP_055918
ENSG00000004455	NP_001186128
ENSG00000004455	NP_001616
