Ensembl ID	RFAM ID
ENSG00000194297	RF00003
ENSG00000195024	RF00003
ENSG00000195401	RF00019
ENSG00000196274	RF00017
ENSG00000197334	RF00017
ENSG00000199196	RF00402
ENSG00000199197	RF00100
ENSG00000199200	RF00019
ENSG00000199201	RF00019
ENSG00000199202	RF00001
ENSG00000199203	RF00019
ENSG00000199204	RF00019
ENSG00000199212	RF00045
ENSG00000199217	RF00026
ENSG00000199218	RF00100
ENSG00000199219	RF00026
ENSG00000199220	RF00019
ENSG00000199222	RF00019
ENSG00000199223	RF00019
ENSG00000199224	RF00019
ENSG00000199226	RF00026
ENSG00000199231	RF00494
ENSG00000199235	RF00026
ENSG00000199237	RF00026
ENSG00000199240	RF00001
ENSG00000199241	RF00019
ENSG00000199245	RF00019
ENSG00000199246	RF00026
ENSG00000199248	RF00026
ENSG00000199251	RF00026
ENSG00000199260	RF00026
ENSG00000199263	RF00019
ENSG00000199266	RF00056
ENSG00000199270	RF00001
ENSG00000199272	RF00026
ENSG00000199273	RF00019
ENSG00000199276	RF00001
ENSG00000199279	RF00026
ENSG00000199282	RF00411
ENSG00000199283	RF00003
ENSG00000199285	RF00019
ENSG00000199286	RF00026
ENSG00000199289	RF00026
ENSG00000199290	RF00019
ENSG00000199291	RF00019
ENSG00000199293	RF00412
ENSG00000199295	RF00026
ENSG00000199299	RF00001
ENSG00000199301	RF00026
ENSG00000199303	RF00019
ENSG00000199306	RF00026
ENSG00000199308	RF00026
ENSG00000199311	RF00105
ENSG00000199313	RF00015
ENSG00000199315	RF00001
ENSG00000199318	RF00001
ENSG00000199319	RF00100
ENSG00000199321	RF00271
ENSG00000199322	RF00001
ENSG00000199325	RF00015
ENSG00000199326	RF00026
ENSG00000199327	RF00026
ENSG00000199331	RF00019
ENSG00000199332	RF00019
ENSG00000199334	RF00001
ENSG00000199335	RF00026
ENSG00000199337	RF00001
ENSG00000199347	RF00020
ENSG00000199348	RF00026
ENSG00000199349	RF00019
ENSG00000199350	RF00001
ENSG00000199352	RF00001
ENSG00000199354	RF00001
ENSG00000199357	RF00019
ENSG00000199360	RF00026
ENSG00000199361	RF00003
ENSG00000199362	RF00019
ENSG00000199363	RF00092
ENSG00000199364	RF00001
ENSG00000199366	RF00019
ENSG00000199368	RF00026
ENSG00000199370	RF00012
ENSG00000199373	RF00001
ENSG00000199377	RF00020
ENSG00000199378	RF00019
ENSG00000199381	RF00026
ENSG00000199385	RF00026
ENSG00000199390	RF00181
ENSG00000199392	RF00402
ENSG00000199394	RF00026
ENSG00000199395	RF00001
ENSG00000199396	RF00001
ENSG00000199398	RF00019
ENSG00000199400	RF00019
ENSG00000199402	RF00001
ENSG00000199404	RF00001
ENSG00000199405	RF00408
ENSG00000199407	RF00001
ENSG00000199409	RF00019
ENSG00000199410	RF00019
ENSG00000199411	RF00153
ENSG00000199415	RF00001
ENSG00000199420	RF00100
ENSG00000199422	RF00006
ENSG00000199424	RF00019
ENSG00000199426	RF00003
ENSG00000199436	RF00377
ENSG00000199440	RF00019
ENSG00000199442	RF00019
ENSG00000199444	RF00019
ENSG00000199446	RF00026
ENSG00000199448	RF00026
ENSG00000199450	RF00001
ENSG00000199453	RF00105
ENSG00000199454	RF00001
ENSG00000199455	RF00001
ENSG00000199458	RF00015
ENSG00000199459	RF00019
ENSG00000199460	RF00026
ENSG00000199461	RF00019
ENSG00000199466	RF00019
ENSG00000199468	RF00026
ENSG00000199469	RF00003
ENSG00000199470	RF00264
ENSG00000199471	RF00019
ENSG00000199472	RF00019
ENSG00000199473	RF00092
ENSG00000199474	RF00443
ENSG00000199475	RF00100
ENSG00000199476	RF00019
ENSG00000199477	RF00322
ENSG00000199480	RF00001
ENSG00000199482	RF00026
ENSG00000199483	RF00015
ENSG00000199487	RF00019
ENSG00000199488	RF00003
ENSG00000199489	RF00105
ENSG00000199490	RF00019
ENSG00000199492	RF00026
ENSG00000199497	RF00003
ENSG00000199506	RF00026
ENSG00000199508	RF00001
ENSG00000199509	RF00001
ENSG00000199512	RF00026
ENSG00000199514	RF00026
ENSG00000199515	RF00019
ENSG00000199516	RF00019
ENSG00000199520	RF00026
ENSG00000199523	RF00001
ENSG00000199525	RF00001
ENSG00000199529	RF00026
ENSG00000199530	RF00019
ENSG00000199535	RF00001
