Ensembl ID	RFAM_trans_name ID
ENSG00000195401	Y_RNA.1-201
ENSG00000196274	Metazoa_SRP.1-201
ENSG00000197334	Metazoa_SRP.1-202
ENSG00000199196	SNORA25.1-201
ENSG00000199200	Y_RNA.1-202
ENSG00000199201	Y_RNA.1-203
ENSG00000199203	Y_RNA.1-204
ENSG00000199204	Y_RNA.1-205
ENSG00000199220	Y_RNA.1-206
ENSG00000199222	Y_RNA.1-207
ENSG00000199223	Y_RNA.1-208
ENSG00000199224	Y_RNA.1-209
ENSG00000199231	snoU2_19.1-201
ENSG00000199241	Y_RNA.1-210
ENSG00000199245	Y_RNA.1-211
ENSG00000199263	Y_RNA.1-212
ENSG00000199273	Y_RNA.1-213
ENSG00000199282	SNORA9.1-201
ENSG00000199285	Y_RNA.1-214
ENSG00000199290	Y_RNA.1-215
ENSG00000199291	Y_RNA.1-216
ENSG00000199303	Y_RNA.1-217
ENSG00000199321	SNORD60.1-201
ENSG00000199331	Y_RNA.1-218
ENSG00000199332	Y_RNA.1-219
ENSG00000199349	Y_RNA.1-220
ENSG00000199357	Y_RNA.1-221
ENSG00000199362	Y_RNA.1-222
ENSG00000199363	SNORA63.1-201
ENSG00000199366	Y_RNA.1-223
ENSG00000199370	U3.1-201
ENSG00000199378	Y_RNA.1-224
ENSG00000199392	SNORA25.1-202
ENSG00000199398	Y_RNA.1-225
ENSG00000199405	SNORA1.1-201
ENSG00000199409	Y_RNA.1-226
ENSG00000199410	Y_RNA.1-227
ENSG00000199411	SNORD62.1-201
ENSG00000199424	Y_RNA.1-228
ENSG00000199440	Y_RNA.1-229
ENSG00000199442	Y_RNA.1-230
ENSG00000199444	Y_RNA.1-231
ENSG00000199459	Y_RNA.1-232
ENSG00000199461	Y_RNA.1-233
ENSG00000199466	Y_RNA.1-234
ENSG00000199470	SNORA64.1-201
ENSG00000199471	Y_RNA.1-235
ENSG00000199472	Y_RNA.1-236
ENSG00000199473	SNORA63.1-202
ENSG00000199474	SNORA27.1-201
ENSG00000199476	Y_RNA.1-237
ENSG00000199487	Y_RNA.1-238
ENSG00000199490	Y_RNA.1-239
ENSG00000199515	Y_RNA.1-240
ENSG00000199516	Y_RNA.1-241
ENSG00000199530	Y_RNA.1-242
ENSG00000199540	Y_RNA.1-243
ENSG00000199546	Y_RNA.1-244
ENSG00000199550	Y_RNA.1-245
ENSG00000199552	SNORA63.1-203
ENSG00000199565	Y_RNA.1-246
ENSG00000199566	SNORA64.1-202
ENSG00000199567	Y_RNA.1-247
ENSG00000199571	SNORA22.1-201
ENSG00000199580	Y_RNA.1-248
ENSG00000199584	Y_RNA.1-249
ENSG00000199591	Y_RNA.1-250
ENSG00000199595	Y_RNA.1-251
ENSG00000199630	Y_RNA.1-252
ENSG00000199633	SNORA63.1-204
ENSG00000199635	Y_RNA.1-253
ENSG00000199636	Y_RNA.1-254
ENSG00000199666	U3.1-202
ENSG00000199667	Y_RNA.1-255
ENSG00000199668	Y_RNA.1-256
ENSG00000199676	Y_RNA.1-257
ENSG00000199677	Y_RNA.1-258
ENSG00000199698	Y_RNA.1-259
ENSG00000199701	Y_RNA.1-260
ENSG00000199705	Y_RNA.1-261
ENSG00000199710	Y_RNA.1-262
ENSG00000199711	Y_RNA.1-263
ENSG00000199713	U8.1-201
ENSG00000199715	Y_RNA.1-264
ENSG00000199716	Y_RNA.1-265
ENSG00000199727	U3.1-203
ENSG00000199732	Y_RNA.1-266
ENSG00000199740	Y_RNA.1-267
ENSG00000199751	Y_RNA.1-268
ENSG00000199755	Y_RNA.1-269
ENSG00000199756	Y_RNA.1-270
ENSG00000199762	Y_RNA.1-271
ENSG00000199764	Y_RNA.1-272
ENSG00000199780	Y_RNA.1-273
ENSG00000199781	Y_RNA.1-274
ENSG00000199783	SNORD56.1-201
ENSG00000199787	SNORA42.1-201
ENSG00000199797	Y_RNA.1-275
ENSG00000199801	Y_RNA.1-276
ENSG00000199815	SNORA17.1-201
ENSG00000199832	Y_RNA.1-277
ENSG00000199840	Y_RNA.1-278
ENSG00000199851	U3.1-204
ENSG00000199856	U3.1-205
ENSG00000199857	SNORD50.1-201
ENSG00000199862	Y_RNA.1-279
ENSG00000199866	Y_RNA.1-280
ENSG00000199867	Y_RNA.1-281
ENSG00000199870	Y_RNA.1-282
ENSG00000199875	Y_RNA.1-283
ENSG00000199881	Y_RNA.1-284
ENSG00000199884	Y_RNA.1-285
ENSG00000199890	Y_RNA.1-286
ENSG00000199894	snoU2_19.1-202
ENSG00000199895	Y_RNA.1-287
ENSG00000199899	Y_RNA.1-288
ENSG00000199901	Y_RNA.1-289
ENSG00000199911	Y_RNA.1-290
ENSG00000199912	Y_RNA.1-291
ENSG00000199913	Y_RNA.1-292
ENSG00000199927	ACEA_U3.1-201
ENSG00000199934	SNORD81.1-201
ENSG00000199936	Y_RNA.1-293
ENSG00000199938	Y_RNA.1-294
ENSG00000199949	Y_RNA.1-295
ENSG00000199959	SNORA2.1-201
ENSG00000199962	Y_RNA.1-296
ENSG00000199964	Y_RNA.1-297
ENSG00000199977	SNORA73.1-201
ENSG00000199979	Y_RNA.1-298
ENSG00000200008	Y_RNA.1-299
ENSG00000200011	Y_RNA.1-300
ENSG00000200024	Y_RNA.1-301
ENSG00000200026	U8.1-202
ENSG00000200040	Y_RNA.1-302
ENSG00000200041	Y_RNA.1-303
ENSG00000200049	Y_RNA.1-304
ENSG00000200051	SNORD45.1-201
ENSG00000200052	Y_RNA.1-305
ENSG00000200059	Y_RNA.1-306
ENSG00000200060	Y_RNA.1-307
ENSG00000200063	SNORA30.1-201
ENSG00000200065	Y_RNA.1-308
ENSG00000200072	SNORD44.1-201
ENSG00000200075	SNORA25.1-203
ENSG00000200085	Y_RNA.1-309
ENSG00000200090	Y_RNA.1-310
ENSG00000200112	SNORD56.1-202
ENSG00000200113	SNORA51.1-201
ENSG00000200118	Y_RNA.1-311
ENSG00000200120	Y_RNA.1-312
ENSG00000200121	Y_RNA.1-313
ENSG00000200130	SNORA63.1-205
ENSG00000200135	Y_RNA.1-314
ENSG00000200142	Y_RNA.1-315
ENSG00000200150	SNORD113.1-201
ENSG00000200162	Y_RNA.1-316
ENSG00000200164	Y_RNA.1-317
ENSG00000200170	Y_RNA.1-318
ENSG00000200171	Y_RNA.1-319
ENSG00000200174	Y_RNA.1-320
ENSG00000200179	Y_RNA.1-321
ENSG00000200191	U8.1-203
ENSG00000200201	Y_RNA.1-322
ENSG00000200206	SNORD74.1-201
ENSG00000200208	Y_RNA.1-323
ENSG00000200209	Y_RNA.1-324
ENSG00000200222	U3.1-206
ENSG00000200235	SNORA27.1-202
ENSG00000200237	SNORA70.1-201
ENSG00000200241	Y_RNA.1-325
ENSG00000200252	Y_RNA.1-326
ENSG00000200256	Y_RNA.1-327
ENSG00000200261	Y_RNA.1-328
ENSG00000200262	Y_RNA.1-329
ENSG00000200283	Y_RNA.1-330
ENSG00000200287	Y_RNA.1-331
ENSG00000200288	SNORA18.1-201
ENSG00000200291	Y_RNA.1-332
ENSG00000200294	SNORA36.1-201
ENSG00000200298	Y_RNA.1-333
ENSG00000200305	Y_RNA.1-334
ENSG00000200309	Y_RNA.1-335
ENSG00000200314	Y_RNA.1-336
ENSG00000200318	U3.1-207
ENSG00000200325	Y_RNA.1-337
ENSG00000200332	Y_RNA.1-338
ENSG00000200334	Y_RNA.1-339
ENSG00000200344	Y_RNA.1-340
ENSG00000200351	Y_RNA.1-341
ENSG00000200355	SNORA72.1-201
ENSG00000200361	Y_RNA.1-342
ENSG00000200377	SNORD56.1-203
ENSG00000200385	SNORA42.1-202
ENSG00000200390	Y_RNA.1-343
ENSG00000200391	Y_RNA.1-344
ENSG00000200397	Y_RNA.1-345
ENSG00000200418	SNORA63.1-206
ENSG00000200419	Y_RNA.1-346
ENSG00000200421	Y_RNA.1-347
ENSG00000200422	SNORD45.1-202
ENSG00000200427	Y_RNA.1-348
ENSG00000200428	Y_RNA.1-349
ENSG00000200432	Y_RNA.1-350
ENSG00000200436	Y_RNA.1-351
ENSG00000200448	Y_RNA.1-352
ENSG00000200485	Y_RNA.1-353
ENSG00000200492	U3.1-208
ENSG00000200494	Y_RNA.1-354
ENSG00000200496	U8.1-204
ENSG00000200502	Y_RNA.1-355
ENSG00000200506	Y_RNA.1-356
ENSG00000200508	Y_RNA.1-357
ENSG00000200521	Y_RNA.1-358
ENSG00000200536	SNORA25.1-204
ENSG00000200538	U3.1-209
ENSG00000200544	Y_RNA.1-359
ENSG00000200545	U3.1-210
ENSG00000200547	Y_RNA.1-360
ENSG00000200552	Y_RNA.1-361
ENSG00000200553	Y_RNA.1-362
ENSG00000200572	Y_RNA.1-363
ENSG00000200579	Y_RNA.1-364
ENSG00000200591	Y_RNA.1-365
ENSG00000200600	Y_RNA.1-366
ENSG00000200605	Y_RNA.1-367
ENSG00000200610	Y_RNA.1-368
ENSG00000200615	Y_RNA.1-369
ENSG00000200616	Y_RNA.1-370
ENSG00000200620	SNORA7.1-201
ENSG00000200630	Y_RNA.1-371
ENSG00000200635	Y_RNA.1-372
ENSG00000200646	Y_RNA.1-373
ENSG00000200651	Y_RNA.1-374
ENSG00000200652	SNORA25.1-205
ENSG00000200664	Y_RNA.1-375
ENSG00000200677	SNORD18.1-201
ENSG00000200685	Y_RNA.1-376
ENSG00000200688	Y_RNA.1-377
ENSG00000200693	U3.1-211
ENSG00000200702	Y_RNA.1-378
ENSG00000200706	SNORD45.1-203
ENSG00000200714	Y_RNA.1-379
ENSG00000200733	SNORD38.1-201
ENSG00000200737	Y_RNA.1-380
ENSG00000200742	Y_RNA.1-381
ENSG00000200750	Y_RNA.1-382
ENSG00000200752	Y_RNA.1-383
ENSG00000200753	SNORD56.1-204
ENSG00000200754	Y_RNA.1-384
ENSG00000200764	Y_RNA.1-385
ENSG00000200769	Y_RNA.1-386
ENSG00000200788	Y_RNA.1-387
ENSG00000200822	Y_RNA.1-388
ENSG00000200829	Y_RNA.1-389
ENSG00000200833	Y_RNA.1-390
ENSG00000200834	Y_RNA.1-391
ENSG00000200842	Y_RNA.1-392
ENSG00000200847	Y_RNA.1-393
ENSG00000200849	Y_RNA.1-394
ENSG00000200855	Y_RNA.1-395
ENSG00000200857	Y_RNA.1-396
ENSG00000200860	Y_RNA.1-397
ENSG00000200874	Y_RNA.1-398
ENSG00000200883	Y_RNA.1-399
ENSG00000200884	Y_RNA.1-400
ENSG00000200888	Y_RNA.1-401
ENSG00000200891	SNORD74.1-202
ENSG00000200897	SNORD74.1-203
ENSG00000200922	Y_RNA.1-402
ENSG00000200953	Y_RNA.1-403
ENSG00000200969	SNORD95.1-201
ENSG00000200976	Y_RNA.1-404
ENSG00000200982	Y_RNA.1-405
ENSG00000200991	SNORA25.1-206
ENSG00000200998	Y_RNA.1-406
ENSG00000200999	SNORD74.1-204
ENSG00000201003	SNORA58.1-201
ENSG00000201006	Y_RNA.1-407
ENSG00000201009	SNORD46.1-201
ENSG00000201012	Y_RNA.1-408
ENSG00000201013	Y_RNA.1-409
ENSG00000201025	SNORD74.1-205
ENSG00000201026	Y_RNA.1-410
ENSG00000201031	Y_RNA.1-411
ENSG00000201034	Y_RNA.1-412
ENSG00000201036	SNORD113.1-202
ENSG00000201042	SNORA38.1-201
ENSG00000201047	Y_RNA.1-413
ENSG00000201048	Y_RNA.1-414
ENSG00000201071	Y_RNA.1-415
ENSG00000201074	Y_RNA.1-416
ENSG00000201075	Y_RNA.1-417
ENSG00000201084	Y_RNA.1-418
ENSG00000201088	Y_RNA.1-419
ENSG00000201102	Y_RNA.1-420
ENSG00000201114	Y_RNA.1-421
ENSG00000201118	Y_RNA.1-422
ENSG00000201129	SNORA58.1-202
ENSG00000201133	SNORA4.1-201
ENSG00000201134	Y_RNA.1-423
ENSG00000201151	SNORD56.1-205
ENSG00000201157	SNORA62.1-201
ENSG00000201160	Y_RNA.1-424
ENSG00000201178	Y_RNA.1-425
ENSG00000201196	Y_RNA.1-426
ENSG00000201204	Y_RNA.1-427
ENSG00000201207	Y_RNA.1-428
ENSG00000201208	Y_RNA.1-429
ENSG00000201209	SNORD42.1-201
ENSG00000201216	Y_RNA.1-430
ENSG00000201217	Y_RNA.1-431
ENSG00000201218	Y_RNA.1-432
ENSG00000201228	Y_RNA.1-433
ENSG00000201229	SNORA63.1-207
ENSG00000201239	Y_RNA.1-434
ENSG00000201245	SNORA25.1-207
ENSG00000201264	SNORD73.1-201
ENSG00000201277	Y_RNA.1-435
ENSG00000201279	Y_RNA.1-436
ENSG00000201282	Y_RNA.1-437
ENSG00000201285	5S_rRNA.1-201
ENSG00000201297	Y_RNA.1-438
ENSG00000201309	Y_RNA.1-439
ENSG00000201311	Y_RNA.1-440
