Ensembl ID	Uniprot-SPTREMBL ID
ENSG00000000003	A0A024RCI0
ENSG00000000003	O43657
ENSG00000000005	Q9H2S6
ENSG00000000419	E9PHH5
ENSG00000000419	O60762
ENSG00000000419	Q5QPJ9
ENSG00000000419	Q5QPK2
ENSG00000000457	B4E2Y0
ENSG00000000457	Q8IZE3
ENSG00000000457	X6RHX1
ENSG00000000460	A0A024R922
ENSG00000000460	Q9NSG2
ENSG00000000938	P09769
ENSG00000000938	P78453
ENSG00000000938	P78483
ENSG00000000938	Q5TGY6
ENSG00000000938	Q7KZ45
ENSG00000000971	A0A024R962
ENSG00000000971	P08603
ENSG00000000971	Q5TFM2
ENSG00000001036	Q7Z6V2
ENSG00000001036	Q9BTY2
ENSG00000001084	B4E2I4
ENSG00000001084	D6R959
ENSG00000001084	D6REX4
ENSG00000001084	D6RGF8
ENSG00000001084	E1CEI4
ENSG00000001084	H0YAB6
ENSG00000001084	P48506
ENSG00000001084	Q14TF0
ENSG00000001167	A0A024RD22
ENSG00000001167	K9JA49
ENSG00000001167	P23511
ENSG00000001460	Q5TH74
ENSG00000001460	Q5TH77
ENSG00000001461	A6NN97
ENSG00000001461	Q6P499
ENSG00000001461	Q7Z354
ENSG00000001497	B3KNR6
ENSG00000001497	B3KUJ7
ENSG00000001497	Q9Y4W2
ENSG00000001561	Q9Y6X5
ENSG00000001617	C9IYS6
ENSG00000001617	C9J1V2
ENSG00000001617	C9J4H5
ENSG00000001617	C9JPG5
ENSG00000001617	H7C4A2
ENSG00000001617	Q13275
ENSG00000001626	A0A024R730
ENSG00000001626	A4L9V0
ENSG00000001626	C9J6L5
ENSG00000001626	E7EPB6
ENSG00000001626	P13569
ENSG00000001626	Q5I6F9
ENSG00000001626	Q5I6N4
ENSG00000001626	Q5I6N5
ENSG00000001626	Q5I6N6
ENSG00000001626	Q5I6N7
ENSG00000001626	Q6KE95
ENSG00000001626	Q6KEA0
ENSG00000001626	Q6KEA5
ENSG00000001626	Q6KEB2
ENSG00000001626	Q6KEB8
ENSG00000001626	Q6KEC3
ENSG00000001626	Q6KEC8
ENSG00000001626	Q6KED3
ENSG00000001626	Q6KED8
ENSG00000001626	Q6KEE3
ENSG00000001626	Q6KEE7
ENSG00000001626	Q6KEF5
ENSG00000001626	Q6KEF9
ENSG00000001626	Q6KEG3
ENSG00000001626	Q6KEG6
ENSG00000001626	Q6KEG9
ENSG00000001626	Q6KEH3
ENSG00000001626	Q6KEH6
ENSG00000001626	Q6KEH8
ENSG00000001626	Q6KEI2
ENSG00000001626	Q6KEI7
ENSG00000001626	Q6KEI8
ENSG00000001626	Q6KEJ1
ENSG00000001626	Q6KEJ4
ENSG00000001626	Q6KEJ7
ENSG00000001626	Q99989
ENSG00000001626	Q9UJ19
ENSG00000001626	Q9UML7
ENSG00000001629	C9JZ63
ENSG00000001629	Q4VBX8
ENSG00000001629	Q9P2G1
ENSG00000001630	C9IYR8
ENSG00000001630	Q16850
ENSG00000001631	A4D1F7
ENSG00000001631	C9J3W7
ENSG00000001631	C9J718
ENSG00000001631	C9JBN7
ENSG00000001631	C9JD81
ENSG00000001631	C9JEW7
ENSG00000001631	C9JF32
ENSG00000001631	C9JI47
ENSG00000001631	C9JIY2
ENSG00000001631	C9JJM9
ENSG00000001631	C9JSG7
ENSG00000001631	C9JXI9
ENSG00000001631	O00522
ENSG00000002016	D3DUP4
ENSG00000002016	E9PF95
ENSG00000002016	F5GX32
ENSG00000002016	F5GX95
ENSG00000002016	F5H1K5
ENSG00000002016	F5H3Q1
ENSG00000002016	P43351
ENSG00000002016	Q3MI84
ENSG00000002016	Q5DR82
ENSG00000002016	Q9UHE1
ENSG00000002016	Q9UHE2
ENSG00000002016	Q9UHE3
ENSG00000002016	Q9UHE4
ENSG00000002330	A0A024R562
ENSG00000002330	A8MXU7
ENSG00000002330	F5GYS3
ENSG00000002330	F5H1R6
ENSG00000002330	F5H3B1
ENSG00000002330	Q92934
ENSG00000002549	H0Y9Q1
ENSG00000002549	P28838
ENSG00000002586	A6NGF6
ENSG00000002586	A6NJT9
ENSG00000002586	A8MQT7
ENSG00000002586	H7C2F2
ENSG00000002586	P14209
ENSG00000002587	A0A024R9R4
ENSG00000002587	E9PDE3
ENSG00000002587	O14792
ENSG00000002587	Q05CH3
ENSG00000002726	C9J0G8
ENSG00000002726	C9J2J4
ENSG00000002726	P19801
ENSG00000002745	E9PH60
ENSG00000002745	Q9UBV4
ENSG00000002746	A4D1V5
ENSG00000002746	Q76N89
ENSG00000002822	B3KR41
ENSG00000002822	C9J9H5
ENSG00000002822	C9JIR0
ENSG00000002822	C9JJ38
ENSG00000002822	C9JKI7
ENSG00000002822	C9JP81
ENSG00000002822	C9JPS1
ENSG00000002822	C9JTA2
ENSG00000002822	C9JX80
ENSG00000002822	C9K086
ENSG00000002822	Q9Y6D9
ENSG00000002834	A0A024R1S8
ENSG00000002834	C9J9W2
ENSG00000002834	F6S2S5
ENSG00000002834	J3KSN1
ENSG00000002834	K7ESD6
ENSG00000002834	Q14847
ENSG00000002919	B4DJI7
ENSG00000002919	B4DPY5
ENSG00000002919	J3KTN6
ENSG00000002919	J3QKV3
ENSG00000002919	J3QLV8
ENSG00000002919	J3QRB9
ENSG00000002919	J3QRW4
ENSG00000002919	Q9Y5W9
ENSG00000002933	C9JJ63
ENSG00000002933	C9JRT9
ENSG00000002933	H7C4P5
ENSG00000002933	Q96HP8
ENSG00000003056	F5GXE0
ENSG00000003056	F5GXU0
ENSG00000003056	F5H4U1
ENSG00000003056	F5H883
ENSG00000003056	H0YF90
ENSG00000003056	H0YFY9
ENSG00000003056	P20645
ENSG00000003056	Q96AH2
ENSG00000003096	C9JTS9
ENSG00000003096	Q96HC9
ENSG00000003096	Q9P2N7
ENSG00000003137	E5RHM2
ENSG00000003137	E5RHN4
ENSG00000003137	E7ER08
ENSG00000003137	Q9NR63
ENSG00000003147	A0A024RA29
ENSG00000003147	B9ZVM7
ENSG00000003147	C9IZC7
ENSG00000003147	C9J3Y4
ENSG00000003147	C9J8Y3
ENSG00000003147	E7ENI6
ENSG00000003147	E9PDL4
ENSG00000003147	F8WET5
ENSG00000003147	Q05084
ENSG00000003147	Q6LCR0
ENSG00000003147	Q6LCT9
ENSG00000003147	Q96HG3
ENSG00000003147	Q9UDQ6
ENSG00000003249	D3DX86
ENSG00000003249	H3BLZ2
ENSG00000003249	Q9H9R9
ENSG00000003393	A8K4R4
ENSG00000003393	B3KPJ0
ENSG00000003393	J3KQ33
ENSG00000003393	J3KQ43
ENSG00000003393	Q96Q42
ENSG00000003400	B4E3T5
ENSG00000003400	Q92851
ENSG00000003402	A0A024R3Y3
ENSG00000003402	A0A024R3Z7
ENSG00000003402	C9J408
ENSG00000003402	C9J4Q0
ENSG00000003402	C9JSU3
ENSG00000003402	C9JV51
ENSG00000003402	E9PAP3
ENSG00000003402	F8WBH9
ENSG00000003402	M0QY57
ENSG00000003402	M0QYM0
ENSG00000003402	M0R1A8
ENSG00000003402	O15519
