Ensembl ID	Agilent ID
ENSG00000000003	A_23_P171143
ENSG00000000003	A_24_P83262
ENSG00000000005	A_14_P131558
ENSG00000000005	A_23_P125588
ENSG00000000419	A_23_P68472
ENSG00000000457	A_23_P74320
ENSG00000000460	A_14_P110548
ENSG00000000460	A_14_P116543
ENSG00000000460	A_14_P117149
ENSG00000000460	A_23_P11862
ENSG00000000938	A_23_P103932
ENSG00000000938	A_24_P316634
ENSG00000000938	A_24_P51517
ENSG00000000971	A_14_P102601
ENSG00000000971	A_23_P114740
ENSG00000000971	A_23_P200160
ENSG00000000971	A_24_P273972
ENSG00000000971	A_33_P3318288
ENSG00000000971	A_33_P3367692
ENSG00000001036	A_23_P145408
ENSG00000001036	A_33_P3272580
ENSG00000001084	A_19_P00321132
ENSG00000001084	A_19_P00321360
ENSG00000001084	A_23_P145114
ENSG00000001167	A_23_P214425
ENSG00000001167	A_23_P501583
ENSG00000001167	A_24_P414719
ENSG00000001167	A_33_P3239634
ENSG00000001460	A_24_P133162
ENSG00000001460	A_33_P3402103
ENSG00000001461	A_14_P105809
ENSG00000001461	A_23_P46604
ENSG00000001461	A_24_P45367
ENSG00000001461	A_24_P919419
ENSG00000001497	A_23_P256021
ENSG00000001561	A_14_P200196
ENSG00000001561	A_23_P70318
ENSG00000001617	A_14_P124805
ENSG00000001617	A_23_P6878
ENSG00000001617	A_24_P300076
ENSG00000001617	A_33_P3813128
ENSG00000001626	A_14_P104877
ENSG00000001626	A_14_P114787
ENSG00000001626	A_14_P115109
ENSG00000001626	A_14_P129538
ENSG00000001626	A_14_P132049
ENSG00000001626	A_23_P215720
ENSG00000001626	A_24_P931355
ENSG00000001629	A_14_P121359
ENSG00000001629	A_23_P355623
ENSG00000001629	A_23_P93912
ENSG00000001629	A_24_P18020
ENSG00000001630	A_23_P257716
ENSG00000001631	A_23_P42848
ENSG00000001631	A_24_P102539
ENSG00000001631	A_24_P98161
ENSG00000002016	A_23_P64990
ENSG00000002016	A_33_P3242703
ENSG00000002079	A_33_P3306078
ENSG00000002330	A_23_P150207
ENSG00000002330	A_33_P3262043
ENSG00000002330	A_33_P3402076
ENSG00000002549	A_14_P127358
ENSG00000002549	A_23_P18604
ENSG00000002586	A_23_P217510
ENSG00000002586	A_24_P70993
ENSG00000002586	A_33_P3359781
ENSG00000002587	A_19_P00331281
ENSG00000002587	A_23_P121657
ENSG00000002726	A_14_P114354
ENSG00000002726	A_23_P59452
ENSG00000002745	A_23_P134601
ENSG00000002746	A_23_P319027
ENSG00000002746	A_32_P166422
ENSG00000002822	A_23_P333735
ENSG00000002822	A_33_P3569068
ENSG00000002834	A_23_P89187
ENSG00000002834	A_24_P936010
ENSG00000002919	A_23_P89343
ENSG00000002933	A_14_P122580
ENSG00000002933	A_23_P252082
ENSG00000003056	A_23_P204252
ENSG00000003056	A_24_P210343
ENSG00000003096	A_23_P159974
ENSG00000003137	A_23_P210100
ENSG00000003137	A_23_P210109
ENSG00000003147	A_23_P215419
ENSG00000003147	A_24_P372012
ENSG00000003249	A_23_P26439
ENSG00000003393	A_23_P209430
ENSG00000003393	A_23_P377664
ENSG00000003393	A_24_P222410
ENSG00000003393	A_33_P3415336
ENSG00000003393	A_33_P3415340
ENSG00000003393	A_33_P3415345
ENSG00000003400	A_14_P138533
ENSG00000003400	A_23_P209408
ENSG00000003400	A_24_P139993
ENSG00000003400	A_24_P3045
ENSG00000003400	A_33_P3255075
ENSG00000003400	A_33_P3504659
ENSG00000003402	A_14_P137243
ENSG00000003402	A_23_P209394
ENSG00000003402	A_24_P120115
ENSG00000003436	A_23_P17095
ENSG00000003436	A_23_P330070
ENSG00000003436	A_33_P3212615
ENSG00000003436	A_33_P3258274
ENSG00000003509	A_14_P131798
ENSG00000003509	A_23_P28318
ENSG00000003756	A_14_P103288
ENSG00000003756	A_14_P115247
ENSG00000003756	A_23_P18276
ENSG00000003756	A_24_P328646
ENSG00000003756	A_24_P919510
ENSG00000003987	A_24_P383095
ENSG00000003987	A_33_P3261222
ENSG00000003989	A_14_P110452
ENSG00000003989	A_14_P128455
ENSG00000003989	A_14_P131226
ENSG00000003989	A_23_P255837
ENSG00000003989	A_33_P3316539
ENSG00000004059	A_14_P123307
ENSG00000004059	A_23_P254601
ENSG00000004059	A_24_P394702
ENSG00000004059	A_33_P3260777
ENSG00000004139	A_14_P114602
ENSG00000004139	A_14_P121710
ENSG00000004139	A_14_P200466
ENSG00000004139	A_24_P267293
ENSG00000004139	A_33_P3370763
ENSG00000004142	A_24_P142442
ENSG00000004399	A_23_P80752
ENSG00000004399	A_24_P376391
ENSG00000004455	A_23_P200404
ENSG00000004455	A_24_P179903
ENSG00000004455	A_24_P500891
ENSG00000004455	A_33_P3392580
ENSG00000004468	A_14_P127491
ENSG00000004468	A_14_P134506
ENSG00000004468	A_23_P167328
ENSG00000004468	A_32_P32195
ENSG00000004478	A_14_P109319
ENSG00000004478	A_23_P128372
ENSG00000004478	A_32_P71788
ENSG00000004487	A_14_P136995
ENSG00000004487	A_24_P74981
ENSG00000004534	A_14_P103288
ENSG00000004534	A_14_P104295
ENSG00000004534	A_14_P132467
ENSG00000004534	A_23_P57941
ENSG00000004660	A_23_P207648
ENSG00000004660	A_23_P431933
ENSG00000004660	A_24_P292929
ENSG00000004700	A_23_P25215
ENSG00000004766	A_14_P104954
