Ensembl ID	ENS_LRG_gene ID
ENSG00000000971	LRG_47
ENSG00000000971	LRG_47t1
ENSG00000003400	LRG_33
ENSG00000003400	LRG_33t1
ENSG00000004455	LRG_133
ENSG00000005381	LRG_84
ENSG00000005381	LRG_84t1
ENSG00000007312	LRG_43
ENSG00000007312	LRG_43t1
ENSG00000010671	LRG_128
ENSG00000010671	LRG_128t1
ENSG00000011143	LRG_687
ENSG00000011143	LRG_687t1
ENSG00000011143	LRG_687t2
ENSG00000011600	LRG_607
ENSG00000011600	LRG_607t1
ENSG00000012048	LRG_292
ENSG00000012048	LRG_292t1
ENSG00000014919	LRG_406
ENSG00000014919	LRG_406t1
ENSG00000014919	LRG_406t2
ENSG00000015285	LRG_125
ENSG00000015285	LRG_125t1
ENSG00000018625	LRG_6
ENSG00000020922	LRG_85
ENSG00000020922	LRG_85t1
ENSG00000021826	LRG_336
ENSG00000021826	LRG_336t1
ENSG00000021852	LRG_31
ENSG00000026103	LRG_134
ENSG00000026103	LRG_134t1
ENSG00000027697	LRG_66
ENSG00000027697	LRG_66t1
ENSG00000030582	LRG_661
ENSG00000030582	LRG_661t1
ENSG00000035403	LRG_383
ENSG00000035403	LRG_383t1
ENSG00000039068	LRG_301
ENSG00000039068	LRG_301t1
ENSG00000039537	LRG_29
ENSG00000046604	LRG_397
ENSG00000046604	LRG_397t1
ENSG00000048392	LRG_788
ENSG00000048392	LRG_788t1
ENSG00000048392	LRG_788t2
ENSG00000049167	LRG_466
ENSG00000049167	LRG_466t1
ENSG00000049768	LRG_62
ENSG00000049768	LRG_62t1
ENSG00000051523	LRG_52
ENSG00000053918	LRG_287
ENSG00000053918	LRG_287t1
ENSG00000053918	LRG_287t2
ENSG00000054523	LRG_252
ENSG00000054523	LRG_252t1
ENSG00000055118	LRG_288
ENSG00000055118	LRG_288t1
ENSG00000055118	LRG_288t2
ENSG00000055118	LRG_288t3
ENSG00000057294	LRG_398
ENSG00000057294	LRG_398t1
ENSG00000060069	LRG_236
ENSG00000060069	LRG_236t1
ENSG00000063244	LRG_623
ENSG00000063244	LRG_623t1
ENSG00000064012	LRG_34
ENSG00000064012	LRG_34t1
ENSG00000064012	LRG_34t2
ENSG00000064490	LRG_102
ENSG00000064933	LRG_221
ENSG00000064933	LRG_221t1
ENSG00000065154	LRG_685
ENSG00000065154	LRG_685t1
ENSG00000065427	LRG_366
ENSG00000065427	LRG_366t1
