Ensembl ID	Clone_based_ensembl_transcript ID
ENSG00000005189	AC004381.6-001
ENSG00000005189	AC004381.6-002
ENSG00000005189	AC004381.6-003
ENSG00000005189	AC004381.6-004
ENSG00000005189	AC004381.6-006
ENSG00000005189	AC004381.6-007
ENSG00000005189	AC004381.6-008
ENSG00000005189	AC004381.6-009
ENSG00000005189	AC004381.6-010
ENSG00000005189	AC004381.6-011
ENSG00000005189	AC004381.6-012
ENSG00000005189	AC004381.6-013
ENSG00000005189	AC004381.6-014
ENSG00000005189	AC004381.6-015
ENSG00000005189	AC004381.6-016
ENSG00000005189	AC004381.6-017
ENSG00000005189	AC004381.6-018
ENSG00000005189	AC004381.6-019
ENSG00000005189	AC004381.6-020
ENSG00000008197	RP3-336H9.2-001
ENSG00000008197	RP3-336H9.2-002
ENSG00000018607	AC097532.4-001
ENSG00000048471	AC007601.2-001
ENSG00000048471	AC007601.2-002
ENSG00000048471	AC007601.2-003
ENSG00000048471	AC007601.2-004
ENSG00000048471	AC007601.2-005
ENSG00000048471	AC007601.2-006
ENSG00000048471	AC007601.2-007
ENSG00000048471	AC007601.2-009
ENSG00000083622	AC000111.6-001
ENSG00000088899	RP5-1187M17.10-001
ENSG00000088899	RP5-1187M17.10-002
ENSG00000091436	AC013461.1-001
ENSG00000091436	AC013461.1-002
ENSG00000091436	AC013461.1-003
ENSG00000091436	AC013461.1-004
ENSG00000091436	AC013461.1-005
ENSG00000091436	AC013461.1-006
ENSG00000091436	AC013461.1-007
ENSG00000093100	XXbac-B461K10.4-002
ENSG00000100101	RP1-37E16.12-001
ENSG00000100181	AC005301.5-001
ENSG00000100181	AC005301.5-002
ENSG00000100181	AC005301.5-003
ENSG00000100181	AC005301.5-004
ENSG00000100181	AC005301.5-005
ENSG00000100181	AC005301.5-006
ENSG00000100181	AC005301.5-008
ENSG00000100181	AC005301.5-009
ENSG00000100181	AC005301.5-010
ENSG00000100181	AC005301.5-011
ENSG00000100181	AC005301.5-012
ENSG00000101278	RPS10L-001
ENSG00000101898	RP3-324O17.4-001
ENSG00000103200	RP11-723C11.2-001
ENSG00000103472	RP11-426C22.3-001
ENSG00000103472	RP11-426C22.3-002
ENSG00000103472	RP11-426C22.3-004
ENSG00000103832	RP5-1086D14.1-001
ENSG00000105694	AC104537.2-001
ENSG00000106540	AC004837.3-001
ENSG00000106610	RP11-166O4.3-001
ENSG00000106610	RP11-166O4.3-002
ENSG00000106610	RP11-166O4.3-003
ENSG00000108442	AC005033.5-001
ENSG00000108516	AC003958.6-001
ENSG00000108958	AC016292.3-001
ENSG00000111780	AL021546.6-001
ENSG00000111788	RP11-22B23.1-001
ENSG00000113811	RP11-884K10.5-001
ENSG00000113811	RP11-884K10.5-002
ENSG00000113811	RP11-884K10.5-003
ENSG00000113811	RP11-884K10.5-004
ENSG00000115128	AC008073.5-001
ENSG00000115128	AC008073.5-002
ENSG00000115934	RP11-153K16.2-001
ENSG00000116883	RP11-268J15.5-001
ENSG00000117242	RP11-401M16.7-001
ENSG00000117600	RP4-788L13.1-001
ENSG00000117600	RP4-788L13.1-002
ENSG00000118990	RP11-348M17.1-001
ENSG00000119660	RP11-293M10.4-001
ENSG00000120071	RP11-669E14.5-001
ENSG00000120071	RP11-669E14.5-002
ENSG00000120071	RP11-669E14.5-003
ENSG00000120071	RP11-669E14.5-004
ENSG00000120071	RP11-669E14.5-005
ENSG00000120071	RP11-669E14.5-006
ENSG00000120071	RP11-669E14.5-007
ENSG00000120071	RP11-669E14.5-008
ENSG00000120071	RP11-669E14.5-009
ENSG00000120071	RP11-669E14.5-010
ENSG00000120071	RP11-669E14.5-011
ENSG00000120071	RP11-669E14.5-012
ENSG00000120071	RP11-669E14.5-013
ENSG00000120071	RP11-669E14.5-014
ENSG00000120071	RP11-669E14.5-015
ENSG00000120071	RP11-669E14.5-016
ENSG00000121089	RP11-366M4.7-001
ENSG00000121388	RP11-408E5.4-001
ENSG00000122432	RP11-118B23.4-001
ENSG00000122432	RP11-118B23.4-002
ENSG00000122432	RP11-118B23.4-003
ENSG00000122432	RP11-118B23.4-004
ENSG00000122432	RP11-118B23.4-005
ENSG00000122432	RP11-118B23.4-006
ENSG00000122432	RP11-118B23.4-007
ENSG00000122432	RP11-118B23.4-008
ENSG00000122432	RP11-118B23.4-009
ENSG00000122882	RP11-152N13.3-001
ENSG00000122882	RP11-152N13.3-002
ENSG00000122882	RP11-152N13.3-003
ENSG00000122882	RP11-152N13.3-004
ENSG00000122882	RP11-152N13.3-005
ENSG00000122882	RP11-152N13.3-006
ENSG00000122882	RP11-152N13.3-007
ENSG00000122882	RP11-152N13.3-008
